Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000017.49377,SP1000017.23.49377,SY1000017.2026.49377,iPad1(1000017),17,01.06.26 16:53,Prod,A1000017.6833,Tisch 5,118,S1000017.49377,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000017.49378,SP1000017.23.49378,SY1000017.2026.49378,iPad1(1000017),17,01.06.26 16:53,Prod,A1000017.6833,Tisch 5,118,S1000017.49378,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000017.49379,SP1000017.23.49379,SY1000017.2026.49379,iPad1(1000017),17,01.06.26 16:53,Prod,A1000017.6833,Tisch 5,118,S1000017.49379,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000017.49380,SP1000017.23.49380,SY1000017.2026.49380,iPad1(1000017),17,01.06.26 17:04,Prod,A1000017.6834,Tisch 7,118,S1000017.49380,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000017.49381,SP1000017.23.49381,SY1000017.2026.49381,iPad1(1000017),17,01.06.26 20:05,Prod,A1000017.6835,Tisch 18,106,S1000017.49381,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000017.49382,SP1000017.23.49382,SY1000017.2026.49382,iPad1(1000017),17,01.06.26 20:05,Prod,A1000017.6835,Tisch 18,106,S1000017.49382,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000017.49383,SP1000017.23.49383,SY1000017.2026.49383,iPad1(1000017),17,01.06.26 11:05,Prod,A1000017.6836,,112,S1000017.49383,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000017.49384,SP1000017.23.49384,SY1000017.2026.49384,iPad1(1000017),17,01.06.26 11:05,Prod,A1000017.6836,,112,S1000017.49384,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000017.49385,SP1000017.23.49385,SY1000017.2026.49385,iPad1(1000017),17,01.06.26 11:05,Prod,A1000017.6836,,112,S1000017.49385,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000017.49386,SP1000017.23.49386,SY1000017.2026.49386,iPad1(1000017),17,01.06.26 20:00,Prod,A1000017.6837,Tisch 14,109,S1000017.49386,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000017.49387,SP1000017.23.49387,SY1000017.2026.49387,iPad1(1000017),17,01.06.26 18:16,Prod,A1000017.6838,Tisch 12,118,S1000017.49387,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000017.49388,SP1000017.23.49388,SY1000017.2026.49388,iPad1(1000017),17,01.06.26 18:16,Prod,A1000017.6838,Tisch 12,118,S1000017.49388,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000017.49389,SP1000017.23.49389,SY1000017.2026.49389,iPad1(1000017),17,01.06.26 16:36,Prod,A1000017.6839,Tisch 9,112,S1000017.49389,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000017.49390,SP1000017.23.49390,SY1000017.2026.49390,iPad1(1000017),17,01.06.26 16:36,Prod,A1000017.6839,Tisch 9,112,S1000017.49390,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000017.49391,SP1000017.23.49391,SY1000017.2026.49391,iPad1(1000017),17,01.06.26 15:52,Prod,A1000017.6840,Tisch 10,109,S1000017.49391,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000017.49392,SP1000017.23.49392,SY1000017.2026.49392,iPad1(1000017),17,01.06.26 18:01,Prod,A1000017.6841,Tisch 21,118,S1000017.49392,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000017.49393,SP1000017.23.49393,SY1000017.2026.49393,iPad1(1000017),17,01.06.26 17:10,Prod,A1000017.6842,Tisch 18,106,S1000017.49393,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000017.49394,SP1000017.23.49394,SY1000017.2026.49394,iPad1(1000017),17,01.06.26 17:10,Prod,A1000017.6842,Tisch 18,106,S1000017.49394,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000017.49395,SP1000017.23.49395,SY1000017.2026.49395,iPad1(1000017),17,01.06.26 11:05,Prod,A1000017.6843,Tisch 9,109,S1000017.49395,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000017.49396,SP1000017.23.49396,SY1000017.2026.49396,iPad1(1000017),17,01.06.26 11:05,Prod,A1000017.6843,Tisch 9,109,S1000017.49396,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000017.49397,SP1000017.23.49397,SY1000017.2026.49397,iPad1(1000017),17,01.06.26 12:40,Prod,A1000017.6844,Tisch 6,106,S1000017.49397,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000017.49398,SP1000017.23.49398,SY1000017.2026.49398,iPad1(1000017),17,01.06.26 12:40,Prod,A1000017.6844,Tisch 6,106,S1000017.49398,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000017.49399,SP1000017.23.49399,SY1000017.2026.49399,iPad1(1000017),17,01.06.26 12:23,Prod,A1000017.6845,Tisch 1,111,S1000017.49399,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000017.49400,SP1000017.23.49400,SY1000017.2026.49400,iPad1(1000017),17,01.06.26 12:23,Prod,A1000017.6845,Tisch 1,111,S1000017.49400,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000017.49401,SP1000017.23.49401,SY1000017.2026.49401,iPad1(1000017),17,01.06.26 12:23,Prod,A1000017.6845,Tisch 1,111,S1000017.49401,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000017.49402,SP1000017.23.49402,SY1000017.2026.49402,iPad1(1000017),17,01.06.26 13:22,Prod,A1000017.6846,Tisch 14,109,S1000017.49402,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000017.49403,SP1000017.23.49403,SY1000017.2026.49403,iPad1(1000017),17,01.06.26 16:21,Prod,A1000017.6847,Tisch 9,112,S1000017.49403,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000017.49404,SP1000017.23.49404,SY1000017.2026.49404,iPad1(1000017),17,01.06.26 16:21,Prod,A1000017.6847,Tisch 9,112,S1000017.49404,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000017.49405,SP1000017.23.49405,SY1000017.2026.49405,iPad1(1000017),17,01.06.26 16:21,Prod,A1000017.6847,Tisch 9,112,S1000017.49405,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000017.49406,SP1000017.23.49406,SY1000017.2026.49406,iPad1(1000017),17,01.06.26 10:51,Prod,A1000017.6848,Tisch 3,109,S1000017.49406,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000017.49407,SP1000017.23.49407,SY1000017.2026.49407,iPad1(1000017),17,01.06.26 10:51,Prod,A1000017.6848,Tisch 3,109,S1000017.49407,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000017.49408,SP1000017.23.49408,SY1000017.2026.49408,iPad1(1000017),17,01.06.26 17:13,Prod,A1000017.6849,,112,S1000017.49408,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000017.49409,SP1000017.23.49409,SY1000017.2026.49409,iPad1(1000017),17,01.06.26 17:13,Prod,A1000017.6849,,112,S1000017.49409,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000017.49410,SP1000017.23.49410,SY1000017.2026.49410,iPad1(1000017),17,01.06.26 17:13,Prod,A1000017.6849,,112,S1000017.49410,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000017.49411,SP1000017.23.49411,SY1000017.2026.49411,iPad1(1000017),17,01.06.26 09:47,Prod,A1000017.6850,Tisch 16,112,S1000017.49411,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000017.49412,SP1000017.23.49412,SY1000017.2026.49412,iPad1(1000017),17,01.06.26 09:47,Prod,A1000017.6850,Tisch 16,112,S1000017.49412,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000017.49413,SP1000017.23.49413,SY1000017.2026.49413,iPad1(1000017),17,01.06.26 12:17,Prod,A1000017.6851,Tisch 24,111,S1000017.49413,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000017.49414,SP1000017.23.49414,SY1000017.2026.49414,iPad1(1000017),17,01.06.26 18:50,Prod,A1000017.6852,Tisch 15,112,S1000017.49414,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000017.49415,SP1000017.23.49415,SY1000017.2026.49415,iPad1(1000017),17,01.06.26 18:50,Prod,A1000017.6852,Tisch 15,112,S1000017.49415,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000017.49416,SP1000017.23.49416,SY1000017.2026.49416,iPad1(1000017),17,01.06.26 18:50,Prod,A1000017.6852,Tisch 15,112,S1000017.49416,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000017.49417,SP1000017.23.49417,SY1000017.2026.49417,iPad1(1000017),17,01.06.26 10:08,Prod,A1000017.6853,Tisch 12,106,S1000017.49417,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000017.49418,SP1000017.23.49418,SY1000017.2026.49418,iPad1(1000017),17,01.06.26 10:08,Prod,A1000017.6853,Tisch 12,106,S1000017.49418,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000017.49419,SP1000017.23.49419,SY1000017.2026.49419,iPad1(1000017),17,01.06.26 10:08,Prod,A1000017.6853,Tisch 12,106,S1000017.49419,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000017.49420,SP1000017.23.49420,SY1000017.2026.49420,iPad1(1000017),17,01.06.26 16:41,Prod,A1000017.6854,Tisch 17,109,S1000017.49420,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000017.49421,SP1000017.23.49421,SY1000017.2026.49421,iPad1(1000017),17,01.06.26 16:41,Prod,A1000017.6854,Tisch 17,109,S1000017.49421,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000017.49422,SP1000017.23.49422,SY1000017.2026.49422,iPad1(1000017),17,01.06.26 16:41,Prod,A1000017.6854,Tisch 17,109,S1000017.49422,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000017.49423,SP1000017.23.49423,SY1000017.2026.49423,iPad1(1000017),17,01.06.26 17:01,Prod,A1000017.6855,Tisch 10,112,S1000017.49423,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000017.49424,SP1000017.23.49424,SY1000017.2026.49424,iPad1(1000017),17,01.06.26 17:01,Prod,A1000017.6855,Tisch 10,112,S1000017.49424,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000017.49425,SP1000017.23.49425,SY1000017.2026.49425,iPad1(1000017),17,01.06.26 11:05,Prod,A1000017.6856,,107,S1000017.49425,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000017.49426,SP1000017.23.49426,SY1000017.2026.49426,iPad1(1000017),17,01.06.26 11:05,Prod,A1000017.6856,,107,S1000017.49426,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000017.49427,SP1000017.23.49427,SY1000017.2026.49427,iPad1(1000017),17,01.06.26 17:35,Prod,A1000017.6857,Tisch 5,106,S1000017.49427,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000017.49428,SP1000017.23.49428,SY1000017.2026.49428,iPad1(1000017),17,01.06.26 17:35,Prod,A1000017.6857,Tisch 5,106,S1000017.49428,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000017.49429,SP1000017.23.49429,SY1000017.2026.49429,iPad1(1000017),17,01.06.26 17:35,Prod,A1000017.6857,Tisch 5,106,S1000017.49429,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000017.49430,SP1000017.23.49430,SY1000017.2026.49430,iPad1(1000017),17,01.06.26 10:08,Prod,A1000017.6858,Tisch 22,106,S1000017.49430,VOID,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000017.49431,SP1000017.23.49431,SY1000017.2026.49431,iPad1(1000017),17,01.06.26 10:08,Prod,A1000017.6858,Tisch 22,106,S1000017.49431,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000017.49432,SP1000017.23.49432,SY1000017.2026.49432,iPad1(1000017),17,01.06.26 10:08,Prod,A1000017.6858,Tisch 22,106,S1000017.49432,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000017.49433,SP1000017.23.49433,SY1000017.2026.49433,iPad1(1000017),17,01.06.26 20:39,Prod,A1000017.6859,Tisch 13,102,S1000017.49433,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000017.49434,SP1000017.23.49434,SY1000017.2026.49434,iPad1(1000017),17,01.06.26 14:29,Prod,A1000017.6860,Tisch 12,111,S1000017.49434,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
