Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000380.29975,SP1000380.19.29975,SY1000380.2026.29975,iPad1(1000380),380,01.06.26 10:52,Prod,A1000380.6144,Tisch 22,117,S1000380.29975,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000380.29976,SP1000380.19.29976,SY1000380.2026.29976,iPad1(1000380),380,01.06.26 11:48,Prod,A1000380.6145,Tisch 21,113,S1000380.29976,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000380.29977,SP1000380.19.29977,SY1000380.2026.29977,iPad1(1000380),380,01.06.26 11:48,Prod,A1000380.6145,Tisch 21,113,S1000380.29977,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000380.29978,SP1000380.19.29978,SY1000380.2026.29978,iPad1(1000380),380,01.06.26 19:47,Prod,A1000380.6146,Tisch 13,117,S1000380.29978,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000380.29979,SP1000380.19.29979,SY1000380.2026.29979,iPad1(1000380),380,01.06.26 17:05,Prod,A1000380.6147,,110,S1000380.29979,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000380.29980,SP1000380.19.29980,SY1000380.2026.29980,iPad1(1000380),380,01.06.26 09:25,Prod,A1000380.6148,Tisch 18,118,S1000380.29980,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000380.29981,SP1000380.19.29981,SY1000380.2026.29981,iPad1(1000380),380,01.06.26 09:25,Prod,A1000380.6148,Tisch 18,118,S1000380.29981,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000380.29982,SP1000380.19.29982,SY1000380.2026.29982,iPad1(1000380),380,01.06.26 17:18,Prod,A1000380.6149,Tisch 23,120,S1000380.29982,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000380.29983,SP1000380.19.29983,SY1000380.2026.29983,iPad1(1000380),380,01.06.26 17:18,Prod,A1000380.6149,Tisch 23,120,S1000380.29983,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000380.29984,SP1000380.19.29984,SY1000380.2026.29984,iPad1(1000380),380,01.06.26 17:18,Prod,A1000380.6149,Tisch 23,120,S1000380.29984,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000380.29985,SP1000380.19.29985,SY1000380.2026.29985,iPad1(1000380),380,01.06.26 16:41,Prod,A1000380.6150,,113,S1000380.29985,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000380.29986,SP1000380.19.29986,SY1000380.2026.29986,iPad1(1000380),380,01.06.26 16:41,Prod,A1000380.6150,,113,S1000380.29986,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000380.29987,SP1000380.19.29987,SY1000380.2026.29987,iPad1(1000380),380,01.06.26 16:26,Prod,A1000380.6151,Tisch 8,120,S1000380.29987,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
