Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000015.51640,SP1000015.28.51640,SY1000015.2026.51640,iPad1(1000015),15,01.06.26 10:00,Prod,A1000015.6803,Tisch 20,112,S1000015.51640,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000015.51641,SP1000015.28.51641,SY1000015.2026.51641,iPad1(1000015),15,01.06.26 10:00,Prod,A1000015.6803,Tisch 20,112,S1000015.51641,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000015.51642,SP1000015.28.51642,SY1000015.2026.51642,iPad1(1000015),15,01.06.26 12:52,Prod,A1000015.6804,Tisch 10,111,S1000015.51642,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000015.51643,SP1000015.28.51643,SY1000015.2026.51643,iPad1(1000015),15,01.06.26 13:13,Prod,A1000015.6805,Tisch 17,119,S1000015.51643,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000015.51644,SP1000015.28.51644,SY1000015.2026.51644,iPad1(1000015),15,01.06.26 18:15,Prod,A1000015.6806,Tisch 16,115,S1000015.51644,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000015.51645,SP1000015.28.51645,SY1000015.2026.51645,iPad1(1000015),15,01.06.26 19:05,Prod,A1000015.6807,Tisch 1,111,S1000015.51645,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000015.51646,SP1000015.28.51646,SY1000015.2026.51646,iPad1(1000015),15,01.06.26 09:41,Prod,A1000015.6808,Tisch 1,110,S1000015.51646,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000015.51647,SP1000015.28.51647,SY1000015.2026.51647,iPad1(1000015),15,01.06.26 09:41,Prod,A1000015.6808,Tisch 1,110,S1000015.51647,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000015.51648,SP1000015.28.51648,SY1000015.2026.51648,iPad1(1000015),15,01.06.26 10:38,Prod,A1000015.6809,Tisch 24,112,S1000015.51648,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000015.51649,SP1000015.28.51649,SY1000015.2026.51649,iPad1(1000015),15,01.06.26 20:56,Prod,A1000015.6810,Tisch 2,111,S1000015.51649,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
