Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000331.62099,SP1000331.5.62099,SY1000331.2026.62099,iPad1(1000331),331,01.06.26 17:08,Prod,A1000331.6847,Tisch 2,120,S1000331.62099,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000331.62100,SP1000331.5.62100,SY1000331.2026.62100,iPad1(1000331),331,01.06.26 16:55,Prod,A1000331.6848,Tisch 9,112,S1000331.62100,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000331.62101,SP1000331.5.62101,SY1000331.2026.62101,iPad1(1000331),331,01.06.26 12:00,Prod,A1000331.6849,Tisch 10,120,S1000331.62101,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000331.62102,SP1000331.5.62102,SY1000331.2026.62102,iPad1(1000331),331,01.06.26 12:00,Prod,A1000331.6849,Tisch 10,120,S1000331.62102,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000331.62103,SP1000331.5.62103,SY1000331.2026.62103,iPad1(1000331),331,01.06.26 12:00,Prod,A1000331.6849,Tisch 10,120,S1000331.62103,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000331.62104,SP1000331.5.62104,SY1000331.2026.62104,iPad1(1000331),331,01.06.26 11:28,Prod,A1000331.6850,Tisch 17,114,S1000331.62104,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000331.62105,SP1000331.5.62105,SY1000331.2026.62105,iPad1(1000331),331,01.06.26 11:28,Prod,A1000331.6850,Tisch 17,114,S1000331.62105,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000331.62106,SP1000331.5.62106,SY1000331.2026.62106,iPad1(1000331),331,01.06.26 11:28,Prod,A1000331.6850,Tisch 17,114,S1000331.62106,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000331.62107,SP1000331.5.62107,SY1000331.2026.62107,iPad1(1000331),331,01.06.26 08:45,Prod,A1000331.6851,Tisch 13,114,S1000331.62107,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000331.62108,SP1000331.5.62108,SY1000331.2026.62108,iPad1(1000331),331,01.06.26 08:45,Prod,A1000331.6851,Tisch 13,114,S1000331.62108,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000331.62109,SP1000331.5.62109,SY1000331.2026.62109,iPad1(1000331),331,01.06.26 08:45,Prod,A1000331.6851,Tisch 13,114,S1000331.62109,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000331.62110,SP1000331.5.62110,SY1000331.2026.62110,iPad1(1000331),331,01.06.26 12:52,Prod,A1000331.6852,Tisch 5,118,S1000331.62110,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000331.62111,SP1000331.5.62111,SY1000331.2026.62111,iPad1(1000331),331,01.06.26 12:52,Prod,A1000331.6852,Tisch 5,118,S1000331.62111,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000331.62112,SP1000331.5.62112,SY1000331.2026.62112,iPad1(1000331),331,01.06.26 12:52,Prod,A1000331.6852,Tisch 5,118,S1000331.62112,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000331.62113,SP1000331.5.62113,SY1000331.2026.62113,iPad1(1000331),331,01.06.26 12:33,Prod,A1000331.6853,Tisch 20,118,S1000331.62113,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000331.62114,SP1000331.5.62114,SY1000331.2026.62114,iPad1(1000331),331,01.06.26 13:56,Prod,A1000331.6854,Tisch 22,120,S1000331.62114,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000331.62115,SP1000331.5.62115,SY1000331.2026.62115,iPad1(1000331),331,01.06.26 13:56,Prod,A1000331.6854,Tisch 22,120,S1000331.62115,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000331.62116,SP1000331.5.62116,SY1000331.2026.62116,iPad1(1000331),331,01.06.26 18:04,Prod,A1000331.6855,Tisch 17,112,S1000331.62116,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000331.62117,SP1000331.5.62117,SY1000331.2026.62117,iPad1(1000331),331,01.06.26 18:04,Prod,A1000331.6855,Tisch 17,112,S1000331.62117,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000331.62118,SP1000331.5.62118,SY1000331.2026.62118,iPad1(1000331),331,01.06.26 18:04,Prod,A1000331.6855,Tisch 17,112,S1000331.62118,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000331.62119,SP1000331.5.62119,SY1000331.2026.62119,iPad1(1000331),331,01.06.26 11:27,Prod,A1000331.6856,Tisch 1,120,S1000331.62119,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000331.62120,SP1000331.5.62120,SY1000331.2026.62120,iPad1(1000331),331,01.06.26 11:27,Prod,A1000331.6856,Tisch 1,120,S1000331.62120,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
