Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000123.35961,SP1000123.32.35961,SY1000123.2026.35961,iPad1(1000123),123,01.06.26 13:04,Prod,A1000123.6860,Tisch 3,117,S1000123.35961,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000123.35962,SP1000123.32.35962,SY1000123.2026.35962,iPad1(1000123),123,01.06.26 13:04,Prod,A1000123.6860,Tisch 3,117,S1000123.35962,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000123.35963,SP1000123.32.35963,SY1000123.2026.35963,iPad1(1000123),123,01.06.26 13:04,Prod,A1000123.6860,Tisch 3,117,S1000123.35963,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000123.35964,SP1000123.32.35964,SY1000123.2026.35964,iPad1(1000123),123,01.06.26 12:19,Prod,A1000123.6861,Tisch 21,108,S1000123.35964,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000123.35965,SP1000123.32.35965,SY1000123.2026.35965,iPad1(1000123),123,01.06.26 12:55,Prod,A1000123.6862,Tisch 6,105,S1000123.35965,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000123.35966,SP1000123.32.35966,SY1000123.2026.35966,iPad1(1000123),123,01.06.26 12:55,Prod,A1000123.6862,Tisch 6,105,S1000123.35966,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000123.35967,SP1000123.32.35967,SY1000123.2026.35967,iPad1(1000123),123,01.06.26 11:03,Prod,A1000123.6863,Tisch 5,117,S1000123.35967,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000123.35968,SP1000123.32.35968,SY1000123.2026.35968,iPad1(1000123),123,01.06.26 11:03,Prod,A1000123.6863,Tisch 5,117,S1000123.35968,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000123.35969,SP1000123.32.35969,SY1000123.2026.35969,iPad1(1000123),123,01.06.26 11:14,Prod,A1000123.6864,Tisch 20,108,S1000123.35969,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000123.35970,SP1000123.32.35970,SY1000123.2026.35970,iPad1(1000123),123,01.06.26 11:14,Prod,A1000123.6864,Tisch 20,108,S1000123.35970,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000123.35971,SP1000123.32.35971,SY1000123.2026.35971,iPad1(1000123),123,01.06.26 18:45,Prod,A1000123.6865,Tisch 12,117,S1000123.35971,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000123.35972,SP1000123.32.35972,SY1000123.2026.35972,iPad1(1000123),123,01.06.26 10:16,Prod,A1000123.6866,Tisch 14,117,S1000123.35972,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000123.35973,SP1000123.32.35973,SY1000123.2026.35973,iPad1(1000123),123,01.06.26 10:16,Prod,A1000123.6866,Tisch 14,117,S1000123.35973,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000123.35974,SP1000123.32.35974,SY1000123.2026.35974,iPad1(1000123),123,01.06.26 10:16,Prod,A1000123.6866,Tisch 14,117,S1000123.35974,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000123.35975,SP1000123.32.35975,SY1000123.2026.35975,iPad1(1000123),123,01.06.26 18:58,Prod,A1000123.6867,Tisch 1,117,S1000123.35975,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000123.35976,SP1000123.32.35976,SY1000123.2026.35976,iPad1(1000123),123,01.06.26 18:58,Prod,A1000123.6867,Tisch 1,117,S1000123.35976,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000123.35977,SP1000123.32.35977,SY1000123.2026.35977,iPad1(1000123),123,01.06.26 16:22,Prod,A1000123.6868,Tisch 24,105,S1000123.35977,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000123.35978,SP1000123.32.35978,SY1000123.2026.35978,iPad1(1000123),123,01.06.26 16:22,Prod,A1000123.6868,Tisch 24,105,S1000123.35978,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000123.35979,SP1000123.32.35979,SY1000123.2026.35979,iPad1(1000123),123,01.06.26 16:22,Prod,A1000123.6868,Tisch 24,105,S1000123.35979,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000123.35980,SP1000123.32.35980,SY1000123.2026.35980,iPad1(1000123),123,01.06.26 13:55,Prod,A1000123.6869,Tisch 1,108,S1000123.35980,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000123.35981,SP1000123.32.35981,SY1000123.2026.35981,iPad1(1000123),123,01.06.26 17:19,Prod,A1000123.6870,Tisch 17,115,S1000123.35981,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000123.35982,SP1000123.32.35982,SY1000123.2026.35982,iPad1(1000123),123,01.06.26 17:19,Prod,A1000123.6870,Tisch 17,115,S1000123.35982,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000123.35983,SP1000123.32.35983,SY1000123.2026.35983,iPad1(1000123),123,01.06.26 17:19,Prod,A1000123.6870,Tisch 17,115,S1000123.35983,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000123.35984,SP1000123.32.35984,SY1000123.2026.35984,iPad1(1000123),123,01.06.26 11:28,Prod,A1000123.6871,Tisch 5,108,S1000123.35984,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000123.35985,SP1000123.32.35985,SY1000123.2026.35985,iPad1(1000123),123,01.06.26 11:28,Prod,A1000123.6871,Tisch 5,108,S1000123.35985,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000123.35986,SP1000123.32.35986,SY1000123.2026.35986,iPad1(1000123),123,01.06.26 20:16,Prod,A1000123.6872,Tisch 1,115,S1000123.35986,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000123.35987,SP1000123.32.35987,SY1000123.2026.35987,iPad1(1000123),123,01.06.26 18:27,Prod,A1000123.6873,Tisch 11,108,S1000123.35987,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000123.35988,SP1000123.32.35988,SY1000123.2026.35988,iPad1(1000123),123,01.06.26 18:27,Prod,A1000123.6873,Tisch 11,108,S1000123.35988,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000123.35989,SP1000123.32.35989,SY1000123.2026.35989,iPad1(1000123),123,01.06.26 10:42,Prod,A1000123.6874,Tisch 4,105,S1000123.35989,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000123.35990,SP1000123.32.35990,SY1000123.2026.35990,iPad1(1000123),123,01.06.26 10:42,Prod,A1000123.6874,Tisch 4,105,S1000123.35990,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000123.35991,SP1000123.32.35991,SY1000123.2026.35991,iPad1(1000123),123,01.06.26 20:48,Prod,A1000123.6875,Tisch 20,115,S1000123.35991,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000123.35992,SP1000123.32.35992,SY1000123.2026.35992,iPad1(1000123),123,01.06.26 11:40,Prod,A1000123.6876,Tisch 24,105,S1000123.35992,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000123.35993,SP1000123.32.35993,SY1000123.2026.35993,iPad1(1000123),123,01.06.26 10:07,Prod,A1000123.6877,Tisch 11,105,S1000123.35993,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000123.35994,SP1000123.32.35994,SY1000123.2026.35994,iPad1(1000123),123,01.06.26 10:07,Prod,A1000123.6877,Tisch 11,105,S1000123.35994,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000123.35995,SP1000123.32.35995,SY1000123.2026.35995,iPad1(1000123),123,01.06.26 10:36,Prod,A1000123.6878,,111,S1000123.35995,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000123.35996,SP1000123.32.35996,SY1000123.2026.35996,iPad1(1000123),123,01.06.26 10:36,Prod,A1000123.6878,,111,S1000123.35996,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000123.35997,SP1000123.32.35997,SY1000123.2026.35997,iPad1(1000123),123,01.06.26 19:05,Prod,A1000123.6879,Tisch 23,111,S1000123.35997,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000123.35998,SP1000123.32.35998,SY1000123.2026.35998,iPad1(1000123),123,01.06.26 19:05,Prod,A1000123.6879,Tisch 23,111,S1000123.35998,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000123.35999,SP1000123.32.35999,SY1000123.2026.35999,iPad1(1000123),123,01.06.26 19:05,Prod,A1000123.6879,Tisch 23,111,S1000123.35999,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000123.36000,SP1000123.32.36000,SY1000123.2026.36000,iPad1(1000123),123,01.06.26 18:25,Prod,A1000123.6880,,108,S1000123.36000,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000123.36001,SP1000123.32.36001,SY1000123.2026.36001,iPad1(1000123),123,01.06.26 18:25,Prod,A1000123.6880,,108,S1000123.36001,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000123.36002,SP1000123.32.36002,SY1000123.2026.36002,iPad1(1000123),123,01.06.26 11:27,Prod,A1000123.6881,Tisch 18,111,S1000123.36002,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
