Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000002.23818,SP1000002.10.23818,SY1000002.2026.23818,iPad1(1000002),2,01.06.26 20:17,Prod,A1000002.6192,Tisch 6,104,S1000002.23818,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000002.23819,SP1000002.10.23819,SY1000002.2026.23819,iPad1(1000002),2,01.06.26 20:17,Prod,A1000002.6192,Tisch 6,104,S1000002.23819,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000002.23820,SP1000002.10.23820,SY1000002.2026.23820,iPad1(1000002),2,01.06.26 20:17,Prod,A1000002.6192,Tisch 6,104,S1000002.23820,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000002.23821,SP1000002.10.23821,SY1000002.2026.23821,iPad1(1000002),2,01.06.26 12:41,Prod,A1000002.6193,Tisch 13,115,S1000002.23821,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000002.23822,SP1000002.10.23822,SY1000002.2026.23822,iPad1(1000002),2,01.06.26 12:41,Prod,A1000002.6193,Tisch 13,115,S1000002.23822,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000002.23823,SP1000002.10.23823,SY1000002.2026.23823,iPad1(1000002),2,01.06.26 15:19,Prod,A1000002.6194,Tisch 22,115,S1000002.23823,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000002.23824,SP1000002.10.23824,SY1000002.2026.23824,iPad1(1000002),2,01.06.26 10:41,Prod,A1000002.6195,,119,S1000002.23824,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000002.23825,SP1000002.10.23825,SY1000002.2026.23825,iPad1(1000002),2,01.06.26 10:41,Prod,A1000002.6195,,119,S1000002.23825,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000002.23826,SP1000002.10.23826,SY1000002.2026.23826,iPad1(1000002),2,01.06.26 18:22,Prod,A1000002.6196,Tisch 1,115,S1000002.23826,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000002.23827,SP1000002.10.23827,SY1000002.2026.23827,iPad1(1000002),2,01.06.26 18:22,Prod,A1000002.6196,Tisch 1,115,S1000002.23827,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000002.23828,SP1000002.10.23828,SY1000002.2026.23828,iPad1(1000002),2,01.06.26 13:28,Prod,A1000002.6197,Tisch 22,102,S1000002.23828,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000002.23829,SP1000002.10.23829,SY1000002.2026.23829,iPad1(1000002),2,01.06.26 16:17,Prod,A1000002.6198,Tisch 19,117,S1000002.23829,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
