Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000047.26071,SP1000047.12.26071,SY1000047.2026.26071,iPad1(1000047),47,01.06.26 12:24,Prod,A1000047.6862,Tisch 16,110,S1000047.26071,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000047.26072,SP1000047.12.26072,SY1000047.2026.26072,iPad1(1000047),47,01.06.26 12:24,Prod,A1000047.6862,Tisch 16,110,S1000047.26072,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000047.26073,SP1000047.12.26073,SY1000047.2026.26073,iPad1(1000047),47,01.06.26 12:24,Prod,A1000047.6862,Tisch 16,110,S1000047.26073,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000047.26074,SP1000047.12.26074,SY1000047.2026.26074,iPad1(1000047),47,01.06.26 19:36,Prod,A1000047.6863,Tisch 19,110,S1000047.26074,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000047.26075,SP1000047.12.26075,SY1000047.2026.26075,iPad1(1000047),47,01.06.26 19:36,Prod,A1000047.6863,Tisch 19,110,S1000047.26075,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000047.26076,SP1000047.12.26076,SY1000047.2026.26076,iPad1(1000047),47,01.06.26 20:03,Prod,A1000047.6864,Tisch 16,110,S1000047.26076,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000047.26077,SP1000047.12.26077,SY1000047.2026.26077,iPad1(1000047),47,01.06.26 20:03,Prod,A1000047.6864,Tisch 16,110,S1000047.26077,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000047.26078,SP1000047.12.26078,SY1000047.2026.26078,iPad1(1000047),47,01.06.26 19:46,Prod,A1000047.6865,Tisch 17,105,S1000047.26078,VOID,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000047.26079,SP1000047.12.26079,SY1000047.2026.26079,iPad1(1000047),47,01.06.26 19:46,Prod,A1000047.6865,Tisch 17,105,S1000047.26079,VOID,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000047.26080,SP1000047.12.26080,SY1000047.2026.26080,iPad1(1000047),47,01.06.26 12:33,Prod,A1000047.6866,Tisch 4,116,S1000047.26080,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000047.26081,SP1000047.12.26081,SY1000047.2026.26081,iPad1(1000047),47,01.06.26 12:33,Prod,A1000047.6866,Tisch 4,116,S1000047.26081,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000047.26082,SP1000047.12.26082,SY1000047.2026.26082,iPad1(1000047),47,01.06.26 19:58,Prod,A1000047.6867,Tisch 6,110,S1000047.26082,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000047.26083,SP1000047.12.26083,SY1000047.2026.26083,iPad1(1000047),47,01.06.26 19:58,Prod,A1000047.6867,Tisch 6,110,S1000047.26083,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000047.26084,SP1000047.12.26084,SY1000047.2026.26084,iPad1(1000047),47,01.06.26 19:58,Prod,A1000047.6867,Tisch 6,110,S1000047.26084,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000047.26085,SP1000047.12.26085,SY1000047.2026.26085,iPad1(1000047),47,01.06.26 13:54,Prod,A1000047.6868,Tisch 13,107,S1000047.26085,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
