Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000318.26433,SP1000318.36.26433,SY1000318.2026.26433,iPad1(1000318),318,01.06.26 11:14,Prod,A1000318.6507,Tisch 8,109,S1000318.26433,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000318.26434,SP1000318.36.26434,SY1000318.2026.26434,iPad1(1000318),318,01.06.26 11:14,Prod,A1000318.6507,Tisch 8,109,S1000318.26434,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000318.26435,SP1000318.36.26435,SY1000318.2026.26435,iPad1(1000318),318,01.06.26 08:25,Prod,A1000318.6508,Tisch 13,109,S1000318.26435,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000318.26436,SP1000318.36.26436,SY1000318.2026.26436,iPad1(1000318),318,01.06.26 08:25,Prod,A1000318.6508,Tisch 13,109,S1000318.26436,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000318.26437,SP1000318.36.26437,SY1000318.2026.26437,iPad1(1000318),318,01.06.26 08:25,Prod,A1000318.6508,Tisch 13,109,S1000318.26437,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000318.26438,SP1000318.36.26438,SY1000318.2026.26438,iPad1(1000318),318,01.06.26 12:40,Prod,A1000318.6509,Tisch 18,109,S1000318.26438,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000318.26439,SP1000318.36.26439,SY1000318.2026.26439,iPad1(1000318),318,01.06.26 12:07,Prod,A1000318.6510,Tisch 24,118,S1000318.26439,VOID,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000318.26440,SP1000318.36.26440,SY1000318.2026.26440,iPad1(1000318),318,01.06.26 12:07,Prod,A1000318.6510,Tisch 24,118,S1000318.26440,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000318.26441,SP1000318.36.26441,SY1000318.2026.26441,iPad1(1000318),318,01.06.26 12:05,Prod,A1000318.6511,,109,S1000318.26441,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000318.26442,SP1000318.36.26442,SY1000318.2026.26442,iPad1(1000318),318,01.06.26 12:20,Prod,A1000318.6512,Tisch 15,106,S1000318.26442,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000318.26443,SP1000318.36.26443,SY1000318.2026.26443,iPad1(1000318),318,01.06.26 15:16,Prod,A1000318.6513,Tisch 22,109,S1000318.26443,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000318.26444,SP1000318.36.26444,SY1000318.2026.26444,iPad1(1000318),318,01.06.26 15:16,Prod,A1000318.6513,Tisch 22,109,S1000318.26444,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000318.26445,SP1000318.36.26445,SY1000318.2026.26445,iPad1(1000318),318,01.06.26 15:16,Prod,A1000318.6513,Tisch 22,109,S1000318.26445,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000318.26446,SP1000318.36.26446,SY1000318.2026.26446,iPad1(1000318),318,01.06.26 17:09,Prod,A1000318.6514,Tisch 13,106,S1000318.26446,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000318.26447,SP1000318.36.26447,SY1000318.2026.26447,iPad1(1000318),318,01.06.26 17:09,Prod,A1000318.6514,Tisch 13,106,S1000318.26447,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000318.26448,SP1000318.36.26448,SY1000318.2026.26448,iPad1(1000318),318,01.06.26 13:08,Prod,A1000318.6515,Tisch 12,116,S1000318.26448,VOID,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000318.26449,SP1000318.36.26449,SY1000318.2026.26449,iPad1(1000318),318,01.06.26 13:08,Prod,A1000318.6515,Tisch 12,116,S1000318.26449,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000318.26450,SP1000318.36.26450,SY1000318.2026.26450,iPad1(1000318),318,01.06.26 13:08,Prod,A1000318.6515,Tisch 12,116,S1000318.26450,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000318.26451,SP1000318.36.26451,SY1000318.2026.26451,iPad1(1000318),318,01.06.26 14:29,Prod,A1000318.6516,Tisch 18,103,S1000318.26451,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000318.26452,SP1000318.36.26452,SY1000318.2026.26452,iPad1(1000318),318,01.06.26 14:29,Prod,A1000318.6516,Tisch 18,103,S1000318.26452,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000318.26453,SP1000318.36.26453,SY1000318.2026.26453,iPad1(1000318),318,01.06.26 19:27,Prod,A1000318.6517,Tisch 17,120,S1000318.26453,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000318.26454,SP1000318.36.26454,SY1000318.2026.26454,iPad1(1000318),318,01.06.26 19:27,Prod,A1000318.6517,Tisch 17,120,S1000318.26454,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000318.26455,SP1000318.36.26455,SY1000318.2026.26455,iPad1(1000318),318,01.06.26 13:21,Prod,A1000318.6518,Tisch 4,120,S1000318.26455,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000318.26456,SP1000318.36.26456,SY1000318.2026.26456,iPad1(1000318),318,01.06.26 13:21,Prod,A1000318.6518,Tisch 4,120,S1000318.26456,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000318.26457,SP1000318.36.26457,SY1000318.2026.26457,iPad1(1000318),318,01.06.26 13:21,Prod,A1000318.6518,Tisch 4,120,S1000318.26457,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
