Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000374.41304,SP1000374.50.41304,SY1000374.2026.41304,iPad1(1000374),374,01.06.26 18:57,Prod,A1000374.6376,Tisch 24,116,S1000374.41304,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000374.41305,SP1000374.50.41305,SY1000374.2026.41305,iPad1(1000374),374,01.06.26 18:57,Prod,A1000374.6376,Tisch 24,116,S1000374.41305,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000374.41306,SP1000374.50.41306,SY1000374.2026.41306,iPad1(1000374),374,01.06.26 18:57,Prod,A1000374.6376,Tisch 24,116,S1000374.41306,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000374.41307,SP1000374.50.41307,SY1000374.2026.41307,iPad1(1000374),374,01.06.26 10:37,Prod,A1000374.6377,Tisch 24,112,S1000374.41307,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000374.41308,SP1000374.50.41308,SY1000374.2026.41308,iPad1(1000374),374,01.06.26 10:37,Prod,A1000374.6377,Tisch 24,112,S1000374.41308,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000374.41309,SP1000374.50.41309,SY1000374.2026.41309,iPad1(1000374),374,01.06.26 18:32,Prod,A1000374.6378,,115,S1000374.41309,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000374.41310,SP1000374.50.41310,SY1000374.2026.41310,iPad1(1000374),374,01.06.26 08:08,Prod,A1000374.6379,Tisch 1,112,S1000374.41310,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000374.41311,SP1000374.50.41311,SY1000374.2026.41311,iPad1(1000374),374,01.06.26 12:12,Prod,A1000374.6380,Tisch 7,109,S1000374.41311,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000374.41312,SP1000374.50.41312,SY1000374.2026.41312,iPad1(1000374),374,01.06.26 16:47,Prod,A1000374.6381,Tisch 8,117,S1000374.41312,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000374.41313,SP1000374.50.41313,SY1000374.2026.41313,iPad1(1000374),374,01.06.26 16:47,Prod,A1000374.6381,Tisch 8,117,S1000374.41313,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
