Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000350.39353,SP1000350.18.39353,SY1000350.2026.39353,iPad1(1000350),350,01.06.26 16:38,Prod,A1000350.6031,Tisch 15,110,S1000350.39353,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000350.39354,SP1000350.18.39354,SY1000350.2026.39354,iPad1(1000350),350,01.06.26 16:38,Prod,A1000350.6031,Tisch 15,110,S1000350.39354,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000350.39355,SP1000350.18.39355,SY1000350.2026.39355,iPad1(1000350),350,01.06.26 10:35,Prod,A1000350.6032,Tisch 5,106,S1000350.39355,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000350.39356,SP1000350.18.39356,SY1000350.2026.39356,iPad1(1000350),350,01.06.26 12:28,Prod,A1000350.6033,Tisch 1,106,S1000350.39356,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000350.39357,SP1000350.18.39357,SY1000350.2026.39357,iPad1(1000350),350,01.06.26 12:28,Prod,A1000350.6033,Tisch 1,106,S1000350.39357,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000350.39358,SP1000350.18.39358,SY1000350.2026.39358,iPad1(1000350),350,01.06.26 17:49,Prod,A1000350.6034,,106,S1000350.39358,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000350.39359,SP1000350.18.39359,SY1000350.2026.39359,iPad1(1000350),350,01.06.26 17:49,Prod,A1000350.6034,,106,S1000350.39359,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000350.39360,SP1000350.18.39360,SY1000350.2026.39360,iPad1(1000350),350,01.06.26 19:19,Prod,A1000350.6035,Tisch 11,114,S1000350.39360,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000350.39361,SP1000350.18.39361,SY1000350.2026.39361,iPad1(1000350),350,01.06.26 19:19,Prod,A1000350.6035,Tisch 11,114,S1000350.39361,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000350.39362,SP1000350.18.39362,SY1000350.2026.39362,iPad1(1000350),350,01.06.26 19:19,Prod,A1000350.6035,Tisch 11,114,S1000350.39362,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000350.39363,SP1000350.18.39363,SY1000350.2026.39363,iPad1(1000350),350,01.06.26 13:51,Prod,A1000350.6036,Tisch 13,114,S1000350.39363,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000350.39364,SP1000350.18.39364,SY1000350.2026.39364,iPad1(1000350),350,01.06.26 13:51,Prod,A1000350.6036,Tisch 13,114,S1000350.39364,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000350.39365,SP1000350.18.39365,SY1000350.2026.39365,iPad1(1000350),350,01.06.26 16:55,Prod,A1000350.6037,Tisch 13,106,S1000350.39365,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
