Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000009.23069,SP1000009.12.23069,SY1000009.2026.23069,iPad1(1000009),9,01.06.26 13:34,Prod,A1000009.6584,Tisch 15,109,S1000009.23069,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000009.23070,SP1000009.12.23070,SY1000009.2026.23070,iPad1(1000009),9,01.06.26 13:34,Prod,A1000009.6584,Tisch 15,109,S1000009.23070,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000009.23071,SP1000009.12.23071,SY1000009.2026.23071,iPad1(1000009),9,01.06.26 13:34,Prod,A1000009.6584,Tisch 15,109,S1000009.23071,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000009.23072,SP1000009.12.23072,SY1000009.2026.23072,iPad1(1000009),9,01.06.26 11:53,Prod,A1000009.6585,Tisch 6,109,S1000009.23072,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000009.23073,SP1000009.12.23073,SY1000009.2026.23073,iPad1(1000009),9,01.06.26 11:53,Prod,A1000009.6585,Tisch 6,109,S1000009.23073,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000009.23074,SP1000009.12.23074,SY1000009.2026.23074,iPad1(1000009),9,01.06.26 12:26,Prod,A1000009.6586,Tisch 21,104,S1000009.23074,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000009.23075,SP1000009.12.23075,SY1000009.2026.23075,iPad1(1000009),9,01.06.26 12:26,Prod,A1000009.6586,Tisch 21,104,S1000009.23075,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000009.23076,SP1000009.12.23076,SY1000009.2026.23076,iPad1(1000009),9,01.06.26 12:26,Prod,A1000009.6586,Tisch 21,104,S1000009.23076,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000009.23077,SP1000009.12.23077,SY1000009.2026.23077,iPad1(1000009),9,01.06.26 10:56,Prod,A1000009.6587,Tisch 18,103,S1000009.23077,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000009.23078,SP1000009.12.23078,SY1000009.2026.23078,iPad1(1000009),9,01.06.26 10:56,Prod,A1000009.6587,Tisch 18,103,S1000009.23078,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
