Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000253.49850,SP1000253.2.49850,SY1000253.2026.49850,iPad1(1000253),253,01.06.26 10:24,Prod,A1000253.6655,Tisch 17,116,S1000253.49850,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000253.49851,SP1000253.2.49851,SY1000253.2026.49851,iPad1(1000253),253,01.06.26 10:24,Prod,A1000253.6655,Tisch 17,116,S1000253.49851,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000253.49852,SP1000253.2.49852,SY1000253.2026.49852,iPad1(1000253),253,01.06.26 10:24,Prod,A1000253.6655,Tisch 17,116,S1000253.49852,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000253.49853,SP1000253.2.49853,SY1000253.2026.49853,iPad1(1000253),253,01.06.26 12:25,Prod,A1000253.6656,Tisch 20,116,S1000253.49853,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000253.49854,SP1000253.2.49854,SY1000253.2026.49854,iPad1(1000253),253,01.06.26 12:25,Prod,A1000253.6656,Tisch 20,116,S1000253.49854,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000253.49855,SP1000253.2.49855,SY1000253.2026.49855,iPad1(1000253),253,01.06.26 16:43,Prod,A1000253.6657,Tisch 1,103,S1000253.49855,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000253.49856,SP1000253.2.49856,SY1000253.2026.49856,iPad1(1000253),253,01.06.26 17:28,Prod,A1000253.6658,Tisch 3,116,S1000253.49856,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000253.49857,SP1000253.2.49857,SY1000253.2026.49857,iPad1(1000253),253,01.06.26 17:28,Prod,A1000253.6658,Tisch 3,116,S1000253.49857,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000253.49858,SP1000253.2.49858,SY1000253.2026.49858,iPad1(1000253),253,01.06.26 17:28,Prod,A1000253.6658,Tisch 3,116,S1000253.49858,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000253.49859,SP1000253.2.49859,SY1000253.2026.49859,iPad1(1000253),253,01.06.26 10:49,Prod,A1000253.6659,Tisch 3,111,S1000253.49859,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000253.49860,SP1000253.2.49860,SY1000253.2026.49860,iPad1(1000253),253,01.06.26 10:49,Prod,A1000253.6659,Tisch 3,111,S1000253.49860,VOID,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000253.49861,SP1000253.2.49861,SY1000253.2026.49861,iPad1(1000253),253,01.06.26 18:03,Prod,A1000253.6660,Tisch 15,108,S1000253.49861,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000253.49862,SP1000253.2.49862,SY1000253.2026.49862,iPad1(1000253),253,01.06.26 18:03,Prod,A1000253.6660,Tisch 15,108,S1000253.49862,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000253.49863,SP1000253.2.49863,SY1000253.2026.49863,iPad1(1000253),253,01.06.26 18:03,Prod,A1000253.6660,Tisch 15,108,S1000253.49863,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000253.49864,SP1000253.2.49864,SY1000253.2026.49864,iPad1(1000253),253,01.06.26 10:31,Prod,A1000253.6661,,111,S1000253.49864,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000253.49865,SP1000253.2.49865,SY1000253.2026.49865,iPad1(1000253),253,01.06.26 10:31,Prod,A1000253.6661,,111,S1000253.49865,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000253.49866,SP1000253.2.49866,SY1000253.2026.49866,iPad1(1000253),253,01.06.26 11:30,Prod,A1000253.6662,Tisch 18,103,S1000253.49866,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000253.49867,SP1000253.2.49867,SY1000253.2026.49867,iPad1(1000253),253,01.06.26 11:30,Prod,A1000253.6662,Tisch 18,103,S1000253.49867,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000253.49868,SP1000253.2.49868,SY1000253.2026.49868,iPad1(1000253),253,01.06.26 11:30,Prod,A1000253.6662,Tisch 18,103,S1000253.49868,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000253.49869,SP1000253.2.49869,SY1000253.2026.49869,iPad1(1000253),253,01.06.26 12:50,Prod,A1000253.6663,Tisch 16,103,S1000253.49869,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000253.49870,SP1000253.2.49870,SY1000253.2026.49870,iPad1(1000253),253,01.06.26 12:50,Prod,A1000253.6663,Tisch 16,103,S1000253.49870,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
