Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000378.70916,SP1000378.39.70916,SY1000378.2026.70916,iPad1(1000378),378,01.06.26 11:39,Prod,A1000378.6161,,114,S1000378.70916,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000378.70917,SP1000378.39.70917,SY1000378.2026.70917,iPad1(1000378),378,01.06.26 11:39,Prod,A1000378.6161,,114,S1000378.70917,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000378.70918,SP1000378.39.70918,SY1000378.2026.70918,iPad1(1000378),378,01.06.26 11:39,Prod,A1000378.6161,,114,S1000378.70918,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000378.70919,SP1000378.39.70919,SY1000378.2026.70919,iPad1(1000378),378,01.06.26 09:47,Prod,A1000378.6162,Tisch 3,118,S1000378.70919,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000378.70920,SP1000378.39.70920,SY1000378.2026.70920,iPad1(1000378),378,01.06.26 09:47,Prod,A1000378.6162,Tisch 3,118,S1000378.70920,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000378.70921,SP1000378.39.70921,SY1000378.2026.70921,iPad1(1000378),378,01.06.26 09:47,Prod,A1000378.6162,Tisch 3,118,S1000378.70921,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000378.70922,SP1000378.39.70922,SY1000378.2026.70922,iPad1(1000378),378,01.06.26 17:44,Prod,A1000378.6163,Tisch 4,113,S1000378.70922,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000378.70923,SP1000378.39.70923,SY1000378.2026.70923,iPad1(1000378),378,01.06.26 19:33,Prod,A1000378.6164,Tisch 7,114,S1000378.70923,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000378.70924,SP1000378.39.70924,SY1000378.2026.70924,iPad1(1000378),378,01.06.26 19:33,Prod,A1000378.6164,Tisch 7,114,S1000378.70924,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000378.70925,SP1000378.39.70925,SY1000378.2026.70925,iPad1(1000378),378,01.06.26 19:33,Prod,A1000378.6164,Tisch 7,114,S1000378.70925,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
