Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000161.37621,SP1000161.22.37621,SY1000161.2026.37621,iPad1(1000161),161,01.06.26 10:31,Prod,A1000161.6637,Tisch 20,106,S1000161.37621,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000161.37622,SP1000161.22.37622,SY1000161.2026.37622,iPad1(1000161),161,01.06.26 10:31,Prod,A1000161.6637,Tisch 20,106,S1000161.37622,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000161.37623,SP1000161.22.37623,SY1000161.2026.37623,iPad1(1000161),161,01.06.26 10:31,Prod,A1000161.6637,Tisch 20,106,S1000161.37623,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000161.37624,SP1000161.22.37624,SY1000161.2026.37624,iPad1(1000161),161,01.06.26 10:30,Prod,A1000161.6638,Tisch 24,106,S1000161.37624,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000161.37625,SP1000161.22.37625,SY1000161.2026.37625,iPad1(1000161),161,01.06.26 12:41,Prod,A1000161.6639,Tisch 12,106,S1000161.37625,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000161.37626,SP1000161.22.37626,SY1000161.2026.37626,iPad1(1000161),161,01.06.26 12:41,Prod,A1000161.6639,Tisch 12,106,S1000161.37626,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000161.37627,SP1000161.22.37627,SY1000161.2026.37627,iPad1(1000161),161,01.06.26 12:13,Prod,A1000161.6640,Tisch 16,115,S1000161.37627,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000161.37628,SP1000161.22.37628,SY1000161.2026.37628,iPad1(1000161),161,01.06.26 12:15,Prod,A1000161.6641,Tisch 12,105,S1000161.37628,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000161.37629,SP1000161.22.37629,SY1000161.2026.37629,iPad1(1000161),161,01.06.26 12:15,Prod,A1000161.6641,Tisch 12,105,S1000161.37629,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000161.37630,SP1000161.22.37630,SY1000161.2026.37630,iPad1(1000161),161,01.06.26 12:15,Prod,A1000161.6641,Tisch 12,105,S1000161.37630,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
