Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000145.10271,SP1000145.27.10271,SY1000145.2026.10271,iPad1(1000145),145,01.06.26 19:17,Prod,A1000145.6712,Tisch 11,116,S1000145.10271,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000145.10272,SP1000145.27.10272,SY1000145.2026.10272,iPad1(1000145),145,01.06.26 19:17,Prod,A1000145.6712,Tisch 11,116,S1000145.10272,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000145.10273,SP1000145.27.10273,SY1000145.2026.10273,iPad1(1000145),145,01.06.26 19:17,Prod,A1000145.6712,Tisch 11,116,S1000145.10273,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000145.10274,SP1000145.27.10274,SY1000145.2026.10274,iPad1(1000145),145,01.06.26 16:18,Prod,A1000145.6713,Tisch 16,102,S1000145.10274,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000145.10275,SP1000145.27.10275,SY1000145.2026.10275,iPad1(1000145),145,01.06.26 16:18,Prod,A1000145.6713,Tisch 16,102,S1000145.10275,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000145.10276,SP1000145.27.10276,SY1000145.2026.10276,iPad1(1000145),145,01.06.26 19:38,Prod,A1000145.6714,Tisch 19,112,S1000145.10276,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000145.10277,SP1000145.27.10277,SY1000145.2026.10277,iPad1(1000145),145,01.06.26 19:38,Prod,A1000145.6714,Tisch 19,112,S1000145.10277,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000145.10278,SP1000145.27.10278,SY1000145.2026.10278,iPad1(1000145),145,01.06.26 19:38,Prod,A1000145.6714,Tisch 19,112,S1000145.10278,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000145.10279,SP1000145.27.10279,SY1000145.2026.10279,iPad1(1000145),145,01.06.26 12:03,Prod,A1000145.6715,,112,S1000145.10279,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000145.10280,SP1000145.27.10280,SY1000145.2026.10280,iPad1(1000145),145,01.06.26 12:03,Prod,A1000145.6715,,112,S1000145.10280,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
