Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000011.49273,SP1000011.34.49273,SY1000011.2026.49273,iPad1(1000011),11,01.06.26 20:44,Prod,A1000011.6086,Tisch 3,120,S1000011.49273,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000011.49274,SP1000011.34.49274,SY1000011.2026.49274,iPad1(1000011),11,01.06.26 18:05,Prod,A1000011.6087,Tisch 16,106,S1000011.49274,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000011.49275,SP1000011.34.49275,SY1000011.2026.49275,iPad1(1000011),11,01.06.26 18:48,Prod,A1000011.6088,Tisch 13,106,S1000011.49275,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000011.49276,SP1000011.34.49276,SY1000011.2026.49276,iPad1(1000011),11,01.06.26 19:35,Prod,A1000011.6089,Tisch 20,106,S1000011.49276,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000011.49277,SP1000011.34.49277,SY1000011.2026.49277,iPad1(1000011),11,01.06.26 19:35,Prod,A1000011.6089,Tisch 20,106,S1000011.49277,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000011.49278,SP1000011.34.49278,SY1000011.2026.49278,iPad1(1000011),11,01.06.26 19:35,Prod,A1000011.6089,Tisch 20,106,S1000011.49278,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000011.49279,SP1000011.34.49279,SY1000011.2026.49279,iPad1(1000011),11,01.06.26 18:15,Prod,A1000011.6090,Tisch 14,110,S1000011.49279,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000011.49280,SP1000011.34.49280,SY1000011.2026.49280,iPad1(1000011),11,01.06.26 19:44,Prod,A1000011.6091,Tisch 12,106,S1000011.49280,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000011.49281,SP1000011.34.49281,SY1000011.2026.49281,iPad1(1000011),11,01.06.26 19:44,Prod,A1000011.6091,Tisch 12,106,S1000011.49281,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000011.49282,SP1000011.34.49282,SY1000011.2026.49282,iPad1(1000011),11,01.06.26 11:51,Prod,A1000011.6092,Tisch 4,119,S1000011.49282,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000011.49283,SP1000011.34.49283,SY1000011.2026.49283,iPad1(1000011),11,01.06.26 11:51,Prod,A1000011.6092,Tisch 4,119,S1000011.49283,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000011.49284,SP1000011.34.49284,SY1000011.2026.49284,iPad1(1000011),11,01.06.26 11:51,Prod,A1000011.6092,Tisch 4,119,S1000011.49284,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000011.49285,SP1000011.34.49285,SY1000011.2026.49285,iPad1(1000011),11,01.06.26 16:12,Prod,A1000011.6093,Tisch 12,106,S1000011.49285,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000011.49286,SP1000011.34.49286,SY1000011.2026.49286,iPad1(1000011),11,01.06.26 16:12,Prod,A1000011.6093,Tisch 12,106,S1000011.49286,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000011.49287,SP1000011.34.49287,SY1000011.2026.49287,iPad1(1000011),11,01.06.26 16:12,Prod,A1000011.6093,Tisch 12,106,S1000011.49287,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000011.49288,SP1000011.34.49288,SY1000011.2026.49288,iPad1(1000011),11,01.06.26 08:39,Prod,A1000011.6094,Tisch 9,120,S1000011.49288,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
