Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000342.58005,SP1000342.6.58005,SY1000342.2026.58005,iPad1(1000342),342,01.06.26 20:19,Prod,A1000342.6113,Tisch 10,112,S1000342.58005,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000342.58006,SP1000342.6.58006,SY1000342.2026.58006,iPad1(1000342),342,01.06.26 12:41,Prod,A1000342.6114,Tisch 11,105,S1000342.58006,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000342.58007,SP1000342.6.58007,SY1000342.2026.58007,iPad1(1000342),342,01.06.26 12:41,Prod,A1000342.6114,Tisch 11,105,S1000342.58007,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000342.58008,SP1000342.6.58008,SY1000342.2026.58008,iPad1(1000342),342,01.06.26 12:35,Prod,A1000342.6115,Tisch 21,118,S1000342.58008,VOID,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000342.58009,SP1000342.6.58009,SY1000342.2026.58009,iPad1(1000342),342,01.06.26 17:45,Prod,A1000342.6116,Tisch 23,118,S1000342.58009,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000342.58010,SP1000342.6.58010,SY1000342.2026.58010,iPad1(1000342),342,01.06.26 17:45,Prod,A1000342.6116,Tisch 23,118,S1000342.58010,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000342.58011,SP1000342.6.58011,SY1000342.2026.58011,iPad1(1000342),342,01.06.26 17:45,Prod,A1000342.6116,Tisch 23,118,S1000342.58011,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000342.58012,SP1000342.6.58012,SY1000342.2026.58012,iPad1(1000342),342,01.06.26 19:51,Prod,A1000342.6117,Tisch 24,116,S1000342.58012,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000342.58013,SP1000342.6.58013,SY1000342.2026.58013,iPad1(1000342),342,01.06.26 19:51,Prod,A1000342.6117,Tisch 24,116,S1000342.58013,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000342.58014,SP1000342.6.58014,SY1000342.2026.58014,iPad1(1000342),342,01.06.26 19:51,Prod,A1000342.6117,Tisch 24,116,S1000342.58014,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000342.58015,SP1000342.6.58015,SY1000342.2026.58015,iPad1(1000342),342,01.06.26 09:23,Prod,A1000342.6118,Tisch 18,116,S1000342.58015,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000342.58016,SP1000342.6.58016,SY1000342.2026.58016,iPad1(1000342),342,01.06.26 09:23,Prod,A1000342.6118,Tisch 18,116,S1000342.58016,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000342.58017,SP1000342.6.58017,SY1000342.2026.58017,iPad1(1000342),342,01.06.26 20:28,Prod,A1000342.6119,Tisch 10,118,S1000342.58017,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000342.58018,SP1000342.6.58018,SY1000342.2026.58018,iPad1(1000342),342,01.06.26 20:28,Prod,A1000342.6119,Tisch 10,118,S1000342.58018,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000342.58019,SP1000342.6.58019,SY1000342.2026.58019,iPad1(1000342),342,01.06.26 20:28,Prod,A1000342.6119,Tisch 10,118,S1000342.58019,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
