Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000051.33852,SP1000051.42.33852,SY1000051.2026.33852,iPad1(1000051),51,01.06.26 20:03,Prod,A1000051.6143,Tisch 10,107,S1000051.33852,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000051.33853,SP1000051.42.33853,SY1000051.2026.33853,iPad1(1000051),51,01.06.26 20:03,Prod,A1000051.6143,Tisch 10,107,S1000051.33853,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000051.33854,SP1000051.42.33854,SY1000051.2026.33854,iPad1(1000051),51,01.06.26 14:36,Prod,A1000051.6144,Tisch 8,111,S1000051.33854,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000051.33855,SP1000051.42.33855,SY1000051.2026.33855,iPad1(1000051),51,01.06.26 17:16,Prod,A1000051.6145,Tisch 14,111,S1000051.33855,VOID,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000051.33856,SP1000051.42.33856,SY1000051.2026.33856,iPad1(1000051),51,01.06.26 17:16,Prod,A1000051.6145,Tisch 14,111,S1000051.33856,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000051.33857,SP1000051.42.33857,SY1000051.2026.33857,iPad1(1000051),51,01.06.26 17:16,Prod,A1000051.6145,Tisch 14,111,S1000051.33857,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000051.33858,SP1000051.42.33858,SY1000051.2026.33858,iPad1(1000051),51,01.06.26 12:19,Prod,A1000051.6146,Tisch 20,111,S1000051.33858,VOID,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000051.33859,SP1000051.42.33859,SY1000051.2026.33859,iPad1(1000051),51,01.06.26 12:19,Prod,A1000051.6146,Tisch 20,111,S1000051.33859,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000051.33860,SP1000051.42.33860,SY1000051.2026.33860,iPad1(1000051),51,01.06.26 12:19,Prod,A1000051.6146,Tisch 20,111,S1000051.33860,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000051.33861,SP1000051.42.33861,SY1000051.2026.33861,iPad1(1000051),51,01.06.26 18:54,Prod,A1000051.6147,Tisch 1,105,S1000051.33861,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000051.33862,SP1000051.42.33862,SY1000051.2026.33862,iPad1(1000051),51,01.06.26 18:54,Prod,A1000051.6147,Tisch 1,105,S1000051.33862,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000051.33863,SP1000051.42.33863,SY1000051.2026.33863,iPad1(1000051),51,01.06.26 12:22,Prod,A1000051.6148,,105,S1000051.33863,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000051.33864,SP1000051.42.33864,SY1000051.2026.33864,iPad1(1000051),51,01.06.26 12:22,Prod,A1000051.6148,,105,S1000051.33864,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000051.33865,SP1000051.42.33865,SY1000051.2026.33865,iPad1(1000051),51,01.06.26 12:22,Prod,A1000051.6148,,105,S1000051.33865,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000051.33866,SP1000051.42.33866,SY1000051.2026.33866,iPad1(1000051),51,01.06.26 11:54,Prod,A1000051.6149,Tisch 24,102,S1000051.33866,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000051.33867,SP1000051.42.33867,SY1000051.2026.33867,iPad1(1000051),51,01.06.26 11:54,Prod,A1000051.6149,Tisch 24,102,S1000051.33867,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000051.33868,SP1000051.42.33868,SY1000051.2026.33868,iPad1(1000051),51,01.06.26 11:54,Prod,A1000051.6149,Tisch 24,102,S1000051.33868,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000051.33869,SP1000051.42.33869,SY1000051.2026.33869,iPad1(1000051),51,01.06.26 18:33,Prod,A1000051.6150,Tisch 8,103,S1000051.33869,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000051.33870,SP1000051.42.33870,SY1000051.2026.33870,iPad1(1000051),51,01.06.26 18:33,Prod,A1000051.6150,Tisch 8,103,S1000051.33870,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000051.33871,SP1000051.42.33871,SY1000051.2026.33871,iPad1(1000051),51,01.06.26 11:31,Prod,A1000051.6151,Tisch 19,104,S1000051.33871,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000051.33872,SP1000051.42.33872,SY1000051.2026.33872,iPad1(1000051),51,01.06.26 11:31,Prod,A1000051.6151,Tisch 19,104,S1000051.33872,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000051.33873,SP1000051.42.33873,SY1000051.2026.33873,iPad1(1000051),51,01.06.26 11:31,Prod,A1000051.6151,Tisch 19,104,S1000051.33873,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000051.33874,SP1000051.42.33874,SY1000051.2026.33874,iPad1(1000051),51,01.06.26 13:49,Prod,A1000051.6152,Tisch 15,107,S1000051.33874,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000051.33875,SP1000051.42.33875,SY1000051.2026.33875,iPad1(1000051),51,01.06.26 13:53,Prod,A1000051.6153,Tisch 20,104,S1000051.33875,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000051.33876,SP1000051.42.33876,SY1000051.2026.33876,iPad1(1000051),51,01.06.26 13:53,Prod,A1000051.6153,Tisch 20,104,S1000051.33876,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000051.33877,SP1000051.42.33877,SY1000051.2026.33877,iPad1(1000051),51,01.06.26 17:57,Prod,A1000051.6154,Tisch 17,104,S1000051.33877,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000051.33878,SP1000051.42.33878,SY1000051.2026.33878,iPad1(1000051),51,01.06.26 17:57,Prod,A1000051.6154,Tisch 17,104,S1000051.33878,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000051.33879,SP1000051.42.33879,SY1000051.2026.33879,iPad1(1000051),51,01.06.26 17:57,Prod,A1000051.6154,Tisch 17,104,S1000051.33879,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000051.33880,SP1000051.42.33880,SY1000051.2026.33880,iPad1(1000051),51,01.06.26 12:56,Prod,A1000051.6155,Tisch 4,120,S1000051.33880,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000051.33881,SP1000051.42.33881,SY1000051.2026.33881,iPad1(1000051),51,01.06.26 17:56,Prod,A1000051.6156,,105,S1000051.33881,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000051.33882,SP1000051.42.33882,SY1000051.2026.33882,iPad1(1000051),51,01.06.26 17:56,Prod,A1000051.6156,,105,S1000051.33882,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000051.33883,SP1000051.42.33883,SY1000051.2026.33883,iPad1(1000051),51,01.06.26 18:22,Prod,A1000051.6157,Tisch 20,103,S1000051.33883,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000051.33884,SP1000051.42.33884,SY1000051.2026.33884,iPad1(1000051),51,01.06.26 18:22,Prod,A1000051.6157,Tisch 20,103,S1000051.33884,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000051.33885,SP1000051.42.33885,SY1000051.2026.33885,iPad1(1000051),51,01.06.26 20:37,Prod,A1000051.6158,Tisch 6,107,S1000051.33885,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000051.33886,SP1000051.42.33886,SY1000051.2026.33886,iPad1(1000051),51,01.06.26 13:57,Prod,A1000051.6159,Tisch 7,103,S1000051.33886,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000051.33887,SP1000051.42.33887,SY1000051.2026.33887,iPad1(1000051),51,01.06.26 13:57,Prod,A1000051.6159,Tisch 7,103,S1000051.33887,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000051.33888,SP1000051.42.33888,SY1000051.2026.33888,iPad1(1000051),51,01.06.26 19:01,Prod,A1000051.6160,Tisch 22,105,S1000051.33888,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
