Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000385.18282,SP1000385.38.18282,SY1000385.2026.18282,iPad1(1000385),385,01.06.26 16:09,Prod,A1000385.6048,Tisch 3,106,S1000385.18282,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000385.18283,SP1000385.38.18283,SY1000385.2026.18283,iPad1(1000385),385,01.06.26 16:09,Prod,A1000385.6048,Tisch 3,106,S1000385.18283,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000385.18284,SP1000385.38.18284,SY1000385.2026.18284,iPad1(1000385),385,01.06.26 14:07,Prod,A1000385.6049,,112,S1000385.18284,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000385.18285,SP1000385.38.18285,SY1000385.2026.18285,iPad1(1000385),385,01.06.26 14:07,Prod,A1000385.6049,,112,S1000385.18285,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000385.18286,SP1000385.38.18286,SY1000385.2026.18286,iPad1(1000385),385,01.06.26 19:49,Prod,A1000385.6050,Tisch 15,104,S1000385.18286,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000385.18287,SP1000385.38.18287,SY1000385.2026.18287,iPad1(1000385),385,01.06.26 19:49,Prod,A1000385.6050,Tisch 15,104,S1000385.18287,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000385.18288,SP1000385.38.18288,SY1000385.2026.18288,iPad1(1000385),385,01.06.26 15:37,Prod,A1000385.6051,Tisch 8,106,S1000385.18288,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000385.18289,SP1000385.38.18289,SY1000385.2026.18289,iPad1(1000385),385,01.06.26 18:53,Prod,A1000385.6052,Tisch 1,119,S1000385.18289,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000385.18290,SP1000385.38.18290,SY1000385.2026.18290,iPad1(1000385),385,01.06.26 18:53,Prod,A1000385.6052,Tisch 1,119,S1000385.18290,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000385.18291,SP1000385.38.18291,SY1000385.2026.18291,iPad1(1000385),385,01.06.26 17:32,Prod,A1000385.6053,Tisch 4,119,S1000385.18291,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000385.18292,SP1000385.38.18292,SY1000385.2026.18292,iPad1(1000385),385,01.06.26 17:32,Prod,A1000385.6053,Tisch 4,119,S1000385.18292,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000385.18293,SP1000385.38.18293,SY1000385.2026.18293,iPad1(1000385),385,01.06.26 10:35,Prod,A1000385.6054,Tisch 11,110,S1000385.18293,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000385.18294,SP1000385.38.18294,SY1000385.2026.18294,iPad1(1000385),385,01.06.26 10:35,Prod,A1000385.6054,Tisch 11,110,S1000385.18294,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000385.18295,SP1000385.38.18295,SY1000385.2026.18295,iPad1(1000385),385,01.06.26 15:04,Prod,A1000385.6055,Tisch 17,104,S1000385.18295,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000385.18296,SP1000385.38.18296,SY1000385.2026.18296,iPad1(1000385),385,01.06.26 15:04,Prod,A1000385.6055,Tisch 17,104,S1000385.18296,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000385.18297,SP1000385.38.18297,SY1000385.2026.18297,iPad1(1000385),385,01.06.26 14:53,Prod,A1000385.6056,Tisch 13,112,S1000385.18297,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000385.18298,SP1000385.38.18298,SY1000385.2026.18298,iPad1(1000385),385,01.06.26 13:14,Prod,A1000385.6057,Tisch 10,104,S1000385.18298,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
