Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000100.38588,SP1000100.34.38588,SY1000100.2026.38588,iPad1(1000100),100,01.06.26 12:33,Prod,A1000100.6574,,116,S1000100.38588,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000100.38589,SP1000100.34.38589,SY1000100.2026.38589,iPad1(1000100),100,01.06.26 12:33,Prod,A1000100.6574,,116,S1000100.38589,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000100.38590,SP1000100.34.38590,SY1000100.2026.38590,iPad1(1000100),100,01.06.26 12:33,Prod,A1000100.6574,,116,S1000100.38590,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000100.38591,SP1000100.34.38591,SY1000100.2026.38591,iPad1(1000100),100,01.06.26 16:32,Prod,A1000100.6575,Tisch 7,104,S1000100.38591,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000100.38592,SP1000100.34.38592,SY1000100.2026.38592,iPad1(1000100),100,01.06.26 16:32,Prod,A1000100.6575,Tisch 7,104,S1000100.38592,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000100.38593,SP1000100.34.38593,SY1000100.2026.38593,iPad1(1000100),100,01.06.26 11:30,Prod,A1000100.6576,Tisch 11,116,S1000100.38593,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000100.38594,SP1000100.34.38594,SY1000100.2026.38594,iPad1(1000100),100,01.06.26 11:30,Prod,A1000100.6576,Tisch 11,116,S1000100.38594,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000100.38595,SP1000100.34.38595,SY1000100.2026.38595,iPad1(1000100),100,01.06.26 09:57,Prod,A1000100.6577,,102,S1000100.38595,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000100.38596,SP1000100.34.38596,SY1000100.2026.38596,iPad1(1000100),100,01.06.26 09:57,Prod,A1000100.6577,,102,S1000100.38596,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000100.38597,SP1000100.34.38597,SY1000100.2026.38597,iPad1(1000100),100,01.06.26 09:57,Prod,A1000100.6577,,102,S1000100.38597,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
