Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000218.14671,SP1000218.40.14671,SY1000218.2026.14671,iPad1(1000218),218,01.06.26 17:24,Prod,A1000218.6343,,110,S1000218.14671,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000218.14672,SP1000218.40.14672,SY1000218.2026.14672,iPad1(1000218),218,01.06.26 17:24,Prod,A1000218.6343,,110,S1000218.14672,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000218.14673,SP1000218.40.14673,SY1000218.2026.14673,iPad1(1000218),218,01.06.26 12:35,Prod,A1000218.6344,Tisch 24,114,S1000218.14673,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000218.14674,SP1000218.40.14674,SY1000218.2026.14674,iPad1(1000218),218,01.06.26 12:35,Prod,A1000218.6344,Tisch 24,114,S1000218.14674,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000218.14675,SP1000218.40.14675,SY1000218.2026.14675,iPad1(1000218),218,01.06.26 12:35,Prod,A1000218.6344,Tisch 24,114,S1000218.14675,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000218.14676,SP1000218.40.14676,SY1000218.2026.14676,iPad1(1000218),218,01.06.26 17:29,Prod,A1000218.6345,Tisch 8,114,S1000218.14676,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000218.14677,SP1000218.40.14677,SY1000218.2026.14677,iPad1(1000218),218,01.06.26 19:38,Prod,A1000218.6346,,112,S1000218.14677,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000218.14678,SP1000218.40.14678,SY1000218.2026.14678,iPad1(1000218),218,01.06.26 19:38,Prod,A1000218.6346,,112,S1000218.14678,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000218.14679,SP1000218.40.14679,SY1000218.2026.14679,iPad1(1000218),218,01.06.26 12:23,Prod,A1000218.6347,Tisch 10,110,S1000218.14679,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000218.14680,SP1000218.40.14680,SY1000218.2026.14680,iPad1(1000218),218,01.06.26 17:03,Prod,A1000218.6348,Tisch 7,114,S1000218.14680,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000218.14681,SP1000218.40.14681,SY1000218.2026.14681,iPad1(1000218),218,01.06.26 17:03,Prod,A1000218.6348,Tisch 7,114,S1000218.14681,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000218.14682,SP1000218.40.14682,SY1000218.2026.14682,iPad1(1000218),218,01.06.26 16:28,Prod,A1000218.6349,Tisch 21,114,S1000218.14682,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000218.14683,SP1000218.40.14683,SY1000218.2026.14683,iPad1(1000218),218,01.06.26 16:28,Prod,A1000218.6349,Tisch 21,114,S1000218.14683,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000218.14684,SP1000218.40.14684,SY1000218.2026.14684,iPad1(1000218),218,01.06.26 17:06,Prod,A1000218.6350,Tisch 16,112,S1000218.14684,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000218.14685,SP1000218.40.14685,SY1000218.2026.14685,iPad1(1000218),218,01.06.26 09:21,Prod,A1000218.6351,Tisch 19,119,S1000218.14685,VOID,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000218.14686,SP1000218.40.14686,SY1000218.2026.14686,iPad1(1000218),218,01.06.26 09:21,Prod,A1000218.6351,Tisch 19,119,S1000218.14686,VOID,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000218.14687,SP1000218.40.14687,SY1000218.2026.14687,iPad1(1000218),218,01.06.26 08:41,Prod,A1000218.6352,Tisch 13,114,S1000218.14687,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000218.14688,SP1000218.40.14688,SY1000218.2026.14688,iPad1(1000218),218,01.06.26 08:41,Prod,A1000218.6352,Tisch 13,114,S1000218.14688,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000218.14689,SP1000218.40.14689,SY1000218.2026.14689,iPad1(1000218),218,01.06.26 08:41,Prod,A1000218.6352,Tisch 13,114,S1000218.14689,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000218.14690,SP1000218.40.14690,SY1000218.2026.14690,iPad1(1000218),218,01.06.26 11:12,Prod,A1000218.6353,Tisch 24,110,S1000218.14690,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000218.14691,SP1000218.40.14691,SY1000218.2026.14691,iPad1(1000218),218,01.06.26 11:12,Prod,A1000218.6353,Tisch 24,110,S1000218.14691,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000218.14692,SP1000218.40.14692,SY1000218.2026.14692,iPad1(1000218),218,01.06.26 10:38,Prod,A1000218.6354,Tisch 17,110,S1000218.14692,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000218.14693,SP1000218.40.14693,SY1000218.2026.14693,iPad1(1000218),218,01.06.26 10:38,Prod,A1000218.6354,Tisch 17,110,S1000218.14693,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000218.14694,SP1000218.40.14694,SY1000218.2026.14694,iPad1(1000218),218,01.06.26 10:38,Prod,A1000218.6354,Tisch 17,110,S1000218.14694,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000218.14695,SP1000218.40.14695,SY1000218.2026.14695,iPad1(1000218),218,01.06.26 19:17,Prod,A1000218.6355,Tisch 23,114,S1000218.14695,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000218.14696,SP1000218.40.14696,SY1000218.2026.14696,iPad1(1000218),218,01.06.26 19:17,Prod,A1000218.6355,Tisch 23,114,S1000218.14696,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000218.14697,SP1000218.40.14697,SY1000218.2026.14697,iPad1(1000218),218,01.06.26 15:03,Prod,A1000218.6356,Tisch 1,114,S1000218.14697,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000218.14698,SP1000218.40.14698,SY1000218.2026.14698,iPad1(1000218),218,01.06.26 11:30,Prod,A1000218.6357,Tisch 13,114,S1000218.14698,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000218.14699,SP1000218.40.14699,SY1000218.2026.14699,iPad1(1000218),218,01.06.26 11:30,Prod,A1000218.6357,Tisch 13,114,S1000218.14699,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000218.14700,SP1000218.40.14700,SY1000218.2026.14700,iPad1(1000218),218,01.06.26 17:16,Prod,A1000218.6358,Tisch 2,110,S1000218.14700,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000218.14701,SP1000218.40.14701,SY1000218.2026.14701,iPad1(1000218),218,01.06.26 09:13,Prod,A1000218.6359,Tisch 3,105,S1000218.14701,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000218.14702,SP1000218.40.14702,SY1000218.2026.14702,iPad1(1000218),218,01.06.26 10:12,Prod,A1000218.6360,Tisch 19,110,S1000218.14702,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000218.14703,SP1000218.40.14703,SY1000218.2026.14703,iPad1(1000218),218,01.06.26 10:12,Prod,A1000218.6360,Tisch 19,110,S1000218.14703,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000218.14704,SP1000218.40.14704,SY1000218.2026.14704,iPad1(1000218),218,01.06.26 19:08,Prod,A1000218.6361,Tisch 18,114,S1000218.14704,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000218.14705,SP1000218.40.14705,SY1000218.2026.14705,iPad1(1000218),218,01.06.26 19:08,Prod,A1000218.6361,Tisch 18,114,S1000218.14705,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000218.14706,SP1000218.40.14706,SY1000218.2026.14706,iPad1(1000218),218,01.06.26 19:08,Prod,A1000218.6361,Tisch 18,114,S1000218.14706,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000218.14707,SP1000218.40.14707,SY1000218.2026.14707,iPad1(1000218),218,01.06.26 13:41,Prod,A1000218.6362,Tisch 10,119,S1000218.14707,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000218.14708,SP1000218.40.14708,SY1000218.2026.14708,iPad1(1000218),218,01.06.26 13:41,Prod,A1000218.6362,Tisch 10,119,S1000218.14708,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000218.14709,SP1000218.40.14709,SY1000218.2026.14709,iPad1(1000218),218,01.06.26 13:41,Prod,A1000218.6362,Tisch 10,119,S1000218.14709,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000218.14710,SP1000218.40.14710,SY1000218.2026.14710,iPad1(1000218),218,01.06.26 11:20,Prod,A1000218.6363,Tisch 7,110,S1000218.14710,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000218.14711,SP1000218.40.14711,SY1000218.2026.14711,iPad1(1000218),218,01.06.26 09:32,Prod,A1000218.6364,Tisch 18,119,S1000218.14711,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000218.14712,SP1000218.40.14712,SY1000218.2026.14712,iPad1(1000218),218,01.06.26 12:23,Prod,A1000218.6365,Tisch 3,114,S1000218.14712,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000218.14713,SP1000218.40.14713,SY1000218.2026.14713,iPad1(1000218),218,01.06.26 18:22,Prod,A1000218.6366,,110,S1000218.14713,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000218.14714,SP1000218.40.14714,SY1000218.2026.14714,iPad1(1000218),218,01.06.26 18:22,Prod,A1000218.6366,,110,S1000218.14714,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000218.14715,SP1000218.40.14715,SY1000218.2026.14715,iPad1(1000218),218,01.06.26 15:42,Prod,A1000218.6367,Tisch 4,110,S1000218.14715,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000218.14716,SP1000218.40.14716,SY1000218.2026.14716,iPad1(1000218),218,01.06.26 15:42,Prod,A1000218.6367,Tisch 4,110,S1000218.14716,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000218.14717,SP1000218.40.14717,SY1000218.2026.14717,iPad1(1000218),218,01.06.26 15:42,Prod,A1000218.6367,Tisch 4,110,S1000218.14717,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000218.14718,SP1000218.40.14718,SY1000218.2026.14718,iPad1(1000218),218,01.06.26 18:32,Prod,A1000218.6368,Tisch 11,105,S1000218.14718,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
