Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000270.79762,SP1000270.50.79762,SY1000270.2026.79762,iPad1(1000270),270,01.06.26 14:31,Prod,A1000270.6013,Tisch 4,108,S1000270.79762,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000270.79763,SP1000270.50.79763,SY1000270.2026.79763,iPad1(1000270),270,01.06.26 14:31,Prod,A1000270.6013,Tisch 4,108,S1000270.79763,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000270.79764,SP1000270.50.79764,SY1000270.2026.79764,iPad1(1000270),270,01.06.26 13:34,Prod,A1000270.6014,Tisch 1,103,S1000270.79764,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000270.79765,SP1000270.50.79765,SY1000270.2026.79765,iPad1(1000270),270,01.06.26 13:34,Prod,A1000270.6014,Tisch 1,103,S1000270.79765,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000270.79766,SP1000270.50.79766,SY1000270.2026.79766,iPad1(1000270),270,01.06.26 13:34,Prod,A1000270.6014,Tisch 1,103,S1000270.79766,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000270.79767,SP1000270.50.79767,SY1000270.2026.79767,iPad1(1000270),270,01.06.26 16:12,Prod,A1000270.6015,Tisch 11,119,S1000270.79767,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000270.79768,SP1000270.50.79768,SY1000270.2026.79768,iPad1(1000270),270,01.06.26 16:12,Prod,A1000270.6015,Tisch 11,119,S1000270.79768,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000270.79769,SP1000270.50.79769,SY1000270.2026.79769,iPad1(1000270),270,01.06.26 13:46,Prod,A1000270.6016,Tisch 1,103,S1000270.79769,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000270.79770,SP1000270.50.79770,SY1000270.2026.79770,iPad1(1000270),270,01.06.26 13:46,Prod,A1000270.6016,Tisch 1,103,S1000270.79770,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000270.79771,SP1000270.50.79771,SY1000270.2026.79771,iPad1(1000270),270,01.06.26 13:46,Prod,A1000270.6016,Tisch 1,103,S1000270.79771,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000270.79772,SP1000270.50.79772,SY1000270.2026.79772,iPad1(1000270),270,01.06.26 17:11,Prod,A1000270.6017,Tisch 1,119,S1000270.79772,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000270.79773,SP1000270.50.79773,SY1000270.2026.79773,iPad1(1000270),270,01.06.26 17:11,Prod,A1000270.6017,Tisch 1,119,S1000270.79773,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000270.79774,SP1000270.50.79774,SY1000270.2026.79774,iPad1(1000270),270,01.06.26 18:27,Prod,A1000270.6018,Tisch 13,115,S1000270.79774,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
