Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000117.88865,SP1000117.30.88865,SY1000117.2026.88865,iPad1(1000117),117,01.06.26 18:55,Prod,A1000117.6235,,107,S1000117.88865,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000117.88866,SP1000117.30.88866,SY1000117.2026.88866,iPad1(1000117),117,01.06.26 18:55,Prod,A1000117.6235,,107,S1000117.88866,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000117.88867,SP1000117.30.88867,SY1000117.2026.88867,iPad1(1000117),117,01.06.26 18:06,Prod,A1000117.6236,Tisch 15,104,S1000117.88867,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000117.88868,SP1000117.30.88868,SY1000117.2026.88868,iPad1(1000117),117,01.06.26 18:06,Prod,A1000117.6236,Tisch 15,104,S1000117.88868,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000117.88869,SP1000117.30.88869,SY1000117.2026.88869,iPad1(1000117),117,01.06.26 20:35,Prod,A1000117.6237,Tisch 7,107,S1000117.88869,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000117.88870,SP1000117.30.88870,SY1000117.2026.88870,iPad1(1000117),117,01.06.26 20:35,Prod,A1000117.6237,Tisch 7,107,S1000117.88870,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000117.88871,SP1000117.30.88871,SY1000117.2026.88871,iPad1(1000117),117,01.06.26 19:58,Prod,A1000117.6238,Tisch 12,104,S1000117.88871,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000117.88872,SP1000117.30.88872,SY1000117.2026.88872,iPad1(1000117),117,01.06.26 19:58,Prod,A1000117.6238,Tisch 12,104,S1000117.88872,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000117.88873,SP1000117.30.88873,SY1000117.2026.88873,iPad1(1000117),117,01.06.26 19:58,Prod,A1000117.6238,Tisch 12,104,S1000117.88873,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000117.88874,SP1000117.30.88874,SY1000117.2026.88874,iPad1(1000117),117,01.06.26 18:22,Prod,A1000117.6239,Tisch 21,106,S1000117.88874,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000117.88875,SP1000117.30.88875,SY1000117.2026.88875,iPad1(1000117),117,01.06.26 18:22,Prod,A1000117.6239,Tisch 21,106,S1000117.88875,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000117.88876,SP1000117.30.88876,SY1000117.2026.88876,iPad1(1000117),117,01.06.26 17:53,Prod,A1000117.6240,Tisch 5,107,S1000117.88876,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000117.88877,SP1000117.30.88877,SY1000117.2026.88877,iPad1(1000117),117,01.06.26 17:53,Prod,A1000117.6240,Tisch 5,107,S1000117.88877,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000117.88878,SP1000117.30.88878,SY1000117.2026.88878,iPad1(1000117),117,01.06.26 12:44,Prod,A1000117.6241,Tisch 17,110,S1000117.88878,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000117.88879,SP1000117.30.88879,SY1000117.2026.88879,iPad1(1000117),117,01.06.26 08:52,Prod,A1000117.6242,Tisch 9,107,S1000117.88879,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000117.88880,SP1000117.30.88880,SY1000117.2026.88880,iPad1(1000117),117,01.06.26 08:52,Prod,A1000117.6242,Tisch 9,107,S1000117.88880,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000117.88881,SP1000117.30.88881,SY1000117.2026.88881,iPad1(1000117),117,01.06.26 08:52,Prod,A1000117.6242,Tisch 9,107,S1000117.88881,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000117.88882,SP1000117.30.88882,SY1000117.2026.88882,iPad1(1000117),117,01.06.26 19:18,Prod,A1000117.6243,Tisch 19,107,S1000117.88882,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000117.88883,SP1000117.30.88883,SY1000117.2026.88883,iPad1(1000117),117,01.06.26 19:18,Prod,A1000117.6243,Tisch 19,107,S1000117.88883,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000117.88884,SP1000117.30.88884,SY1000117.2026.88884,iPad1(1000117),117,01.06.26 19:18,Prod,A1000117.6243,Tisch 19,107,S1000117.88884,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000117.88885,SP1000117.30.88885,SY1000117.2026.88885,iPad1(1000117),117,01.06.26 13:21,Prod,A1000117.6244,Tisch 17,106,S1000117.88885,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000117.88886,SP1000117.30.88886,SY1000117.2026.88886,iPad1(1000117),117,01.06.26 13:21,Prod,A1000117.6244,Tisch 17,106,S1000117.88886,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000117.88887,SP1000117.30.88887,SY1000117.2026.88887,iPad1(1000117),117,01.06.26 19:30,Prod,A1000117.6245,Tisch 23,111,S1000117.88887,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000117.88888,SP1000117.30.88888,SY1000117.2026.88888,iPad1(1000117),117,01.06.26 19:30,Prod,A1000117.6245,Tisch 23,111,S1000117.88888,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000117.88889,SP1000117.30.88889,SY1000117.2026.88889,iPad1(1000117),117,01.06.26 13:48,Prod,A1000117.6246,Tisch 21,104,S1000117.88889,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000117.88890,SP1000117.30.88890,SY1000117.2026.88890,iPad1(1000117),117,01.06.26 13:48,Prod,A1000117.6246,Tisch 21,104,S1000117.88890,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000117.88891,SP1000117.30.88891,SY1000117.2026.88891,iPad1(1000117),117,01.06.26 16:02,Prod,A1000117.6247,Tisch 16,106,S1000117.88891,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000117.88892,SP1000117.30.88892,SY1000117.2026.88892,iPad1(1000117),117,01.06.26 11:19,Prod,A1000117.6248,Tisch 1,118,S1000117.88892,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000117.88893,SP1000117.30.88893,SY1000117.2026.88893,iPad1(1000117),117,01.06.26 18:44,Prod,A1000117.6249,Tisch 24,106,S1000117.88893,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000117.88894,SP1000117.30.88894,SY1000117.2026.88894,iPad1(1000117),117,01.06.26 18:44,Prod,A1000117.6249,Tisch 24,106,S1000117.88894,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000117.88895,SP1000117.30.88895,SY1000117.2026.88895,iPad1(1000117),117,01.06.26 18:44,Prod,A1000117.6249,Tisch 24,106,S1000117.88895,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
