Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000128.33236,SP1000128.16.33236,SY1000128.2026.33236,iPad1(1000128),128,01.06.26 11:17,Prod,A1000128.6353,Tisch 14,109,S1000128.33236,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000128.33237,SP1000128.16.33237,SY1000128.2026.33237,iPad1(1000128),128,01.06.26 11:17,Prod,A1000128.6353,Tisch 14,109,S1000128.33237,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000128.33238,SP1000128.16.33238,SY1000128.2026.33238,iPad1(1000128),128,01.06.26 11:17,Prod,A1000128.6353,Tisch 14,109,S1000128.33238,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000128.33239,SP1000128.16.33239,SY1000128.2026.33239,iPad1(1000128),128,01.06.26 18:35,Prod,A1000128.6354,Tisch 8,110,S1000128.33239,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000128.33240,SP1000128.16.33240,SY1000128.2026.33240,iPad1(1000128),128,01.06.26 18:35,Prod,A1000128.6354,Tisch 8,110,S1000128.33240,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000128.33241,SP1000128.16.33241,SY1000128.2026.33241,iPad1(1000128),128,01.06.26 18:35,Prod,A1000128.6354,Tisch 8,110,S1000128.33241,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000128.33242,SP1000128.16.33242,SY1000128.2026.33242,iPad1(1000128),128,01.06.26 17:36,Prod,A1000128.6355,Tisch 3,109,S1000128.33242,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000128.33243,SP1000128.16.33243,SY1000128.2026.33243,iPad1(1000128),128,01.06.26 17:36,Prod,A1000128.6355,Tisch 3,109,S1000128.33243,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000128.33244,SP1000128.16.33244,SY1000128.2026.33244,iPad1(1000128),128,01.06.26 17:36,Prod,A1000128.6355,Tisch 3,109,S1000128.33244,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000128.33245,SP1000128.16.33245,SY1000128.2026.33245,iPad1(1000128),128,01.06.26 18:30,Prod,A1000128.6356,Tisch 21,110,S1000128.33245,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000128.33246,SP1000128.16.33246,SY1000128.2026.33246,iPad1(1000128),128,01.06.26 12:45,Prod,A1000128.6357,Tisch 14,101,S1000128.33246,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000128.33247,SP1000128.16.33247,SY1000128.2026.33247,iPad1(1000128),128,01.06.26 13:24,Prod,A1000128.6358,Tisch 22,101,S1000128.33247,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000128.33248,SP1000128.16.33248,SY1000128.2026.33248,iPad1(1000128),128,01.06.26 10:58,Prod,A1000128.6359,,106,S1000128.33248,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000128.33249,SP1000128.16.33249,SY1000128.2026.33249,iPad1(1000128),128,01.06.26 10:58,Prod,A1000128.6359,,106,S1000128.33249,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000128.33250,SP1000128.16.33250,SY1000128.2026.33250,iPad1(1000128),128,01.06.26 10:58,Prod,A1000128.6359,,106,S1000128.33250,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000128.33251,SP1000128.16.33251,SY1000128.2026.33251,iPad1(1000128),128,01.06.26 12:15,Prod,A1000128.6360,Tisch 3,109,S1000128.33251,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000128.33252,SP1000128.16.33252,SY1000128.2026.33252,iPad1(1000128),128,01.06.26 12:15,Prod,A1000128.6360,Tisch 3,109,S1000128.33252,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000128.33253,SP1000128.16.33253,SY1000128.2026.33253,iPad1(1000128),128,01.06.26 12:15,Prod,A1000128.6360,Tisch 3,109,S1000128.33253,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000128.33254,SP1000128.16.33254,SY1000128.2026.33254,iPad1(1000128),128,01.06.26 17:34,Prod,A1000128.6361,Tisch 14,106,S1000128.33254,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
