Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000291.49334,SP1000291.49.49334,SY1000291.2026.49334,iPad1(1000291),291,01.06.26 13:32,Prod,A1000291.6366,Tisch 13,103,S1000291.49334,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000291.49335,SP1000291.49.49335,SY1000291.2026.49335,iPad1(1000291),291,01.06.26 16:15,Prod,A1000291.6367,Tisch 16,108,S1000291.49335,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000291.49336,SP1000291.49.49336,SY1000291.2026.49336,iPad1(1000291),291,01.06.26 17:22,Prod,A1000291.6368,,108,S1000291.49336,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000291.49337,SP1000291.49.49337,SY1000291.2026.49337,iPad1(1000291),291,01.06.26 17:22,Prod,A1000291.6368,,108,S1000291.49337,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000291.49338,SP1000291.49.49338,SY1000291.2026.49338,iPad1(1000291),291,01.06.26 20:05,Prod,A1000291.6369,Tisch 1,115,S1000291.49338,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000291.49339,SP1000291.49.49339,SY1000291.2026.49339,iPad1(1000291),291,01.06.26 18:16,Prod,A1000291.6370,Tisch 11,106,S1000291.49339,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000291.49340,SP1000291.49.49340,SY1000291.2026.49340,iPad1(1000291),291,01.06.26 18:16,Prod,A1000291.6370,Tisch 11,106,S1000291.49340,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000291.49341,SP1000291.49.49341,SY1000291.2026.49341,iPad1(1000291),291,01.06.26 20:58,Prod,A1000291.6371,Tisch 6,113,S1000291.49341,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000291.49342,SP1000291.49.49342,SY1000291.2026.49342,iPad1(1000291),291,01.06.26 12:42,Prod,A1000291.6372,Tisch 8,103,S1000291.49342,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000291.49343,SP1000291.49.49343,SY1000291.2026.49343,iPad1(1000291),291,01.06.26 12:42,Prod,A1000291.6372,Tisch 8,103,S1000291.49343,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000291.49344,SP1000291.49.49344,SY1000291.2026.49344,iPad1(1000291),291,01.06.26 12:26,Prod,A1000291.6373,Tisch 9,108,S1000291.49344,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000291.49345,SP1000291.49.49345,SY1000291.2026.49345,iPad1(1000291),291,01.06.26 12:26,Prod,A1000291.6373,Tisch 9,108,S1000291.49345,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000291.49346,SP1000291.49.49346,SY1000291.2026.49346,iPad1(1000291),291,01.06.26 12:26,Prod,A1000291.6373,Tisch 9,108,S1000291.49346,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000291.49347,SP1000291.49.49347,SY1000291.2026.49347,iPad1(1000291),291,01.06.26 12:07,Prod,A1000291.6374,Tisch 19,111,S1000291.49347,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000291.49348,SP1000291.49.49348,SY1000291.2026.49348,iPad1(1000291),291,01.06.26 19:53,Prod,A1000291.6375,Tisch 8,116,S1000291.49348,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000291.49349,SP1000291.49.49349,SY1000291.2026.49349,iPad1(1000291),291,01.06.26 16:25,Prod,A1000291.6376,Tisch 1,106,S1000291.49349,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000291.49350,SP1000291.49.49350,SY1000291.2026.49350,iPad1(1000291),291,01.06.26 16:25,Prod,A1000291.6376,Tisch 1,106,S1000291.49350,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000291.49351,SP1000291.49.49351,SY1000291.2026.49351,iPad1(1000291),291,01.06.26 18:37,Prod,A1000291.6377,Tisch 17,113,S1000291.49351,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000291.49352,SP1000291.49.49352,SY1000291.2026.49352,iPad1(1000291),291,01.06.26 18:37,Prod,A1000291.6377,Tisch 17,113,S1000291.49352,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000291.49353,SP1000291.49.49353,SY1000291.2026.49353,iPad1(1000291),291,01.06.26 18:37,Prod,A1000291.6377,Tisch 17,113,S1000291.49353,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000291.49354,SP1000291.49.49354,SY1000291.2026.49354,iPad1(1000291),291,01.06.26 11:06,Prod,A1000291.6378,Tisch 10,106,S1000291.49354,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000291.49355,SP1000291.49.49355,SY1000291.2026.49355,iPad1(1000291),291,01.06.26 11:06,Prod,A1000291.6378,Tisch 10,106,S1000291.49355,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000291.49356,SP1000291.49.49356,SY1000291.2026.49356,iPad1(1000291),291,01.06.26 11:06,Prod,A1000291.6378,Tisch 10,106,S1000291.49356,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000291.49357,SP1000291.49.49357,SY1000291.2026.49357,iPad1(1000291),291,01.06.26 11:55,Prod,A1000291.6379,Tisch 5,111,S1000291.49357,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000291.49358,SP1000291.49.49358,SY1000291.2026.49358,iPad1(1000291),291,01.06.26 11:55,Prod,A1000291.6379,Tisch 5,111,S1000291.49358,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000291.49359,SP1000291.49.49359,SY1000291.2026.49359,iPad1(1000291),291,01.06.26 18:35,Prod,A1000291.6380,Tisch 13,116,S1000291.49359,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000291.49360,SP1000291.49.49360,SY1000291.2026.49360,iPad1(1000291),291,01.06.26 18:35,Prod,A1000291.6380,Tisch 13,116,S1000291.49360,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000291.49361,SP1000291.49.49361,SY1000291.2026.49361,iPad1(1000291),291,01.06.26 18:35,Prod,A1000291.6380,Tisch 13,116,S1000291.49361,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000291.49362,SP1000291.49.49362,SY1000291.2026.49362,iPad1(1000291),291,01.06.26 19:17,Prod,A1000291.6381,Tisch 20,106,S1000291.49362,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000291.49363,SP1000291.49.49363,SY1000291.2026.49363,iPad1(1000291),291,01.06.26 19:17,Prod,A1000291.6381,Tisch 20,106,S1000291.49363,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000291.49364,SP1000291.49.49364,SY1000291.2026.49364,iPad1(1000291),291,01.06.26 19:17,Prod,A1000291.6381,Tisch 20,106,S1000291.49364,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000291.49365,SP1000291.49.49365,SY1000291.2026.49365,iPad1(1000291),291,01.06.26 10:39,Prod,A1000291.6382,Tisch 14,103,S1000291.49365,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000291.49366,SP1000291.49.49366,SY1000291.2026.49366,iPad1(1000291),291,01.06.26 10:39,Prod,A1000291.6382,Tisch 14,103,S1000291.49366,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000291.49367,SP1000291.49.49367,SY1000291.2026.49367,iPad1(1000291),291,01.06.26 10:39,Prod,A1000291.6382,Tisch 14,103,S1000291.49367,VOID,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000291.49368,SP1000291.49.49368,SY1000291.2026.49368,iPad1(1000291),291,01.06.26 13:13,Prod,A1000291.6383,Tisch 17,108,S1000291.49368,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000291.49369,SP1000291.49.49369,SY1000291.2026.49369,iPad1(1000291),291,01.06.26 13:09,Prod,A1000291.6384,Tisch 17,115,S1000291.49369,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
