Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000139.16029,SP1000139.11.16029,SY1000139.2026.16029,iPad1(1000139),139,01.06.26 14:07,Prod,A1000139.6159,Tisch 11,116,S1000139.16029,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000139.16030,SP1000139.11.16030,SY1000139.2026.16030,iPad1(1000139),139,01.06.26 14:07,Prod,A1000139.6159,Tisch 11,116,S1000139.16030,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000139.16031,SP1000139.11.16031,SY1000139.2026.16031,iPad1(1000139),139,01.06.26 14:07,Prod,A1000139.6159,Tisch 11,116,S1000139.16031,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000139.16032,SP1000139.11.16032,SY1000139.2026.16032,iPad1(1000139),139,01.06.26 19:41,Prod,A1000139.6160,Tisch 18,102,S1000139.16032,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000139.16033,SP1000139.11.16033,SY1000139.2026.16033,iPad1(1000139),139,01.06.26 16:47,Prod,A1000139.6161,Tisch 15,101,S1000139.16033,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000139.16034,SP1000139.11.16034,SY1000139.2026.16034,iPad1(1000139),139,01.06.26 12:35,Prod,A1000139.6162,Tisch 21,101,S1000139.16034,VOID,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000139.16035,SP1000139.11.16035,SY1000139.2026.16035,iPad1(1000139),139,01.06.26 12:35,Prod,A1000139.6162,Tisch 21,101,S1000139.16035,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000139.16036,SP1000139.11.16036,SY1000139.2026.16036,iPad1(1000139),139,01.06.26 20:07,Prod,A1000139.6163,Tisch 22,116,S1000139.16036,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000139.16037,SP1000139.11.16037,SY1000139.2026.16037,iPad1(1000139),139,01.06.26 20:07,Prod,A1000139.6163,Tisch 22,116,S1000139.16037,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000139.16038,SP1000139.11.16038,SY1000139.2026.16038,iPad1(1000139),139,01.06.26 11:27,Prod,A1000139.6164,Tisch 13,113,S1000139.16038,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000139.16039,SP1000139.11.16039,SY1000139.2026.16039,iPad1(1000139),139,01.06.26 11:09,Prod,A1000139.6165,,103,S1000139.16039,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000139.16040,SP1000139.11.16040,SY1000139.2026.16040,iPad1(1000139),139,01.06.26 11:09,Prod,A1000139.6165,,103,S1000139.16040,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000139.16041,SP1000139.11.16041,SY1000139.2026.16041,iPad1(1000139),139,01.06.26 09:25,Prod,A1000139.6166,,116,S1000139.16041,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000139.16042,SP1000139.11.16042,SY1000139.2026.16042,iPad1(1000139),139,01.06.26 09:25,Prod,A1000139.6166,,116,S1000139.16042,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000139.16043,SP1000139.11.16043,SY1000139.2026.16043,iPad1(1000139),139,01.06.26 09:25,Prod,A1000139.6166,,116,S1000139.16043,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000139.16044,SP1000139.11.16044,SY1000139.2026.16044,iPad1(1000139),139,01.06.26 12:41,Prod,A1000139.6167,Tisch 20,113,S1000139.16044,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000139.16045,SP1000139.11.16045,SY1000139.2026.16045,iPad1(1000139),139,01.06.26 12:41,Prod,A1000139.6167,Tisch 20,113,S1000139.16045,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000139.16046,SP1000139.11.16046,SY1000139.2026.16046,iPad1(1000139),139,01.06.26 13:23,Prod,A1000139.6168,Tisch 15,101,S1000139.16046,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000139.16047,SP1000139.11.16047,SY1000139.2026.16047,iPad1(1000139),139,01.06.26 13:23,Prod,A1000139.6168,Tisch 15,101,S1000139.16047,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000139.16048,SP1000139.11.16048,SY1000139.2026.16048,iPad1(1000139),139,01.06.26 13:23,Prod,A1000139.6168,Tisch 15,101,S1000139.16048,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000139.16049,SP1000139.11.16049,SY1000139.2026.16049,iPad1(1000139),139,01.06.26 11:19,Prod,A1000139.6169,Tisch 4,112,S1000139.16049,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000139.16050,SP1000139.11.16050,SY1000139.2026.16050,iPad1(1000139),139,01.06.26 19:52,Prod,A1000139.6170,,114,S1000139.16050,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000139.16051,SP1000139.11.16051,SY1000139.2026.16051,iPad1(1000139),139,01.06.26 19:52,Prod,A1000139.6170,,114,S1000139.16051,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000139.16052,SP1000139.11.16052,SY1000139.2026.16052,iPad1(1000139),139,01.06.26 20:50,Prod,A1000139.6171,,114,S1000139.16052,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000139.16053,SP1000139.11.16053,SY1000139.2026.16053,iPad1(1000139),139,01.06.26 20:50,Prod,A1000139.6171,,114,S1000139.16053,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000139.16054,SP1000139.11.16054,SY1000139.2026.16054,iPad1(1000139),139,01.06.26 20:50,Prod,A1000139.6171,,114,S1000139.16054,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000139.16055,SP1000139.11.16055,SY1000139.2026.16055,iPad1(1000139),139,01.06.26 16:00,Prod,A1000139.6172,Tisch 3,114,S1000139.16055,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000139.16056,SP1000139.11.16056,SY1000139.2026.16056,iPad1(1000139),139,01.06.26 13:22,Prod,A1000139.6173,Tisch 22,103,S1000139.16056,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000139.16057,SP1000139.11.16057,SY1000139.2026.16057,iPad1(1000139),139,01.06.26 13:22,Prod,A1000139.6173,Tisch 22,103,S1000139.16057,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000139.16058,SP1000139.11.16058,SY1000139.2026.16058,iPad1(1000139),139,01.06.26 19:12,Prod,A1000139.6174,Tisch 24,116,S1000139.16058,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000139.16059,SP1000139.11.16059,SY1000139.2026.16059,iPad1(1000139),139,01.06.26 19:12,Prod,A1000139.6174,Tisch 24,116,S1000139.16059,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000139.16060,SP1000139.11.16060,SY1000139.2026.16060,iPad1(1000139),139,01.06.26 19:12,Prod,A1000139.6174,Tisch 24,116,S1000139.16060,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000139.16061,SP1000139.11.16061,SY1000139.2026.16061,iPad1(1000139),139,01.06.26 18:08,Prod,A1000139.6175,Tisch 10,101,S1000139.16061,VOID,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000139.16062,SP1000139.11.16062,SY1000139.2026.16062,iPad1(1000139),139,01.06.26 12:13,Prod,A1000139.6176,Tisch 19,112,S1000139.16062,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000139.16063,SP1000139.11.16063,SY1000139.2026.16063,iPad1(1000139),139,01.06.26 20:07,Prod,A1000139.6177,Tisch 7,112,S1000139.16063,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000139.16064,SP1000139.11.16064,SY1000139.2026.16064,iPad1(1000139),139,01.06.26 20:07,Prod,A1000139.6177,Tisch 7,112,S1000139.16064,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000139.16065,SP1000139.11.16065,SY1000139.2026.16065,iPad1(1000139),139,01.06.26 11:26,Prod,A1000139.6178,Tisch 6,112,S1000139.16065,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000139.16066,SP1000139.11.16066,SY1000139.2026.16066,iPad1(1000139),139,01.06.26 11:26,Prod,A1000139.6178,Tisch 6,112,S1000139.16066,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000139.16067,SP1000139.11.16067,SY1000139.2026.16067,iPad1(1000139),139,01.06.26 17:05,Prod,A1000139.6179,Tisch 13,101,S1000139.16067,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000139.16068,SP1000139.11.16068,SY1000139.2026.16068,iPad1(1000139),139,01.06.26 17:05,Prod,A1000139.6179,Tisch 13,101,S1000139.16068,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000139.16069,SP1000139.11.16069,SY1000139.2026.16069,iPad1(1000139),139,01.06.26 17:05,Prod,A1000139.6179,Tisch 13,101,S1000139.16069,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000139.16070,SP1000139.11.16070,SY1000139.2026.16070,iPad1(1000139),139,01.06.26 12:31,Prod,A1000139.6180,Tisch 12,103,S1000139.16070,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000139.16071,SP1000139.11.16071,SY1000139.2026.16071,iPad1(1000139),139,01.06.26 12:31,Prod,A1000139.6180,Tisch 12,103,S1000139.16071,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
