Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000014.71609,SP1000014.1.71609,SY1000014.2026.71609,iPad1(1000014),14,01.06.26 16:21,Prod,A1000014.6593,Tisch 13,105,S1000014.71609,VOID,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000014.71610,SP1000014.1.71610,SY1000014.2026.71610,iPad1(1000014),14,01.06.26 16:35,Prod,A1000014.6594,Tisch 10,112,S1000014.71610,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000014.71611,SP1000014.1.71611,SY1000014.2026.71611,iPad1(1000014),14,01.06.26 11:46,Prod,A1000014.6595,Tisch 13,112,S1000014.71611,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000014.71612,SP1000014.1.71612,SY1000014.2026.71612,iPad1(1000014),14,01.06.26 11:46,Prod,A1000014.6595,Tisch 13,112,S1000014.71612,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000014.71613,SP1000014.1.71613,SY1000014.2026.71613,iPad1(1000014),14,01.06.26 09:29,Prod,A1000014.6596,Tisch 6,115,S1000014.71613,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000014.71614,SP1000014.1.71614,SY1000014.2026.71614,iPad1(1000014),14,01.06.26 19:32,Prod,A1000014.6597,Tisch 11,105,S1000014.71614,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000014.71615,SP1000014.1.71615,SY1000014.2026.71615,iPad1(1000014),14,01.06.26 19:32,Prod,A1000014.6597,Tisch 11,105,S1000014.71615,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000014.71616,SP1000014.1.71616,SY1000014.2026.71616,iPad1(1000014),14,01.06.26 19:32,Prod,A1000014.6597,Tisch 11,105,S1000014.71616,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000014.71617,SP1000014.1.71617,SY1000014.2026.71617,iPad1(1000014),14,01.06.26 13:23,Prod,A1000014.6598,Tisch 13,105,S1000014.71617,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000014.71618,SP1000014.1.71618,SY1000014.2026.71618,iPad1(1000014),14,01.06.26 13:23,Prod,A1000014.6598,Tisch 13,105,S1000014.71618,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
