Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000094.12672,SP1000094.8.12672,SY1000094.2026.12672,iPad1(1000094),94,01.06.26 18:53,Prod,A1000094.6044,Tisch 7,117,S1000094.12672,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000094.12673,SP1000094.8.12673,SY1000094.2026.12673,iPad1(1000094),94,01.06.26 10:47,Prod,A1000094.6045,Tisch 3,104,S1000094.12673,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000094.12674,SP1000094.8.12674,SY1000094.2026.12674,iPad1(1000094),94,01.06.26 10:47,Prod,A1000094.6045,Tisch 3,104,S1000094.12674,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000094.12675,SP1000094.8.12675,SY1000094.2026.12675,iPad1(1000094),94,01.06.26 20:03,Prod,A1000094.6046,Tisch 18,107,S1000094.12675,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000094.12676,SP1000094.8.12676,SY1000094.2026.12676,iPad1(1000094),94,01.06.26 20:03,Prod,A1000094.6046,Tisch 18,107,S1000094.12676,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000094.12677,SP1000094.8.12677,SY1000094.2026.12677,iPad1(1000094),94,01.06.26 20:03,Prod,A1000094.6046,Tisch 18,107,S1000094.12677,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000094.12678,SP1000094.8.12678,SY1000094.2026.12678,iPad1(1000094),94,01.06.26 10:07,Prod,A1000094.6047,Tisch 17,107,S1000094.12678,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000094.12679,SP1000094.8.12679,SY1000094.2026.12679,iPad1(1000094),94,01.06.26 10:07,Prod,A1000094.6047,Tisch 17,107,S1000094.12679,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000094.12680,SP1000094.8.12680,SY1000094.2026.12680,iPad1(1000094),94,01.06.26 10:07,Prod,A1000094.6047,Tisch 17,107,S1000094.12680,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000094.12681,SP1000094.8.12681,SY1000094.2026.12681,iPad1(1000094),94,01.06.26 11:49,Prod,A1000094.6048,Tisch 20,118,S1000094.12681,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
