Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000074.86357,SP1000074.9.86357,SY1000074.2026.86357,iPad1(1000074),74,01.06.26 10:23,Prod,A1000074.6437,Tisch 4,101,S1000074.86357,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000074.86358,SP1000074.9.86358,SY1000074.2026.86358,iPad1(1000074),74,01.06.26 10:23,Prod,A1000074.6437,Tisch 4,101,S1000074.86358,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000074.86359,SP1000074.9.86359,SY1000074.2026.86359,iPad1(1000074),74,01.06.26 10:23,Prod,A1000074.6437,Tisch 4,101,S1000074.86359,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000074.86360,SP1000074.9.86360,SY1000074.2026.86360,iPad1(1000074),74,01.06.26 11:32,Prod,A1000074.6438,,119,S1000074.86360,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000074.86361,SP1000074.9.86361,SY1000074.2026.86361,iPad1(1000074),74,01.06.26 11:32,Prod,A1000074.6438,,119,S1000074.86361,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000074.86362,SP1000074.9.86362,SY1000074.2026.86362,iPad1(1000074),74,01.06.26 11:32,Prod,A1000074.6438,,119,S1000074.86362,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000074.86363,SP1000074.9.86363,SY1000074.2026.86363,iPad1(1000074),74,01.06.26 17:19,Prod,A1000074.6439,Tisch 1,109,S1000074.86363,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000074.86364,SP1000074.9.86364,SY1000074.2026.86364,iPad1(1000074),74,01.06.26 18:05,Prod,A1000074.6440,Tisch 18,101,S1000074.86364,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000074.86365,SP1000074.9.86365,SY1000074.2026.86365,iPad1(1000074),74,01.06.26 18:05,Prod,A1000074.6440,Tisch 18,101,S1000074.86365,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000074.86366,SP1000074.9.86366,SY1000074.2026.86366,iPad1(1000074),74,01.06.26 15:51,Prod,A1000074.6441,,111,S1000074.86366,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000074.86367,SP1000074.9.86367,SY1000074.2026.86367,iPad1(1000074),74,01.06.26 12:58,Prod,A1000074.6442,Tisch 19,114,S1000074.86367,VOID,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000074.86368,SP1000074.9.86368,SY1000074.2026.86368,iPad1(1000074),74,01.06.26 12:58,Prod,A1000074.6442,Tisch 19,114,S1000074.86368,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000074.86369,SP1000074.9.86369,SY1000074.2026.86369,iPad1(1000074),74,01.06.26 12:58,Prod,A1000074.6442,Tisch 19,114,S1000074.86369,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000074.86370,SP1000074.9.86370,SY1000074.2026.86370,iPad1(1000074),74,01.06.26 17:56,Prod,A1000074.6443,Tisch 16,104,S1000074.86370,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000074.86371,SP1000074.9.86371,SY1000074.2026.86371,iPad1(1000074),74,01.06.26 17:56,Prod,A1000074.6443,Tisch 16,104,S1000074.86371,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000074.86372,SP1000074.9.86372,SY1000074.2026.86372,iPad1(1000074),74,01.06.26 11:46,Prod,A1000074.6444,Tisch 11,101,S1000074.86372,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000074.86373,SP1000074.9.86373,SY1000074.2026.86373,iPad1(1000074),74,01.06.26 18:20,Prod,A1000074.6445,Tisch 19,104,S1000074.86373,VOID,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000074.86374,SP1000074.9.86374,SY1000074.2026.86374,iPad1(1000074),74,01.06.26 18:20,Prod,A1000074.6445,Tisch 19,104,S1000074.86374,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000074.86375,SP1000074.9.86375,SY1000074.2026.86375,iPad1(1000074),74,01.06.26 18:20,Prod,A1000074.6445,Tisch 19,104,S1000074.86375,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000074.86376,SP1000074.9.86376,SY1000074.2026.86376,iPad1(1000074),74,01.06.26 08:10,Prod,A1000074.6446,Tisch 1,101,S1000074.86376,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000074.86377,SP1000074.9.86377,SY1000074.2026.86377,iPad1(1000074),74,01.06.26 08:10,Prod,A1000074.6446,Tisch 1,101,S1000074.86377,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000074.86378,SP1000074.9.86378,SY1000074.2026.86378,iPad1(1000074),74,01.06.26 08:10,Prod,A1000074.6446,Tisch 1,101,S1000074.86378,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000074.86379,SP1000074.9.86379,SY1000074.2026.86379,iPad1(1000074),74,01.06.26 12:03,Prod,A1000074.6447,Tisch 19,109,S1000074.86379,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000074.86380,SP1000074.9.86380,SY1000074.2026.86380,iPad1(1000074),74,01.06.26 12:03,Prod,A1000074.6447,Tisch 19,109,S1000074.86380,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000074.86381,SP1000074.9.86381,SY1000074.2026.86381,iPad1(1000074),74,01.06.26 12:03,Prod,A1000074.6447,Tisch 19,109,S1000074.86381,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000074.86382,SP1000074.9.86382,SY1000074.2026.86382,iPad1(1000074),74,01.06.26 19:35,Prod,A1000074.6448,Tisch 12,104,S1000074.86382,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000074.86383,SP1000074.9.86383,SY1000074.2026.86383,iPad1(1000074),74,01.06.26 19:35,Prod,A1000074.6448,Tisch 12,104,S1000074.86383,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000074.86384,SP1000074.9.86384,SY1000074.2026.86384,iPad1(1000074),74,01.06.26 19:35,Prod,A1000074.6448,Tisch 12,104,S1000074.86384,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000074.86385,SP1000074.9.86385,SY1000074.2026.86385,iPad1(1000074),74,01.06.26 18:29,Prod,A1000074.6449,Tisch 3,104,S1000074.86385,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000074.86386,SP1000074.9.86386,SY1000074.2026.86386,iPad1(1000074),74,01.06.26 15:47,Prod,A1000074.6450,Tisch 1,101,S1000074.86386,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000074.86387,SP1000074.9.86387,SY1000074.2026.86387,iPad1(1000074),74,01.06.26 18:49,Prod,A1000074.6451,Tisch 24,114,S1000074.86387,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000074.86388,SP1000074.9.86388,SY1000074.2026.86388,iPad1(1000074),74,01.06.26 12:29,Prod,A1000074.6452,Tisch 12,109,S1000074.86388,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
