Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000137.75914,SP1000137.37.75914,SY1000137.2026.75914,iPad1(1000137),137,01.06.26 20:23,Prod,A1000137.6942,Tisch 18,117,S1000137.75914,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000137.75915,SP1000137.37.75915,SY1000137.2026.75915,iPad1(1000137),137,01.06.26 10:05,Prod,A1000137.6943,Tisch 4,119,S1000137.75915,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000137.75916,SP1000137.37.75916,SY1000137.2026.75916,iPad1(1000137),137,01.06.26 10:05,Prod,A1000137.6943,Tisch 4,119,S1000137.75916,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000137.75917,SP1000137.37.75917,SY1000137.2026.75917,iPad1(1000137),137,01.06.26 20:49,Prod,A1000137.6944,Tisch 10,106,S1000137.75917,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000137.75918,SP1000137.37.75918,SY1000137.2026.75918,iPad1(1000137),137,01.06.26 11:42,Prod,A1000137.6945,Tisch 1,106,S1000137.75918,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000137.75919,SP1000137.37.75919,SY1000137.2026.75919,iPad1(1000137),137,01.06.26 11:42,Prod,A1000137.6945,Tisch 1,106,S1000137.75919,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000137.75920,SP1000137.37.75920,SY1000137.2026.75920,iPad1(1000137),137,01.06.26 17:14,Prod,A1000137.6946,Tisch 24,117,S1000137.75920,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000137.75921,SP1000137.37.75921,SY1000137.2026.75921,iPad1(1000137),137,01.06.26 17:14,Prod,A1000137.6946,Tisch 24,117,S1000137.75921,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000137.75922,SP1000137.37.75922,SY1000137.2026.75922,iPad1(1000137),137,01.06.26 09:16,Prod,A1000137.6947,Tisch 10,112,S1000137.75922,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000137.75923,SP1000137.37.75923,SY1000137.2026.75923,iPad1(1000137),137,01.06.26 09:16,Prod,A1000137.6947,Tisch 10,112,S1000137.75923,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
