Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000233.74810,SP1000233.7.74810,SY1000233.2026.74810,iPad1(1000233),233,01.06.26 20:53,Prod,A1000233.6776,Tisch 7,101,S1000233.74810,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000233.74811,SP1000233.7.74811,SY1000233.2026.74811,iPad1(1000233),233,01.06.26 13:05,Prod,A1000233.6777,Tisch 19,103,S1000233.74811,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000233.74812,SP1000233.7.74812,SY1000233.2026.74812,iPad1(1000233),233,01.06.26 09:23,Prod,A1000233.6778,Tisch 21,117,S1000233.74812,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000233.74813,SP1000233.7.74813,SY1000233.2026.74813,iPad1(1000233),233,01.06.26 09:23,Prod,A1000233.6778,Tisch 21,117,S1000233.74813,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000233.74814,SP1000233.7.74814,SY1000233.2026.74814,iPad1(1000233),233,01.06.26 10:43,Prod,A1000233.6779,Tisch 4,117,S1000233.74814,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000233.74815,SP1000233.7.74815,SY1000233.2026.74815,iPad1(1000233),233,01.06.26 15:32,Prod,A1000233.6780,Tisch 16,101,S1000233.74815,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000233.74816,SP1000233.7.74816,SY1000233.2026.74816,iPad1(1000233),233,01.06.26 19:51,Prod,A1000233.6781,Tisch 16,111,S1000233.74816,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000233.74817,SP1000233.7.74817,SY1000233.2026.74817,iPad1(1000233),233,01.06.26 18:07,Prod,A1000233.6782,Tisch 5,105,S1000233.74817,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000233.74818,SP1000233.7.74818,SY1000233.2026.74818,iPad1(1000233),233,01.06.26 08:01,Prod,A1000233.6783,Tisch 12,105,S1000233.74818,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000233.74819,SP1000233.7.74819,SY1000233.2026.74819,iPad1(1000233),233,01.06.26 08:01,Prod,A1000233.6783,Tisch 12,105,S1000233.74819,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000233.74820,SP1000233.7.74820,SY1000233.2026.74820,iPad1(1000233),233,01.06.26 08:01,Prod,A1000233.6783,Tisch 12,105,S1000233.74820,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000233.74821,SP1000233.7.74821,SY1000233.2026.74821,iPad1(1000233),233,01.06.26 11:58,Prod,A1000233.6784,Tisch 5,101,S1000233.74821,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000233.74822,SP1000233.7.74822,SY1000233.2026.74822,iPad1(1000233),233,01.06.26 11:58,Prod,A1000233.6784,Tisch 5,101,S1000233.74822,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000233.74823,SP1000233.7.74823,SY1000233.2026.74823,iPad1(1000233),233,01.06.26 17:16,Prod,A1000233.6785,,110,S1000233.74823,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000233.74824,SP1000233.7.74824,SY1000233.2026.74824,iPad1(1000233),233,01.06.26 17:16,Prod,A1000233.6785,,110,S1000233.74824,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000233.74825,SP1000233.7.74825,SY1000233.2026.74825,iPad1(1000233),233,01.06.26 17:16,Prod,A1000233.6785,,110,S1000233.74825,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000233.74826,SP1000233.7.74826,SY1000233.2026.74826,iPad1(1000233),233,01.06.26 11:17,Prod,A1000233.6786,Tisch 6,115,S1000233.74826,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000233.74827,SP1000233.7.74827,SY1000233.2026.74827,iPad1(1000233),233,01.06.26 11:17,Prod,A1000233.6786,Tisch 6,115,S1000233.74827,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000233.74828,SP1000233.7.74828,SY1000233.2026.74828,iPad1(1000233),233,01.06.26 11:17,Prod,A1000233.6786,Tisch 6,115,S1000233.74828,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000233.74829,SP1000233.7.74829,SY1000233.2026.74829,iPad1(1000233),233,01.06.26 12:57,Prod,A1000233.6787,Tisch 6,103,S1000233.74829,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000233.74830,SP1000233.7.74830,SY1000233.2026.74830,iPad1(1000233),233,01.06.26 12:57,Prod,A1000233.6787,Tisch 6,103,S1000233.74830,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000233.74831,SP1000233.7.74831,SY1000233.2026.74831,iPad1(1000233),233,01.06.26 12:29,Prod,A1000233.6788,Tisch 22,101,S1000233.74831,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000233.74832,SP1000233.7.74832,SY1000233.2026.74832,iPad1(1000233),233,01.06.26 12:29,Prod,A1000233.6788,Tisch 22,101,S1000233.74832,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
