Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000373.71675,SP1000373.24.71675,SY1000373.2026.71675,iPad1(1000373),373,01.06.26 16:11,Prod,A1000373.6833,Tisch 17,117,S1000373.71675,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000373.71676,SP1000373.24.71676,SY1000373.2026.71676,iPad1(1000373),373,01.06.26 11:44,Prod,A1000373.6834,,112,S1000373.71676,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000373.71677,SP1000373.24.71677,SY1000373.2026.71677,iPad1(1000373),373,01.06.26 19:49,Prod,A1000373.6835,Tisch 5,114,S1000373.71677,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000373.71678,SP1000373.24.71678,SY1000373.2026.71678,iPad1(1000373),373,01.06.26 08:16,Prod,A1000373.6836,Tisch 18,107,S1000373.71678,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000373.71679,SP1000373.24.71679,SY1000373.2026.71679,iPad1(1000373),373,01.06.26 08:16,Prod,A1000373.6836,Tisch 18,107,S1000373.71679,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000373.71680,SP1000373.24.71680,SY1000373.2026.71680,iPad1(1000373),373,01.06.26 08:16,Prod,A1000373.6836,Tisch 18,107,S1000373.71680,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000373.71681,SP1000373.24.71681,SY1000373.2026.71681,iPad1(1000373),373,01.06.26 18:37,Prod,A1000373.6837,Tisch 10,117,S1000373.71681,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000373.71682,SP1000373.24.71682,SY1000373.2026.71682,iPad1(1000373),373,01.06.26 18:37,Prod,A1000373.6837,Tisch 10,117,S1000373.71682,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000373.71683,SP1000373.24.71683,SY1000373.2026.71683,iPad1(1000373),373,01.06.26 18:37,Prod,A1000373.6837,Tisch 10,117,S1000373.71683,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000373.71684,SP1000373.24.71684,SY1000373.2026.71684,iPad1(1000373),373,01.06.26 19:09,Prod,A1000373.6838,Tisch 12,109,S1000373.71684,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000373.71685,SP1000373.24.71685,SY1000373.2026.71685,iPad1(1000373),373,01.06.26 13:38,Prod,A1000373.6839,Tisch 22,109,S1000373.71685,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000373.71686,SP1000373.24.71686,SY1000373.2026.71686,iPad1(1000373),373,01.06.26 17:19,Prod,A1000373.6840,Tisch 16,109,S1000373.71686,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000373.71687,SP1000373.24.71687,SY1000373.2026.71687,iPad1(1000373),373,01.06.26 16:14,Prod,A1000373.6841,Tisch 22,114,S1000373.71687,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000373.71688,SP1000373.24.71688,SY1000373.2026.71688,iPad1(1000373),373,01.06.26 16:14,Prod,A1000373.6841,Tisch 22,114,S1000373.71688,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000373.71689,SP1000373.24.71689,SY1000373.2026.71689,iPad1(1000373),373,01.06.26 16:14,Prod,A1000373.6841,Tisch 22,114,S1000373.71689,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000373.71690,SP1000373.24.71690,SY1000373.2026.71690,iPad1(1000373),373,01.06.26 15:21,Prod,A1000373.6842,Tisch 9,114,S1000373.71690,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000373.71691,SP1000373.24.71691,SY1000373.2026.71691,iPad1(1000373),373,01.06.26 15:21,Prod,A1000373.6842,Tisch 9,114,S1000373.71691,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000373.71692,SP1000373.24.71692,SY1000373.2026.71692,iPad1(1000373),373,01.06.26 08:12,Prod,A1000373.6843,Tisch 16,103,S1000373.71692,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000373.71693,SP1000373.24.71693,SY1000373.2026.71693,iPad1(1000373),373,01.06.26 19:25,Prod,A1000373.6844,Tisch 6,103,S1000373.71693,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000373.71694,SP1000373.24.71694,SY1000373.2026.71694,iPad1(1000373),373,01.06.26 19:25,Prod,A1000373.6844,Tisch 6,103,S1000373.71694,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
