Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000192.58178,SP1000192.43.58178,SY1000192.2026.58178,iPad1(1000192),192,01.06.26 12:28,Prod,A1000192.6822,Tisch 2,111,S1000192.58178,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000192.58179,SP1000192.43.58179,SY1000192.2026.58179,iPad1(1000192),192,01.06.26 15:40,Prod,A1000192.6823,Tisch 9,105,S1000192.58179,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000192.58180,SP1000192.43.58180,SY1000192.2026.58180,iPad1(1000192),192,01.06.26 15:40,Prod,A1000192.6823,Tisch 9,105,S1000192.58180,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000192.58181,SP1000192.43.58181,SY1000192.2026.58181,iPad1(1000192),192,01.06.26 08:43,Prod,A1000192.6824,Tisch 4,113,S1000192.58181,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000192.58182,SP1000192.43.58182,SY1000192.2026.58182,iPad1(1000192),192,01.06.26 08:43,Prod,A1000192.6824,Tisch 4,113,S1000192.58182,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000192.58183,SP1000192.43.58183,SY1000192.2026.58183,iPad1(1000192),192,01.06.26 08:43,Prod,A1000192.6824,Tisch 4,113,S1000192.58183,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000192.58184,SP1000192.43.58184,SY1000192.2026.58184,iPad1(1000192),192,01.06.26 12:50,Prod,A1000192.6825,Tisch 3,117,S1000192.58184,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000192.58185,SP1000192.43.58185,SY1000192.2026.58185,iPad1(1000192),192,01.06.26 12:50,Prod,A1000192.6825,Tisch 3,117,S1000192.58185,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000192.58186,SP1000192.43.58186,SY1000192.2026.58186,iPad1(1000192),192,01.06.26 12:13,Prod,A1000192.6826,Tisch 1,101,S1000192.58186,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000192.58187,SP1000192.43.58187,SY1000192.2026.58187,iPad1(1000192),192,01.06.26 12:13,Prod,A1000192.6826,Tisch 1,101,S1000192.58187,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000192.58188,SP1000192.43.58188,SY1000192.2026.58188,iPad1(1000192),192,01.06.26 19:33,Prod,A1000192.6827,,113,S1000192.58188,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000192.58189,SP1000192.43.58189,SY1000192.2026.58189,iPad1(1000192),192,01.06.26 19:33,Prod,A1000192.6827,,113,S1000192.58189,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000192.58190,SP1000192.43.58190,SY1000192.2026.58190,iPad1(1000192),192,01.06.26 11:39,Prod,A1000192.6828,Tisch 20,113,S1000192.58190,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000192.58191,SP1000192.43.58191,SY1000192.2026.58191,iPad1(1000192),192,01.06.26 11:06,Prod,A1000192.6829,,101,S1000192.58191,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000192.58192,SP1000192.43.58192,SY1000192.2026.58192,iPad1(1000192),192,01.06.26 19:38,Prod,A1000192.6830,,101,S1000192.58192,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000192.58193,SP1000192.43.58193,SY1000192.2026.58193,iPad1(1000192),192,01.06.26 19:38,Prod,A1000192.6830,,101,S1000192.58193,VOID,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000192.58194,SP1000192.43.58194,SY1000192.2026.58194,iPad1(1000192),192,01.06.26 17:33,Prod,A1000192.6831,Tisch 24,105,S1000192.58194,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000192.58195,SP1000192.43.58195,SY1000192.2026.58195,iPad1(1000192),192,01.06.26 11:54,Prod,A1000192.6832,Tisch 24,101,S1000192.58195,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000192.58196,SP1000192.43.58196,SY1000192.2026.58196,iPad1(1000192),192,01.06.26 13:18,Prod,A1000192.6833,Tisch 20,113,S1000192.58196,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000192.58197,SP1000192.43.58197,SY1000192.2026.58197,iPad1(1000192),192,01.06.26 12:57,Prod,A1000192.6834,Tisch 9,105,S1000192.58197,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
