Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000129.70879,SP1000129.5.70879,SY1000129.2026.70879,iPad1(1000129),129,01.06.26 19:40,Prod,A1000129.6318,Tisch 22,106,S1000129.70879,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000129.70880,SP1000129.5.70880,SY1000129.2026.70880,iPad1(1000129),129,01.06.26 19:40,Prod,A1000129.6318,Tisch 22,106,S1000129.70880,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000129.70881,SP1000129.5.70881,SY1000129.2026.70881,iPad1(1000129),129,01.06.26 18:12,Prod,A1000129.6319,Tisch 12,106,S1000129.70881,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000129.70882,SP1000129.5.70882,SY1000129.2026.70882,iPad1(1000129),129,01.06.26 18:12,Prod,A1000129.6319,Tisch 12,106,S1000129.70882,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000129.70883,SP1000129.5.70883,SY1000129.2026.70883,iPad1(1000129),129,01.06.26 15:21,Prod,A1000129.6320,Tisch 3,106,S1000129.70883,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000129.70884,SP1000129.5.70884,SY1000129.2026.70884,iPad1(1000129),129,01.06.26 10:58,Prod,A1000129.6321,Tisch 24,106,S1000129.70884,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000129.70885,SP1000129.5.70885,SY1000129.2026.70885,iPad1(1000129),129,01.06.26 10:58,Prod,A1000129.6321,Tisch 24,106,S1000129.70885,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000129.70886,SP1000129.5.70886,SY1000129.2026.70886,iPad1(1000129),129,01.06.26 10:58,Prod,A1000129.6321,Tisch 24,106,S1000129.70886,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000129.70887,SP1000129.5.70887,SY1000129.2026.70887,iPad1(1000129),129,01.06.26 20:32,Prod,A1000129.6322,Tisch 15,106,S1000129.70887,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000129.70888,SP1000129.5.70888,SY1000129.2026.70888,iPad1(1000129),129,01.06.26 20:32,Prod,A1000129.6322,Tisch 15,106,S1000129.70888,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000129.70889,SP1000129.5.70889,SY1000129.2026.70889,iPad1(1000129),129,01.06.26 20:32,Prod,A1000129.6322,Tisch 15,106,S1000129.70889,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000129.70890,SP1000129.5.70890,SY1000129.2026.70890,iPad1(1000129),129,01.06.26 17:00,Prod,A1000129.6323,Tisch 23,112,S1000129.70890,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000129.70891,SP1000129.5.70891,SY1000129.2026.70891,iPad1(1000129),129,01.06.26 17:00,Prod,A1000129.6323,Tisch 23,112,S1000129.70891,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000129.70892,SP1000129.5.70892,SY1000129.2026.70892,iPad1(1000129),129,01.06.26 17:00,Prod,A1000129.6323,Tisch 23,112,S1000129.70892,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000129.70893,SP1000129.5.70893,SY1000129.2026.70893,iPad1(1000129),129,01.06.26 19:31,Prod,A1000129.6324,,106,S1000129.70893,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
