Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000278.43784,SP1000278.1.43784,SY1000278.2026.43784,iPad1(1000278),278,01.06.26 13:37,Prod,A1000278.6819,Tisch 24,102,S1000278.43784,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000278.43785,SP1000278.1.43785,SY1000278.2026.43785,iPad1(1000278),278,01.06.26 15:09,Prod,A1000278.6820,Tisch 7,103,S1000278.43785,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000278.43786,SP1000278.1.43786,SY1000278.2026.43786,iPad1(1000278),278,01.06.26 13:37,Prod,A1000278.6821,Tisch 9,104,S1000278.43786,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000278.43787,SP1000278.1.43787,SY1000278.2026.43787,iPad1(1000278),278,01.06.26 13:37,Prod,A1000278.6821,Tisch 9,104,S1000278.43787,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000278.43788,SP1000278.1.43788,SY1000278.2026.43788,iPad1(1000278),278,01.06.26 13:20,Prod,A1000278.6822,Tisch 14,103,S1000278.43788,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000278.43789,SP1000278.1.43789,SY1000278.2026.43789,iPad1(1000278),278,01.06.26 13:20,Prod,A1000278.6822,Tisch 14,103,S1000278.43789,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000278.43790,SP1000278.1.43790,SY1000278.2026.43790,iPad1(1000278),278,01.06.26 13:20,Prod,A1000278.6822,Tisch 14,103,S1000278.43790,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000278.43791,SP1000278.1.43791,SY1000278.2026.43791,iPad1(1000278),278,01.06.26 13:31,Prod,A1000278.6823,Tisch 8,102,S1000278.43791,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000278.43792,SP1000278.1.43792,SY1000278.2026.43792,iPad1(1000278),278,01.06.26 12:56,Prod,A1000278.6824,Tisch 21,102,S1000278.43792,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000278.43793,SP1000278.1.43793,SY1000278.2026.43793,iPad1(1000278),278,01.06.26 12:56,Prod,A1000278.6824,Tisch 21,102,S1000278.43793,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
