Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000028.34438,SP1000028.35.34438,SY1000028.2026.34438,iPad1(1000028),28,01.06.26 10:58,Prod,A1000028.6348,Tisch 20,115,S1000028.34438,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000028.34439,SP1000028.35.34439,SY1000028.2026.34439,iPad1(1000028),28,01.06.26 10:58,Prod,A1000028.6348,Tisch 20,115,S1000028.34439,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000028.34440,SP1000028.35.34440,SY1000028.2026.34440,iPad1(1000028),28,01.06.26 10:58,Prod,A1000028.6348,Tisch 20,115,S1000028.34440,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000028.34441,SP1000028.35.34441,SY1000028.2026.34441,iPad1(1000028),28,01.06.26 10:50,Prod,A1000028.6349,Tisch 5,114,S1000028.34441,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000028.34442,SP1000028.35.34442,SY1000028.2026.34442,iPad1(1000028),28,01.06.26 15:28,Prod,A1000028.6350,Tisch 18,101,S1000028.34442,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000028.34443,SP1000028.35.34443,SY1000028.2026.34443,iPad1(1000028),28,01.06.26 13:57,Prod,A1000028.6351,Tisch 3,114,S1000028.34443,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000028.34444,SP1000028.35.34444,SY1000028.2026.34444,iPad1(1000028),28,01.06.26 13:57,Prod,A1000028.6351,Tisch 3,114,S1000028.34444,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000028.34445,SP1000028.35.34445,SY1000028.2026.34445,iPad1(1000028),28,01.06.26 18:45,Prod,A1000028.6352,Tisch 9,101,S1000028.34445,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000028.34446,SP1000028.35.34446,SY1000028.2026.34446,iPad1(1000028),28,01.06.26 16:43,Prod,A1000028.6353,Tisch 1,102,S1000028.34446,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000028.34447,SP1000028.35.34447,SY1000028.2026.34447,iPad1(1000028),28,01.06.26 16:43,Prod,A1000028.6353,Tisch 1,102,S1000028.34447,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000028.34448,SP1000028.35.34448,SY1000028.2026.34448,iPad1(1000028),28,01.06.26 16:43,Prod,A1000028.6353,Tisch 1,102,S1000028.34448,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000028.34449,SP1000028.35.34449,SY1000028.2026.34449,iPad1(1000028),28,01.06.26 12:31,Prod,A1000028.6354,Tisch 19,114,S1000028.34449,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
