Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000013.12330,SP1000013.7.12330,SY1000013.2026.12330,iPad1(1000013),13,01.06.26 19:13,Prod,A1000013.6936,Tisch 7,103,S1000013.12330,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000013.12331,SP1000013.7.12331,SY1000013.2026.12331,iPad1(1000013),13,01.06.26 19:13,Prod,A1000013.6936,Tisch 7,103,S1000013.12331,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000013.12332,SP1000013.7.12332,SY1000013.2026.12332,iPad1(1000013),13,01.06.26 19:13,Prod,A1000013.6936,Tisch 7,103,S1000013.12332,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000013.12333,SP1000013.7.12333,SY1000013.2026.12333,iPad1(1000013),13,01.06.26 09:30,Prod,A1000013.6937,Tisch 19,110,S1000013.12333,VOID,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000013.12334,SP1000013.7.12334,SY1000013.2026.12334,iPad1(1000013),13,01.06.26 09:30,Prod,A1000013.6937,Tisch 19,110,S1000013.12334,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000013.12335,SP1000013.7.12335,SY1000013.2026.12335,iPad1(1000013),13,01.06.26 16:32,Prod,A1000013.6938,Tisch 23,110,S1000013.12335,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000013.12336,SP1000013.7.12336,SY1000013.2026.12336,iPad1(1000013),13,01.06.26 16:32,Prod,A1000013.6938,Tisch 23,110,S1000013.12336,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000013.12337,SP1000013.7.12337,SY1000013.2026.12337,iPad1(1000013),13,01.06.26 12:51,Prod,A1000013.6939,Tisch 10,112,S1000013.12337,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000013.12338,SP1000013.7.12338,SY1000013.2026.12338,iPad1(1000013),13,01.06.26 12:51,Prod,A1000013.6939,Tisch 10,112,S1000013.12338,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000013.12339,SP1000013.7.12339,SY1000013.2026.12339,iPad1(1000013),13,01.06.26 13:13,Prod,A1000013.6940,Tisch 9,112,S1000013.12339,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000013.12340,SP1000013.7.12340,SY1000013.2026.12340,iPad1(1000013),13,01.06.26 16:40,Prod,A1000013.6941,,110,S1000013.12340,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000013.12341,SP1000013.7.12341,SY1000013.2026.12341,iPad1(1000013),13,01.06.26 20:30,Prod,A1000013.6942,Tisch 17,103,S1000013.12341,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000013.12342,SP1000013.7.12342,SY1000013.2026.12342,iPad1(1000013),13,01.06.26 20:30,Prod,A1000013.6942,Tisch 17,103,S1000013.12342,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000013.12343,SP1000013.7.12343,SY1000013.2026.12343,iPad1(1000013),13,01.06.26 13:16,Prod,A1000013.6943,Tisch 7,103,S1000013.12343,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000013.12344,SP1000013.7.12344,SY1000013.2026.12344,iPad1(1000013),13,01.06.26 13:16,Prod,A1000013.6943,Tisch 7,103,S1000013.12344,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000013.12345,SP1000013.7.12345,SY1000013.2026.12345,iPad1(1000013),13,01.06.26 13:22,Prod,A1000013.6944,Tisch 9,108,S1000013.12345,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000013.12346,SP1000013.7.12346,SY1000013.2026.12346,iPad1(1000013),13,01.06.26 16:51,Prod,A1000013.6945,,103,S1000013.12346,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000013.12347,SP1000013.7.12347,SY1000013.2026.12347,iPad1(1000013),13,01.06.26 16:51,Prod,A1000013.6945,,103,S1000013.12347,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000013.12348,SP1000013.7.12348,SY1000013.2026.12348,iPad1(1000013),13,01.06.26 15:44,Prod,A1000013.6946,Tisch 18,107,S1000013.12348,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000013.12349,SP1000013.7.12349,SY1000013.2026.12349,iPad1(1000013),13,01.06.26 15:44,Prod,A1000013.6946,Tisch 18,107,S1000013.12349,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
