Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000134.75687,SP1000134.8.75687,SY1000134.2026.75687,iPad1(1000134),134,01.06.26 19:50,Prod,A1000134.6166,Tisch 8,102,S1000134.75687,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000134.75688,SP1000134.8.75688,SY1000134.2026.75688,iPad1(1000134),134,01.06.26 11:18,Prod,A1000134.6167,,103,S1000134.75688,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000134.75689,SP1000134.8.75689,SY1000134.2026.75689,iPad1(1000134),134,01.06.26 11:18,Prod,A1000134.6167,,103,S1000134.75689,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000134.75690,SP1000134.8.75690,SY1000134.2026.75690,iPad1(1000134),134,01.06.26 18:38,Prod,A1000134.6168,Tisch 19,102,S1000134.75690,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000134.75691,SP1000134.8.75691,SY1000134.2026.75691,iPad1(1000134),134,01.06.26 13:45,Prod,A1000134.6169,Tisch 12,119,S1000134.75691,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000134.75692,SP1000134.8.75692,SY1000134.2026.75692,iPad1(1000134),134,01.06.26 13:45,Prod,A1000134.6169,Tisch 12,119,S1000134.75692,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000134.75693,SP1000134.8.75693,SY1000134.2026.75693,iPad1(1000134),134,01.06.26 13:45,Prod,A1000134.6169,Tisch 12,119,S1000134.75693,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000134.75694,SP1000134.8.75694,SY1000134.2026.75694,iPad1(1000134),134,01.06.26 16:18,Prod,A1000134.6170,Tisch 22,103,S1000134.75694,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000134.75695,SP1000134.8.75695,SY1000134.2026.75695,iPad1(1000134),134,01.06.26 11:21,Prod,A1000134.6171,Tisch 5,104,S1000134.75695,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000134.75696,SP1000134.8.75696,SY1000134.2026.75696,iPad1(1000134),134,01.06.26 10:44,Prod,A1000134.6172,Tisch 6,103,S1000134.75696,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000134.75697,SP1000134.8.75697,SY1000134.2026.75697,iPad1(1000134),134,01.06.26 10:44,Prod,A1000134.6172,Tisch 6,103,S1000134.75697,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000134.75698,SP1000134.8.75698,SY1000134.2026.75698,iPad1(1000134),134,01.06.26 10:44,Prod,A1000134.6172,Tisch 6,103,S1000134.75698,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000134.75699,SP1000134.8.75699,SY1000134.2026.75699,iPad1(1000134),134,01.06.26 12:53,Prod,A1000134.6173,Tisch 22,103,S1000134.75699,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000134.75700,SP1000134.8.75700,SY1000134.2026.75700,iPad1(1000134),134,01.06.26 11:29,Prod,A1000134.6174,Tisch 11,104,S1000134.75700,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000134.75701,SP1000134.8.75701,SY1000134.2026.75701,iPad1(1000134),134,01.06.26 11:29,Prod,A1000134.6174,Tisch 11,104,S1000134.75701,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000134.75702,SP1000134.8.75702,SY1000134.2026.75702,iPad1(1000134),134,01.06.26 11:29,Prod,A1000134.6174,Tisch 11,104,S1000134.75702,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000134.75703,SP1000134.8.75703,SY1000134.2026.75703,iPad1(1000134),134,01.06.26 19:48,Prod,A1000134.6175,Tisch 6,119,S1000134.75703,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000134.75704,SP1000134.8.75704,SY1000134.2026.75704,iPad1(1000134),134,01.06.26 19:48,Prod,A1000134.6175,Tisch 6,119,S1000134.75704,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000134.75705,SP1000134.8.75705,SY1000134.2026.75705,iPad1(1000134),134,01.06.26 18:32,Prod,A1000134.6176,Tisch 7,103,S1000134.75705,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000134.75706,SP1000134.8.75706,SY1000134.2026.75706,iPad1(1000134),134,01.06.26 11:45,Prod,A1000134.6177,Tisch 15,117,S1000134.75706,VOID,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000134.75707,SP1000134.8.75707,SY1000134.2026.75707,iPad1(1000134),134,01.06.26 11:45,Prod,A1000134.6177,Tisch 15,117,S1000134.75707,VOID,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000134.75708,SP1000134.8.75708,SY1000134.2026.75708,iPad1(1000134),134,01.06.26 11:45,Prod,A1000134.6177,Tisch 15,117,S1000134.75708,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000134.75709,SP1000134.8.75709,SY1000134.2026.75709,iPad1(1000134),134,01.06.26 18:33,Prod,A1000134.6178,Tisch 24,104,S1000134.75709,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000134.75710,SP1000134.8.75710,SY1000134.2026.75710,iPad1(1000134),134,01.06.26 18:33,Prod,A1000134.6178,Tisch 24,104,S1000134.75710,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000134.75711,SP1000134.8.75711,SY1000134.2026.75711,iPad1(1000134),134,01.06.26 18:33,Prod,A1000134.6178,Tisch 24,104,S1000134.75711,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000134.75712,SP1000134.8.75712,SY1000134.2026.75712,iPad1(1000134),134,01.06.26 16:30,Prod,A1000134.6179,Tisch 15,103,S1000134.75712,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000134.75713,SP1000134.8.75713,SY1000134.2026.75713,iPad1(1000134),134,01.06.26 16:30,Prod,A1000134.6179,Tisch 15,103,S1000134.75713,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000134.75714,SP1000134.8.75714,SY1000134.2026.75714,iPad1(1000134),134,01.06.26 16:30,Prod,A1000134.6179,Tisch 15,103,S1000134.75714,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000134.75715,SP1000134.8.75715,SY1000134.2026.75715,iPad1(1000134),134,01.06.26 15:42,Prod,A1000134.6180,Tisch 5,102,S1000134.75715,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000134.75716,SP1000134.8.75716,SY1000134.2026.75716,iPad1(1000134),134,01.06.26 15:42,Prod,A1000134.6180,Tisch 5,102,S1000134.75716,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000134.75717,SP1000134.8.75717,SY1000134.2026.75717,iPad1(1000134),134,01.06.26 15:42,Prod,A1000134.6180,Tisch 5,102,S1000134.75717,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000134.75718,SP1000134.8.75718,SY1000134.2026.75718,iPad1(1000134),134,01.06.26 11:43,Prod,A1000134.6181,Tisch 5,112,S1000134.75718,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000134.75719,SP1000134.8.75719,SY1000134.2026.75719,iPad1(1000134),134,01.06.26 11:43,Prod,A1000134.6181,Tisch 5,112,S1000134.75719,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000134.75720,SP1000134.8.75720,SY1000134.2026.75720,iPad1(1000134),134,01.06.26 19:30,Prod,A1000134.6182,Tisch 5,104,S1000134.75720,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000134.75721,SP1000134.8.75721,SY1000134.2026.75721,iPad1(1000134),134,01.06.26 11:51,Prod,A1000134.6183,Tisch 2,119,S1000134.75721,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000134.75722,SP1000134.8.75722,SY1000134.2026.75722,iPad1(1000134),134,01.06.26 19:24,Prod,A1000134.6184,Tisch 3,117,S1000134.75722,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000134.75723,SP1000134.8.75723,SY1000134.2026.75723,iPad1(1000134),134,01.06.26 19:24,Prod,A1000134.6184,Tisch 3,117,S1000134.75723,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000134.75724,SP1000134.8.75724,SY1000134.2026.75724,iPad1(1000134),134,01.06.26 19:24,Prod,A1000134.6184,Tisch 3,117,S1000134.75724,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000134.75725,SP1000134.8.75725,SY1000134.2026.75725,iPad1(1000134),134,01.06.26 16:20,Prod,A1000134.6185,Tisch 3,102,S1000134.75725,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000134.75726,SP1000134.8.75726,SY1000134.2026.75726,iPad1(1000134),134,01.06.26 16:20,Prod,A1000134.6185,Tisch 3,102,S1000134.75726,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000134.75727,SP1000134.8.75727,SY1000134.2026.75727,iPad1(1000134),134,01.06.26 16:20,Prod,A1000134.6185,Tisch 3,102,S1000134.75727,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000134.75728,SP1000134.8.75728,SY1000134.2026.75728,iPad1(1000134),134,01.06.26 11:15,Prod,A1000134.6186,Tisch 22,103,S1000134.75728,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000134.75729,SP1000134.8.75729,SY1000134.2026.75729,iPad1(1000134),134,01.06.26 11:15,Prod,A1000134.6186,Tisch 22,103,S1000134.75729,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000134.75730,SP1000134.8.75730,SY1000134.2026.75730,iPad1(1000134),134,01.06.26 12:03,Prod,A1000134.6187,Tisch 1,102,S1000134.75730,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000134.75731,SP1000134.8.75731,SY1000134.2026.75731,iPad1(1000134),134,01.06.26 18:04,Prod,A1000134.6188,Tisch 12,117,S1000134.75731,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000134.75732,SP1000134.8.75732,SY1000134.2026.75732,iPad1(1000134),134,01.06.26 18:04,Prod,A1000134.6188,Tisch 12,117,S1000134.75732,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000134.75733,SP1000134.8.75733,SY1000134.2026.75733,iPad1(1000134),134,01.06.26 18:04,Prod,A1000134.6188,Tisch 12,117,S1000134.75733,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000134.75734,SP1000134.8.75734,SY1000134.2026.75734,iPad1(1000134),134,01.06.26 20:01,Prod,A1000134.6189,,112,S1000134.75734,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000134.75735,SP1000134.8.75735,SY1000134.2026.75735,iPad1(1000134),134,01.06.26 20:01,Prod,A1000134.6189,,112,S1000134.75735,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000134.75736,SP1000134.8.75736,SY1000134.2026.75736,iPad1(1000134),134,01.06.26 20:38,Prod,A1000134.6190,Tisch 19,103,S1000134.75736,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000134.75737,SP1000134.8.75737,SY1000134.2026.75737,iPad1(1000134),134,01.06.26 20:38,Prod,A1000134.6190,Tisch 19,103,S1000134.75737,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000134.75738,SP1000134.8.75738,SY1000134.2026.75738,iPad1(1000134),134,01.06.26 20:38,Prod,A1000134.6190,Tisch 19,103,S1000134.75738,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000134.75739,SP1000134.8.75739,SY1000134.2026.75739,iPad1(1000134),134,01.06.26 19:44,Prod,A1000134.6191,,104,S1000134.75739,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000134.75740,SP1000134.8.75740,SY1000134.2026.75740,iPad1(1000134),134,01.06.26 19:44,Prod,A1000134.6191,,104,S1000134.75740,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000134.75741,SP1000134.8.75741,SY1000134.2026.75741,iPad1(1000134),134,01.06.26 12:47,Prod,A1000134.6192,Tisch 18,103,S1000134.75741,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000134.75742,SP1000134.8.75742,SY1000134.2026.75742,iPad1(1000134),134,01.06.26 16:20,Prod,A1000134.6193,Tisch 22,112,S1000134.75742,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000134.75743,SP1000134.8.75743,SY1000134.2026.75743,iPad1(1000134),134,01.06.26 16:20,Prod,A1000134.6193,Tisch 22,112,S1000134.75743,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000134.75744,SP1000134.8.75744,SY1000134.2026.75744,iPad1(1000134),134,01.06.26 16:20,Prod,A1000134.6193,Tisch 22,112,S1000134.75744,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000134.75745,SP1000134.8.75745,SY1000134.2026.75745,iPad1(1000134),134,01.06.26 17:46,Prod,A1000134.6194,Tisch 19,103,S1000134.75745,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000134.75746,SP1000134.8.75746,SY1000134.2026.75746,iPad1(1000134),134,01.06.26 17:46,Prod,A1000134.6194,Tisch 19,103,S1000134.75746,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000134.75747,SP1000134.8.75747,SY1000134.2026.75747,iPad1(1000134),134,01.06.26 20:45,Prod,A1000134.6195,Tisch 3,112,S1000134.75747,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000134.75748,SP1000134.8.75748,SY1000134.2026.75748,iPad1(1000134),134,01.06.26 20:45,Prod,A1000134.6195,Tisch 3,112,S1000134.75748,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
