Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000160.16560,SP1000160.9.16560,SY1000160.2026.16560,iPad1(1000160),160,01.06.26 12:23,Prod,A1000160.6657,Tisch 20,108,S1000160.16560,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000160.16561,SP1000160.9.16561,SY1000160.2026.16561,iPad1(1000160),160,01.06.26 12:23,Prod,A1000160.6657,Tisch 20,108,S1000160.16561,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000160.16562,SP1000160.9.16562,SY1000160.2026.16562,iPad1(1000160),160,01.06.26 17:03,Prod,A1000160.6658,Tisch 21,105,S1000160.16562,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000160.16563,SP1000160.9.16563,SY1000160.2026.16563,iPad1(1000160),160,01.06.26 17:03,Prod,A1000160.6658,Tisch 21,105,S1000160.16563,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000160.16564,SP1000160.9.16564,SY1000160.2026.16564,iPad1(1000160),160,01.06.26 17:03,Prod,A1000160.6658,Tisch 21,105,S1000160.16564,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000160.16565,SP1000160.9.16565,SY1000160.2026.16565,iPad1(1000160),160,01.06.26 16:18,Prod,A1000160.6659,Tisch 12,113,S1000160.16565,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000160.16566,SP1000160.9.16566,SY1000160.2026.16566,iPad1(1000160),160,01.06.26 19:20,Prod,A1000160.6660,Tisch 8,105,S1000160.16566,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000160.16567,SP1000160.9.16567,SY1000160.2026.16567,iPad1(1000160),160,01.06.26 10:38,Prod,A1000160.6661,Tisch 18,105,S1000160.16567,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000160.16568,SP1000160.9.16568,SY1000160.2026.16568,iPad1(1000160),160,01.06.26 10:38,Prod,A1000160.6661,Tisch 18,105,S1000160.16568,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000160.16569,SP1000160.9.16569,SY1000160.2026.16569,iPad1(1000160),160,01.06.26 10:38,Prod,A1000160.6661,Tisch 18,105,S1000160.16569,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000160.16570,SP1000160.9.16570,SY1000160.2026.16570,iPad1(1000160),160,01.06.26 11:31,Prod,A1000160.6662,Tisch 4,116,S1000160.16570,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000160.16571,SP1000160.9.16571,SY1000160.2026.16571,iPad1(1000160),160,01.06.26 11:31,Prod,A1000160.6662,Tisch 4,116,S1000160.16571,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
