Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000337.51046,SP1000337.18.51046,SY1000337.2026.51046,iPad1(1000337),337,01.06.26 12:42,Prod,A1000337.6881,Tisch 10,105,S1000337.51046,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000337.51047,SP1000337.18.51047,SY1000337.2026.51047,iPad1(1000337),337,01.06.26 12:42,Prod,A1000337.6881,Tisch 10,105,S1000337.51047,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000337.51048,SP1000337.18.51048,SY1000337.2026.51048,iPad1(1000337),337,01.06.26 18:51,Prod,A1000337.6882,Tisch 4,115,S1000337.51048,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000337.51049,SP1000337.18.51049,SY1000337.2026.51049,iPad1(1000337),337,01.06.26 16:28,Prod,A1000337.6883,Tisch 24,115,S1000337.51049,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000337.51050,SP1000337.18.51050,SY1000337.2026.51050,iPad1(1000337),337,01.06.26 13:24,Prod,A1000337.6884,Tisch 7,105,S1000337.51050,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000337.51051,SP1000337.18.51051,SY1000337.2026.51051,iPad1(1000337),337,01.06.26 11:02,Prod,A1000337.6885,Tisch 22,102,S1000337.51051,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000337.51052,SP1000337.18.51052,SY1000337.2026.51052,iPad1(1000337),337,01.06.26 11:02,Prod,A1000337.6885,Tisch 22,102,S1000337.51052,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000337.51053,SP1000337.18.51053,SY1000337.2026.51053,iPad1(1000337),337,01.06.26 11:02,Prod,A1000337.6885,Tisch 22,102,S1000337.51053,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000337.51054,SP1000337.18.51054,SY1000337.2026.51054,iPad1(1000337),337,01.06.26 18:05,Prod,A1000337.6886,Tisch 24,102,S1000337.51054,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000337.51055,SP1000337.18.51055,SY1000337.2026.51055,iPad1(1000337),337,01.06.26 18:05,Prod,A1000337.6886,Tisch 24,102,S1000337.51055,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000337.51056,SP1000337.18.51056,SY1000337.2026.51056,iPad1(1000337),337,01.06.26 18:05,Prod,A1000337.6886,Tisch 24,102,S1000337.51056,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000337.51057,SP1000337.18.51057,SY1000337.2026.51057,iPad1(1000337),337,01.06.26 11:34,Prod,A1000337.6887,Tisch 15,105,S1000337.51057,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000337.51058,SP1000337.18.51058,SY1000337.2026.51058,iPad1(1000337),337,01.06.26 13:33,Prod,A1000337.6888,Tisch 24,102,S1000337.51058,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000337.51059,SP1000337.18.51059,SY1000337.2026.51059,iPad1(1000337),337,01.06.26 18:34,Prod,A1000337.6889,Tisch 3,102,S1000337.51059,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000337.51060,SP1000337.18.51060,SY1000337.2026.51060,iPad1(1000337),337,01.06.26 18:34,Prod,A1000337.6889,Tisch 3,102,S1000337.51060,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000337.51061,SP1000337.18.51061,SY1000337.2026.51061,iPad1(1000337),337,01.06.26 18:34,Prod,A1000337.6889,Tisch 3,102,S1000337.51061,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000337.51062,SP1000337.18.51062,SY1000337.2026.51062,iPad1(1000337),337,01.06.26 20:00,Prod,A1000337.6890,Tisch 4,104,S1000337.51062,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000337.51063,SP1000337.18.51063,SY1000337.2026.51063,iPad1(1000337),337,01.06.26 11:10,Prod,A1000337.6891,Tisch 15,104,S1000337.51063,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000337.51064,SP1000337.18.51064,SY1000337.2026.51064,iPad1(1000337),337,01.06.26 11:10,Prod,A1000337.6891,Tisch 15,104,S1000337.51064,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
