Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000092.49136,SP1000092.25.49136,SY1000092.2026.49136,iPad1(1000092),92,01.06.26 16:15,Prod,A1000092.6116,Tisch 20,105,S1000092.49136,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000092.49137,SP1000092.25.49137,SY1000092.2026.49137,iPad1(1000092),92,01.06.26 09:34,Prod,A1000092.6117,Tisch 9,110,S1000092.49137,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000092.49138,SP1000092.25.49138,SY1000092.2026.49138,iPad1(1000092),92,01.06.26 09:34,Prod,A1000092.6117,Tisch 9,110,S1000092.49138,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000092.49139,SP1000092.25.49139,SY1000092.2026.49139,iPad1(1000092),92,01.06.26 16:02,Prod,A1000092.6118,Tisch 11,110,S1000092.49139,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000092.49140,SP1000092.25.49140,SY1000092.2026.49140,iPad1(1000092),92,01.06.26 16:02,Prod,A1000092.6118,Tisch 11,110,S1000092.49140,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000092.49141,SP1000092.25.49141,SY1000092.2026.49141,iPad1(1000092),92,01.06.26 16:02,Prod,A1000092.6118,Tisch 11,110,S1000092.49141,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000092.49142,SP1000092.25.49142,SY1000092.2026.49142,iPad1(1000092),92,01.06.26 18:54,Prod,A1000092.6119,,116,S1000092.49142,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000092.49143,SP1000092.25.49143,SY1000092.2026.49143,iPad1(1000092),92,01.06.26 20:25,Prod,A1000092.6120,Tisch 10,106,S1000092.49143,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000092.49144,SP1000092.25.49144,SY1000092.2026.49144,iPad1(1000092),92,01.06.26 20:25,Prod,A1000092.6120,Tisch 10,106,S1000092.49144,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000092.49145,SP1000092.25.49145,SY1000092.2026.49145,iPad1(1000092),92,01.06.26 17:58,Prod,A1000092.6121,Tisch 18,103,S1000092.49145,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000092.49146,SP1000092.25.49146,SY1000092.2026.49146,iPad1(1000092),92,01.06.26 17:58,Prod,A1000092.6121,Tisch 18,103,S1000092.49146,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000092.49147,SP1000092.25.49147,SY1000092.2026.49147,iPad1(1000092),92,01.06.26 20:18,Prod,A1000092.6122,Tisch 9,110,S1000092.49147,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000092.49148,SP1000092.25.49148,SY1000092.2026.49148,iPad1(1000092),92,01.06.26 20:18,Prod,A1000092.6122,Tisch 9,110,S1000092.49148,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000092.49149,SP1000092.25.49149,SY1000092.2026.49149,iPad1(1000092),92,01.06.26 12:55,Prod,A1000092.6123,Tisch 17,110,S1000092.49149,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000092.49150,SP1000092.25.49150,SY1000092.2026.49150,iPad1(1000092),92,01.06.26 12:55,Prod,A1000092.6123,Tisch 17,110,S1000092.49150,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000092.49151,SP1000092.25.49151,SY1000092.2026.49151,iPad1(1000092),92,01.06.26 12:55,Prod,A1000092.6123,Tisch 17,110,S1000092.49151,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000092.49152,SP1000092.25.49152,SY1000092.2026.49152,iPad1(1000092),92,01.06.26 12:07,Prod,A1000092.6124,Tisch 20,105,S1000092.49152,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000092.49153,SP1000092.25.49153,SY1000092.2026.49153,iPad1(1000092),92,01.06.26 12:07,Prod,A1000092.6124,Tisch 20,105,S1000092.49153,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000092.49154,SP1000092.25.49154,SY1000092.2026.49154,iPad1(1000092),92,01.06.26 12:07,Prod,A1000092.6124,Tisch 20,105,S1000092.49154,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000092.49155,SP1000092.25.49155,SY1000092.2026.49155,iPad1(1000092),92,01.06.26 19:05,Prod,A1000092.6125,Tisch 10,103,S1000092.49155,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000092.49156,SP1000092.25.49156,SY1000092.2026.49156,iPad1(1000092),92,01.06.26 17:35,Prod,A1000092.6126,Tisch 11,106,S1000092.49156,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000092.49157,SP1000092.25.49157,SY1000092.2026.49157,iPad1(1000092),92,01.06.26 11:41,Prod,A1000092.6127,Tisch 16,105,S1000092.49157,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000092.49158,SP1000092.25.49158,SY1000092.2026.49158,iPad1(1000092),92,01.06.26 11:41,Prod,A1000092.6127,Tisch 16,105,S1000092.49158,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000092.49159,SP1000092.25.49159,SY1000092.2026.49159,iPad1(1000092),92,01.06.26 11:41,Prod,A1000092.6127,Tisch 16,105,S1000092.49159,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
