Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000211.55607,SP1000211.8.55607,SY1000211.2026.55607,iPad1(1000211),211,01.06.26 11:22,Prod,A1000211.6240,Tisch 10,112,S1000211.55607,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000211.55608,SP1000211.8.55608,SY1000211.2026.55608,iPad1(1000211),211,01.06.26 08:48,Prod,A1000211.6241,Tisch 5,103,S1000211.55608,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000211.55609,SP1000211.8.55609,SY1000211.2026.55609,iPad1(1000211),211,01.06.26 18:23,Prod,A1000211.6242,,107,S1000211.55609,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000211.55610,SP1000211.8.55610,SY1000211.2026.55610,iPad1(1000211),211,01.06.26 18:23,Prod,A1000211.6242,,107,S1000211.55610,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000211.55611,SP1000211.8.55611,SY1000211.2026.55611,iPad1(1000211),211,01.06.26 16:08,Prod,A1000211.6243,Tisch 18,104,S1000211.55611,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000211.55612,SP1000211.8.55612,SY1000211.2026.55612,iPad1(1000211),211,01.06.26 15:55,Prod,A1000211.6244,Tisch 10,103,S1000211.55612,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000211.55613,SP1000211.8.55613,SY1000211.2026.55613,iPad1(1000211),211,01.06.26 17:20,Prod,A1000211.6245,,104,S1000211.55613,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000211.55614,SP1000211.8.55614,SY1000211.2026.55614,iPad1(1000211),211,01.06.26 17:20,Prod,A1000211.6245,,104,S1000211.55614,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000211.55615,SP1000211.8.55615,SY1000211.2026.55615,iPad1(1000211),211,01.06.26 17:20,Prod,A1000211.6245,,104,S1000211.55615,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000211.55616,SP1000211.8.55616,SY1000211.2026.55616,iPad1(1000211),211,01.06.26 15:33,Prod,A1000211.6246,Tisch 17,103,S1000211.55616,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000211.55617,SP1000211.8.55617,SY1000211.2026.55617,iPad1(1000211),211,01.06.26 10:41,Prod,A1000211.6247,Tisch 4,115,S1000211.55617,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000211.55618,SP1000211.8.55618,SY1000211.2026.55618,iPad1(1000211),211,01.06.26 10:41,Prod,A1000211.6247,Tisch 4,115,S1000211.55618,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000211.55619,SP1000211.8.55619,SY1000211.2026.55619,iPad1(1000211),211,01.06.26 10:41,Prod,A1000211.6247,Tisch 4,115,S1000211.55619,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000211.55620,SP1000211.8.55620,SY1000211.2026.55620,iPad1(1000211),211,01.06.26 10:28,Prod,A1000211.6248,,118,S1000211.55620,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000211.55621,SP1000211.8.55621,SY1000211.2026.55621,iPad1(1000211),211,01.06.26 10:28,Prod,A1000211.6248,,118,S1000211.55621,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
