Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000043.75660,SP1000043.19.75660,SY1000043.2026.75660,iPad1(1000043),43,01.06.26 11:05,Prod,A1000043.6520,Tisch 11,105,S1000043.75660,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000043.75661,SP1000043.19.75661,SY1000043.2026.75661,iPad1(1000043),43,01.06.26 11:05,Prod,A1000043.6520,Tisch 11,105,S1000043.75661,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000043.75662,SP1000043.19.75662,SY1000043.2026.75662,iPad1(1000043),43,01.06.26 11:05,Prod,A1000043.6520,Tisch 11,105,S1000043.75662,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000043.75663,SP1000043.19.75663,SY1000043.2026.75663,iPad1(1000043),43,01.06.26 12:28,Prod,A1000043.6521,Tisch 20,115,S1000043.75663,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000043.75664,SP1000043.19.75664,SY1000043.2026.75664,iPad1(1000043),43,01.06.26 19:23,Prod,A1000043.6522,Tisch 8,112,S1000043.75664,VOID,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000043.75665,SP1000043.19.75665,SY1000043.2026.75665,iPad1(1000043),43,01.06.26 11:37,Prod,A1000043.6523,Tisch 8,109,S1000043.75665,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000043.75666,SP1000043.19.75666,SY1000043.2026.75666,iPad1(1000043),43,01.06.26 11:37,Prod,A1000043.6523,Tisch 8,109,S1000043.75666,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000043.75667,SP1000043.19.75667,SY1000043.2026.75667,iPad1(1000043),43,01.06.26 11:37,Prod,A1000043.6523,Tisch 8,109,S1000043.75667,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000043.75668,SP1000043.19.75668,SY1000043.2026.75668,iPad1(1000043),43,01.06.26 20:42,Prod,A1000043.6524,Tisch 1,109,S1000043.75668,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000043.75669,SP1000043.19.75669,SY1000043.2026.75669,iPad1(1000043),43,01.06.26 20:42,Prod,A1000043.6524,Tisch 1,109,S1000043.75669,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000043.75670,SP1000043.19.75670,SY1000043.2026.75670,iPad1(1000043),43,01.06.26 20:42,Prod,A1000043.6524,Tisch 1,109,S1000043.75670,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000043.75671,SP1000043.19.75671,SY1000043.2026.75671,iPad1(1000043),43,01.06.26 17:14,Prod,A1000043.6525,Tisch 15,114,S1000043.75671,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000043.75672,SP1000043.19.75672,SY1000043.2026.75672,iPad1(1000043),43,01.06.26 17:14,Prod,A1000043.6525,Tisch 15,114,S1000043.75672,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
