Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000101.12690,SP1000101.21.12690,SY1000101.2026.12690,iPad1(1000101),101,01.06.26 20:31,Prod,A1000101.6239,Tisch 8,104,S1000101.12690,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000101.12691,SP1000101.21.12691,SY1000101.2026.12691,iPad1(1000101),101,01.06.26 20:31,Prod,A1000101.6239,Tisch 8,104,S1000101.12691,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000101.12692,SP1000101.21.12692,SY1000101.2026.12692,iPad1(1000101),101,01.06.26 15:58,Prod,A1000101.6240,Tisch 19,113,S1000101.12692,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000101.12693,SP1000101.21.12693,SY1000101.2026.12693,iPad1(1000101),101,01.06.26 09:23,Prod,A1000101.6241,Tisch 17,120,S1000101.12693,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000101.12694,SP1000101.21.12694,SY1000101.2026.12694,iPad1(1000101),101,01.06.26 09:23,Prod,A1000101.6241,Tisch 17,120,S1000101.12694,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000101.12695,SP1000101.21.12695,SY1000101.2026.12695,iPad1(1000101),101,01.06.26 19:13,Prod,A1000101.6242,Tisch 1,116,S1000101.12695,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000101.12696,SP1000101.21.12696,SY1000101.2026.12696,iPad1(1000101),101,01.06.26 19:13,Prod,A1000101.6242,Tisch 1,116,S1000101.12696,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000101.12697,SP1000101.21.12697,SY1000101.2026.12697,iPad1(1000101),101,01.06.26 09:56,Prod,A1000101.6243,Tisch 16,113,S1000101.12697,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000101.12698,SP1000101.21.12698,SY1000101.2026.12698,iPad1(1000101),101,01.06.26 09:56,Prod,A1000101.6243,Tisch 16,113,S1000101.12698,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000101.12699,SP1000101.21.12699,SY1000101.2026.12699,iPad1(1000101),101,01.06.26 09:56,Prod,A1000101.6243,Tisch 16,113,S1000101.12699,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000101.12700,SP1000101.21.12700,SY1000101.2026.12700,iPad1(1000101),101,01.06.26 09:06,Prod,A1000101.6244,Tisch 10,120,S1000101.12700,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000101.12701,SP1000101.21.12701,SY1000101.2026.12701,iPad1(1000101),101,01.06.26 19:41,Prod,A1000101.6245,,106,S1000101.12701,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000101.12702,SP1000101.21.12702,SY1000101.2026.12702,iPad1(1000101),101,01.06.26 19:41,Prod,A1000101.6245,,106,S1000101.12702,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000101.12703,SP1000101.21.12703,SY1000101.2026.12703,iPad1(1000101),101,01.06.26 13:10,Prod,A1000101.6246,Tisch 24,105,S1000101.12703,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000101.12704,SP1000101.21.12704,SY1000101.2026.12704,iPad1(1000101),101,01.06.26 14:05,Prod,A1000101.6247,Tisch 23,111,S1000101.12704,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000101.12705,SP1000101.21.12705,SY1000101.2026.12705,iPad1(1000101),101,01.06.26 11:05,Prod,A1000101.6248,Tisch 14,113,S1000101.12705,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000101.12706,SP1000101.21.12706,SY1000101.2026.12706,iPad1(1000101),101,01.06.26 18:19,Prod,A1000101.6249,Tisch 6,106,S1000101.12706,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000101.12707,SP1000101.21.12707,SY1000101.2026.12707,iPad1(1000101),101,01.06.26 12:28,Prod,A1000101.6250,Tisch 19,116,S1000101.12707,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000101.12708,SP1000101.21.12708,SY1000101.2026.12708,iPad1(1000101),101,01.06.26 12:28,Prod,A1000101.6250,Tisch 19,116,S1000101.12708,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000101.12709,SP1000101.21.12709,SY1000101.2026.12709,iPad1(1000101),101,01.06.26 20:53,Prod,A1000101.6251,,120,S1000101.12709,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000101.12710,SP1000101.21.12710,SY1000101.2026.12710,iPad1(1000101),101,01.06.26 19:35,Prod,A1000101.6252,Tisch 9,105,S1000101.12710,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000101.12711,SP1000101.21.12711,SY1000101.2026.12711,iPad1(1000101),101,01.06.26 19:35,Prod,A1000101.6252,Tisch 9,105,S1000101.12711,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000101.12712,SP1000101.21.12712,SY1000101.2026.12712,iPad1(1000101),101,01.06.26 19:35,Prod,A1000101.6252,Tisch 9,105,S1000101.12712,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000101.12713,SP1000101.21.12713,SY1000101.2026.12713,iPad1(1000101),101,01.06.26 13:34,Prod,A1000101.6253,Tisch 21,105,S1000101.12713,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000101.12714,SP1000101.21.12714,SY1000101.2026.12714,iPad1(1000101),101,01.06.26 13:34,Prod,A1000101.6253,Tisch 21,105,S1000101.12714,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000101.12715,SP1000101.21.12715,SY1000101.2026.12715,iPad1(1000101),101,01.06.26 13:34,Prod,A1000101.6253,Tisch 21,105,S1000101.12715,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000101.12716,SP1000101.21.12716,SY1000101.2026.12716,iPad1(1000101),101,01.06.26 16:14,Prod,A1000101.6254,Tisch 16,116,S1000101.12716,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000101.12717,SP1000101.21.12717,SY1000101.2026.12717,iPad1(1000101),101,01.06.26 16:14,Prod,A1000101.6254,Tisch 16,116,S1000101.12717,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000101.12718,SP1000101.21.12718,SY1000101.2026.12718,iPad1(1000101),101,01.06.26 16:14,Prod,A1000101.6254,Tisch 16,116,S1000101.12718,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000101.12719,SP1000101.21.12719,SY1000101.2026.12719,iPad1(1000101),101,01.06.26 17:45,Prod,A1000101.6255,Tisch 23,104,S1000101.12719,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000101.12720,SP1000101.21.12720,SY1000101.2026.12720,iPad1(1000101),101,01.06.26 17:45,Prod,A1000101.6255,Tisch 23,104,S1000101.12720,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000101.12721,SP1000101.21.12721,SY1000101.2026.12721,iPad1(1000101),101,01.06.26 15:30,Prod,A1000101.6256,Tisch 20,113,S1000101.12721,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000101.12722,SP1000101.21.12722,SY1000101.2026.12722,iPad1(1000101),101,01.06.26 15:30,Prod,A1000101.6256,Tisch 20,113,S1000101.12722,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000101.12723,SP1000101.21.12723,SY1000101.2026.12723,iPad1(1000101),101,01.06.26 15:30,Prod,A1000101.6256,Tisch 20,113,S1000101.12723,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000101.12724,SP1000101.21.12724,SY1000101.2026.12724,iPad1(1000101),101,01.06.26 10:57,Prod,A1000101.6257,Tisch 24,120,S1000101.12724,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000101.12725,SP1000101.21.12725,SY1000101.2026.12725,iPad1(1000101),101,01.06.26 10:57,Prod,A1000101.6257,Tisch 24,120,S1000101.12725,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000101.12726,SP1000101.21.12726,SY1000101.2026.12726,iPad1(1000101),101,01.06.26 10:57,Prod,A1000101.6257,Tisch 24,120,S1000101.12726,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000101.12727,SP1000101.21.12727,SY1000101.2026.12727,iPad1(1000101),101,01.06.26 20:41,Prod,A1000101.6258,Tisch 16,116,S1000101.12727,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000101.12728,SP1000101.21.12728,SY1000101.2026.12728,iPad1(1000101),101,01.06.26 20:41,Prod,A1000101.6258,Tisch 16,116,S1000101.12728,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000101.12729,SP1000101.21.12729,SY1000101.2026.12729,iPad1(1000101),101,01.06.26 20:41,Prod,A1000101.6258,Tisch 16,116,S1000101.12729,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000101.12730,SP1000101.21.12730,SY1000101.2026.12730,iPad1(1000101),101,01.06.26 15:20,Prod,A1000101.6259,Tisch 3,106,S1000101.12730,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000101.12731,SP1000101.21.12731,SY1000101.2026.12731,iPad1(1000101),101,01.06.26 15:20,Prod,A1000101.6259,Tisch 3,106,S1000101.12731,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000101.12732,SP1000101.21.12732,SY1000101.2026.12732,iPad1(1000101),101,01.06.26 15:20,Prod,A1000101.6259,Tisch 3,106,S1000101.12732,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000101.12733,SP1000101.21.12733,SY1000101.2026.12733,iPad1(1000101),101,01.06.26 19:52,Prod,A1000101.6260,Tisch 8,111,S1000101.12733,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000101.12734,SP1000101.21.12734,SY1000101.2026.12734,iPad1(1000101),101,01.06.26 19:52,Prod,A1000101.6260,Tisch 8,111,S1000101.12734,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000101.12735,SP1000101.21.12735,SY1000101.2026.12735,iPad1(1000101),101,01.06.26 19:52,Prod,A1000101.6260,Tisch 8,111,S1000101.12735,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000101.12736,SP1000101.21.12736,SY1000101.2026.12736,iPad1(1000101),101,01.06.26 19:30,Prod,A1000101.6261,Tisch 16,111,S1000101.12736,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
