Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000152.12137,SP1000152.46.12137,SY1000152.2026.12137,iPad1(1000152),152,01.06.26 19:06,Prod,A1000152.6045,Tisch 7,109,S1000152.12137,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000152.12138,SP1000152.46.12138,SY1000152.2026.12138,iPad1(1000152),152,01.06.26 19:06,Prod,A1000152.6045,Tisch 7,109,S1000152.12138,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000152.12139,SP1000152.46.12139,SY1000152.2026.12139,iPad1(1000152),152,01.06.26 17:01,Prod,A1000152.6046,Tisch 2,111,S1000152.12139,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000152.12140,SP1000152.46.12140,SY1000152.2026.12140,iPad1(1000152),152,01.06.26 17:01,Prod,A1000152.6046,Tisch 2,111,S1000152.12140,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000152.12141,SP1000152.46.12141,SY1000152.2026.12141,iPad1(1000152),152,01.06.26 17:01,Prod,A1000152.6046,Tisch 2,111,S1000152.12141,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000152.12142,SP1000152.46.12142,SY1000152.2026.12142,iPad1(1000152),152,01.06.26 18:51,Prod,A1000152.6047,Tisch 23,111,S1000152.12142,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000152.12143,SP1000152.46.12143,SY1000152.2026.12143,iPad1(1000152),152,01.06.26 18:51,Prod,A1000152.6047,Tisch 23,111,S1000152.12143,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000152.12144,SP1000152.46.12144,SY1000152.2026.12144,iPad1(1000152),152,01.06.26 18:51,Prod,A1000152.6047,Tisch 23,111,S1000152.12144,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000152.12145,SP1000152.46.12145,SY1000152.2026.12145,iPad1(1000152),152,01.06.26 16:31,Prod,A1000152.6048,Tisch 22,102,S1000152.12145,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000152.12146,SP1000152.46.12146,SY1000152.2026.12146,iPad1(1000152),152,01.06.26 16:31,Prod,A1000152.6048,Tisch 22,102,S1000152.12146,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000152.12147,SP1000152.46.12147,SY1000152.2026.12147,iPad1(1000152),152,01.06.26 18:20,Prod,A1000152.6049,Tisch 12,103,S1000152.12147,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000152.12148,SP1000152.46.12148,SY1000152.2026.12148,iPad1(1000152),152,01.06.26 20:28,Prod,A1000152.6050,Tisch 23,102,S1000152.12148,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
