Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000290.48071,SP1000290.25.48071,SY1000290.2026.48071,iPad1(1000290),290,01.06.26 18:34,Prod,A1000290.6305,Tisch 11,105,S1000290.48071,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000290.48072,SP1000290.25.48072,SY1000290.2026.48072,iPad1(1000290),290,01.06.26 12:44,Prod,A1000290.6306,Tisch 15,110,S1000290.48072,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000290.48073,SP1000290.25.48073,SY1000290.2026.48073,iPad1(1000290),290,01.06.26 12:44,Prod,A1000290.6306,Tisch 15,110,S1000290.48073,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000290.48074,SP1000290.25.48074,SY1000290.2026.48074,iPad1(1000290),290,01.06.26 17:32,Prod,A1000290.6307,Tisch 13,110,S1000290.48074,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000290.48075,SP1000290.25.48075,SY1000290.2026.48075,iPad1(1000290),290,01.06.26 17:32,Prod,A1000290.6307,Tisch 13,110,S1000290.48075,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000290.48076,SP1000290.25.48076,SY1000290.2026.48076,iPad1(1000290),290,01.06.26 12:31,Prod,A1000290.6308,Tisch 21,118,S1000290.48076,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000290.48077,SP1000290.25.48077,SY1000290.2026.48077,iPad1(1000290),290,01.06.26 20:56,Prod,A1000290.6309,Tisch 23,102,S1000290.48077,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000290.48078,SP1000290.25.48078,SY1000290.2026.48078,iPad1(1000290),290,01.06.26 20:56,Prod,A1000290.6309,Tisch 23,102,S1000290.48078,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000290.48079,SP1000290.25.48079,SY1000290.2026.48079,iPad1(1000290),290,01.06.26 20:56,Prod,A1000290.6309,Tisch 23,102,S1000290.48079,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000290.48080,SP1000290.25.48080,SY1000290.2026.48080,iPad1(1000290),290,01.06.26 12:39,Prod,A1000290.6310,Tisch 17,118,S1000290.48080,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000290.48081,SP1000290.25.48081,SY1000290.2026.48081,iPad1(1000290),290,01.06.26 12:39,Prod,A1000290.6310,Tisch 17,118,S1000290.48081,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000290.48082,SP1000290.25.48082,SY1000290.2026.48082,iPad1(1000290),290,01.06.26 20:00,Prod,A1000290.6311,Tisch 15,118,S1000290.48082,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000290.48083,SP1000290.25.48083,SY1000290.2026.48083,iPad1(1000290),290,01.06.26 11:04,Prod,A1000290.6312,Tisch 13,105,S1000290.48083,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000290.48084,SP1000290.25.48084,SY1000290.2026.48084,iPad1(1000290),290,01.06.26 17:56,Prod,A1000290.6313,Tisch 21,116,S1000290.48084,VOID,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000290.48085,SP1000290.25.48085,SY1000290.2026.48085,iPad1(1000290),290,01.06.26 17:56,Prod,A1000290.6313,Tisch 21,116,S1000290.48085,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000290.48086,SP1000290.25.48086,SY1000290.2026.48086,iPad1(1000290),290,01.06.26 17:56,Prod,A1000290.6313,Tisch 21,116,S1000290.48086,VOID,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000290.48087,SP1000290.25.48087,SY1000290.2026.48087,iPad1(1000290),290,01.06.26 19:10,Prod,A1000290.6314,Tisch 5,118,S1000290.48087,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000290.48088,SP1000290.25.48088,SY1000290.2026.48088,iPad1(1000290),290,01.06.26 19:10,Prod,A1000290.6314,Tisch 5,118,S1000290.48088,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000290.48089,SP1000290.25.48089,SY1000290.2026.48089,iPad1(1000290),290,01.06.26 19:55,Prod,A1000290.6315,Tisch 16,118,S1000290.48089,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000290.48090,SP1000290.25.48090,SY1000290.2026.48090,iPad1(1000290),290,01.06.26 19:55,Prod,A1000290.6315,Tisch 16,118,S1000290.48090,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000290.48091,SP1000290.25.48091,SY1000290.2026.48091,iPad1(1000290),290,01.06.26 19:42,Prod,A1000290.6316,Tisch 12,116,S1000290.48091,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000290.48092,SP1000290.25.48092,SY1000290.2026.48092,iPad1(1000290),290,01.06.26 19:42,Prod,A1000290.6316,Tisch 12,116,S1000290.48092,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000290.48093,SP1000290.25.48093,SY1000290.2026.48093,iPad1(1000290),290,01.06.26 19:42,Prod,A1000290.6316,Tisch 12,116,S1000290.48093,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
