Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000366.65325,SP1000366.12.65325,SY1000366.2026.65325,iPad1(1000366),366,01.06.26 17:38,Prod,A1000366.6860,Tisch 14,110,S1000366.65325,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000366.65326,SP1000366.12.65326,SY1000366.2026.65326,iPad1(1000366),366,01.06.26 17:38,Prod,A1000366.6860,Tisch 14,110,S1000366.65326,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000366.65327,SP1000366.12.65327,SY1000366.2026.65327,iPad1(1000366),366,01.06.26 17:38,Prod,A1000366.6860,Tisch 14,110,S1000366.65327,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000366.65328,SP1000366.12.65328,SY1000366.2026.65328,iPad1(1000366),366,01.06.26 16:21,Prod,A1000366.6861,Tisch 10,107,S1000366.65328,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000366.65329,SP1000366.12.65329,SY1000366.2026.65329,iPad1(1000366),366,01.06.26 16:21,Prod,A1000366.6861,Tisch 10,107,S1000366.65329,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000366.65330,SP1000366.12.65330,SY1000366.2026.65330,iPad1(1000366),366,01.06.26 16:21,Prod,A1000366.6861,Tisch 10,107,S1000366.65330,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000366.65331,SP1000366.12.65331,SY1000366.2026.65331,iPad1(1000366),366,01.06.26 17:17,Prod,A1000366.6862,Tisch 12,105,S1000366.65331,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000366.65332,SP1000366.12.65332,SY1000366.2026.65332,iPad1(1000366),366,01.06.26 17:17,Prod,A1000366.6862,Tisch 12,105,S1000366.65332,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000366.65333,SP1000366.12.65333,SY1000366.2026.65333,iPad1(1000366),366,01.06.26 17:17,Prod,A1000366.6862,Tisch 12,105,S1000366.65333,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000366.65334,SP1000366.12.65334,SY1000366.2026.65334,iPad1(1000366),366,01.06.26 12:10,Prod,A1000366.6863,Tisch 19,107,S1000366.65334,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000366.65335,SP1000366.12.65335,SY1000366.2026.65335,iPad1(1000366),366,01.06.26 12:10,Prod,A1000366.6863,Tisch 19,107,S1000366.65335,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000366.65336,SP1000366.12.65336,SY1000366.2026.65336,iPad1(1000366),366,01.06.26 11:00,Prod,A1000366.6864,Tisch 20,113,S1000366.65336,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000366.65337,SP1000366.12.65337,SY1000366.2026.65337,iPad1(1000366),366,01.06.26 11:00,Prod,A1000366.6864,Tisch 20,113,S1000366.65337,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000366.65338,SP1000366.12.65338,SY1000366.2026.65338,iPad1(1000366),366,01.06.26 20:03,Prod,A1000366.6865,Tisch 14,118,S1000366.65338,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000366.65339,SP1000366.12.65339,SY1000366.2026.65339,iPad1(1000366),366,01.06.26 20:03,Prod,A1000366.6865,Tisch 14,118,S1000366.65339,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000366.65340,SP1000366.12.65340,SY1000366.2026.65340,iPad1(1000366),366,01.06.26 12:11,Prod,A1000366.6866,Tisch 10,118,S1000366.65340,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000366.65341,SP1000366.12.65341,SY1000366.2026.65341,iPad1(1000366),366,01.06.26 12:11,Prod,A1000366.6866,Tisch 10,118,S1000366.65341,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000366.65342,SP1000366.12.65342,SY1000366.2026.65342,iPad1(1000366),366,01.06.26 12:11,Prod,A1000366.6866,Tisch 10,118,S1000366.65342,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000366.65343,SP1000366.12.65343,SY1000366.2026.65343,iPad1(1000366),366,01.06.26 20:05,Prod,A1000366.6867,Tisch 14,113,S1000366.65343,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000366.65344,SP1000366.12.65344,SY1000366.2026.65344,iPad1(1000366),366,01.06.26 18:04,Prod,A1000366.6868,Tisch 15,111,S1000366.65344,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
