Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000110.65502,SP1000110.4.65502,SY1000110.2026.65502,iPad1(1000110),110,01.06.26 20:49,Prod,A1000110.6942,Tisch 6,114,S1000110.65502,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000110.65503,SP1000110.4.65503,SY1000110.2026.65503,iPad1(1000110),110,01.06.26 20:49,Prod,A1000110.6942,Tisch 6,114,S1000110.65503,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000110.65504,SP1000110.4.65504,SY1000110.2026.65504,iPad1(1000110),110,01.06.26 19:43,Prod,A1000110.6943,Tisch 11,114,S1000110.65504,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000110.65505,SP1000110.4.65505,SY1000110.2026.65505,iPad1(1000110),110,01.06.26 19:43,Prod,A1000110.6943,Tisch 11,114,S1000110.65505,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000110.65506,SP1000110.4.65506,SY1000110.2026.65506,iPad1(1000110),110,01.06.26 19:43,Prod,A1000110.6943,Tisch 11,114,S1000110.65506,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000110.65507,SP1000110.4.65507,SY1000110.2026.65507,iPad1(1000110),110,01.06.26 08:31,Prod,A1000110.6944,Tisch 18,119,S1000110.65507,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000110.65508,SP1000110.4.65508,SY1000110.2026.65508,iPad1(1000110),110,01.06.26 08:31,Prod,A1000110.6944,Tisch 18,119,S1000110.65508,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000110.65509,SP1000110.4.65509,SY1000110.2026.65509,iPad1(1000110),110,01.06.26 17:39,Prod,A1000110.6945,Tisch 23,118,S1000110.65509,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000110.65510,SP1000110.4.65510,SY1000110.2026.65510,iPad1(1000110),110,01.06.26 17:39,Prod,A1000110.6945,Tisch 23,118,S1000110.65510,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000110.65511,SP1000110.4.65511,SY1000110.2026.65511,iPad1(1000110),110,01.06.26 16:53,Prod,A1000110.6946,Tisch 17,114,S1000110.65511,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000110.65512,SP1000110.4.65512,SY1000110.2026.65512,iPad1(1000110),110,01.06.26 16:53,Prod,A1000110.6946,Tisch 17,114,S1000110.65512,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000110.65513,SP1000110.4.65513,SY1000110.2026.65513,iPad1(1000110),110,01.06.26 16:53,Prod,A1000110.6946,Tisch 17,114,S1000110.65513,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000110.65514,SP1000110.4.65514,SY1000110.2026.65514,iPad1(1000110),110,01.06.26 13:44,Prod,A1000110.6947,Tisch 11,118,S1000110.65514,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000110.65515,SP1000110.4.65515,SY1000110.2026.65515,iPad1(1000110),110,01.06.26 13:40,Prod,A1000110.6948,Tisch 2,112,S1000110.65515,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000110.65516,SP1000110.4.65516,SY1000110.2026.65516,iPad1(1000110),110,01.06.26 10:57,Prod,A1000110.6949,Tisch 16,120,S1000110.65516,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
