Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000188.70734,SP1000188.11.70734,SY1000188.2026.70734,iPad1(1000188),188,01.06.26 18:49,Prod,A1000188.6306,Tisch 15,115,S1000188.70734,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000188.70735,SP1000188.11.70735,SY1000188.2026.70735,iPad1(1000188),188,01.06.26 17:29,Prod,A1000188.6307,Tisch 14,107,S1000188.70735,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000188.70736,SP1000188.11.70736,SY1000188.2026.70736,iPad1(1000188),188,01.06.26 17:29,Prod,A1000188.6307,Tisch 14,107,S1000188.70736,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000188.70737,SP1000188.11.70737,SY1000188.2026.70737,iPad1(1000188),188,01.06.26 09:51,Prod,A1000188.6308,Tisch 6,105,S1000188.70737,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000188.70738,SP1000188.11.70738,SY1000188.2026.70738,iPad1(1000188),188,01.06.26 09:51,Prod,A1000188.6308,Tisch 6,105,S1000188.70738,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000188.70739,SP1000188.11.70739,SY1000188.2026.70739,iPad1(1000188),188,01.06.26 09:51,Prod,A1000188.6308,Tisch 6,105,S1000188.70739,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000188.70740,SP1000188.11.70740,SY1000188.2026.70740,iPad1(1000188),188,01.06.26 17:12,Prod,A1000188.6309,,120,S1000188.70740,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000188.70741,SP1000188.11.70741,SY1000188.2026.70741,iPad1(1000188),188,01.06.26 17:12,Prod,A1000188.6309,,120,S1000188.70741,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000188.70742,SP1000188.11.70742,SY1000188.2026.70742,iPad1(1000188),188,01.06.26 17:12,Prod,A1000188.6309,,120,S1000188.70742,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000188.70743,SP1000188.11.70743,SY1000188.2026.70743,iPad1(1000188),188,01.06.26 08:46,Prod,A1000188.6310,Tisch 8,101,S1000188.70743,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000188.70744,SP1000188.11.70744,SY1000188.2026.70744,iPad1(1000188),188,01.06.26 08:46,Prod,A1000188.6310,Tisch 8,101,S1000188.70744,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000188.70745,SP1000188.11.70745,SY1000188.2026.70745,iPad1(1000188),188,01.06.26 18:16,Prod,A1000188.6311,Tisch 2,118,S1000188.70745,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000188.70746,SP1000188.11.70746,SY1000188.2026.70746,iPad1(1000188),188,01.06.26 18:16,Prod,A1000188.6311,Tisch 2,118,S1000188.70746,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000188.70747,SP1000188.11.70747,SY1000188.2026.70747,iPad1(1000188),188,01.06.26 13:51,Prod,A1000188.6312,Tisch 6,111,S1000188.70747,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000188.70748,SP1000188.11.70748,SY1000188.2026.70748,iPad1(1000188),188,01.06.26 17:30,Prod,A1000188.6313,Tisch 11,111,S1000188.70748,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000188.70749,SP1000188.11.70749,SY1000188.2026.70749,iPad1(1000188),188,01.06.26 17:30,Prod,A1000188.6313,Tisch 11,111,S1000188.70749,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000188.70750,SP1000188.11.70750,SY1000188.2026.70750,iPad1(1000188),188,01.06.26 18:14,Prod,A1000188.6314,Tisch 9,111,S1000188.70750,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000188.70751,SP1000188.11.70751,SY1000188.2026.70751,iPad1(1000188),188,01.06.26 12:54,Prod,A1000188.6315,Tisch 13,115,S1000188.70751,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000188.70752,SP1000188.11.70752,SY1000188.2026.70752,iPad1(1000188),188,01.06.26 12:55,Prod,A1000188.6316,Tisch 14,105,S1000188.70752,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
