Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000341.81875,SP1000341.22.81875,SY1000341.2026.81875,iPad1(1000341),341,01.06.26 17:18,Prod,A1000341.6326,Tisch 19,119,S1000341.81875,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000341.81876,SP1000341.22.81876,SY1000341.2026.81876,iPad1(1000341),341,01.06.26 17:18,Prod,A1000341.6326,Tisch 19,119,S1000341.81876,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000341.81877,SP1000341.22.81877,SY1000341.2026.81877,iPad1(1000341),341,01.06.26 17:18,Prod,A1000341.6326,Tisch 19,119,S1000341.81877,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000341.81878,SP1000341.22.81878,SY1000341.2026.81878,iPad1(1000341),341,01.06.26 12:42,Prod,A1000341.6327,Tisch 11,119,S1000341.81878,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000341.81879,SP1000341.22.81879,SY1000341.2026.81879,iPad1(1000341),341,01.06.26 19:43,Prod,A1000341.6328,Tisch 18,104,S1000341.81879,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000341.81880,SP1000341.22.81880,SY1000341.2026.81880,iPad1(1000341),341,01.06.26 14:44,Prod,A1000341.6329,Tisch 21,119,S1000341.81880,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000341.81881,SP1000341.22.81881,SY1000341.2026.81881,iPad1(1000341),341,01.06.26 14:44,Prod,A1000341.6329,Tisch 21,119,S1000341.81881,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000341.81882,SP1000341.22.81882,SY1000341.2026.81882,iPad1(1000341),341,01.06.26 10:11,Prod,A1000341.6330,Tisch 14,120,S1000341.81882,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000341.81883,SP1000341.22.81883,SY1000341.2026.81883,iPad1(1000341),341,01.06.26 10:11,Prod,A1000341.6330,Tisch 14,120,S1000341.81883,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000341.81884,SP1000341.22.81884,SY1000341.2026.81884,iPad1(1000341),341,01.06.26 12:56,Prod,A1000341.6331,Tisch 9,106,S1000341.81884,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000341.81885,SP1000341.22.81885,SY1000341.2026.81885,iPad1(1000341),341,01.06.26 12:56,Prod,A1000341.6331,Tisch 9,106,S1000341.81885,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000341.81886,SP1000341.22.81886,SY1000341.2026.81886,iPad1(1000341),341,01.06.26 16:23,Prod,A1000341.6332,Tisch 22,104,S1000341.81886,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000341.81887,SP1000341.22.81887,SY1000341.2026.81887,iPad1(1000341),341,01.06.26 16:23,Prod,A1000341.6332,Tisch 22,104,S1000341.81887,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000341.81888,SP1000341.22.81888,SY1000341.2026.81888,iPad1(1000341),341,01.06.26 16:23,Prod,A1000341.6332,Tisch 22,104,S1000341.81888,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000341.81889,SP1000341.22.81889,SY1000341.2026.81889,iPad1(1000341),341,01.06.26 12:53,Prod,A1000341.6333,Tisch 5,120,S1000341.81889,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000341.81890,SP1000341.22.81890,SY1000341.2026.81890,iPad1(1000341),341,01.06.26 12:51,Prod,A1000341.6334,Tisch 9,106,S1000341.81890,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
