Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000314.19034,SP1000314.32.19034,SY1000314.2026.19034,iPad1(1000314),314,01.06.26 17:52,Prod,A1000314.6715,Tisch 7,119,S1000314.19034,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000314.19035,SP1000314.32.19035,SY1000314.2026.19035,iPad1(1000314),314,01.06.26 17:52,Prod,A1000314.6715,Tisch 7,119,S1000314.19035,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000314.19036,SP1000314.32.19036,SY1000314.2026.19036,iPad1(1000314),314,01.06.26 10:53,Prod,A1000314.6716,Tisch 6,116,S1000314.19036,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000314.19037,SP1000314.32.19037,SY1000314.2026.19037,iPad1(1000314),314,01.06.26 19:04,Prod,A1000314.6717,Tisch 13,119,S1000314.19037,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000314.19038,SP1000314.32.19038,SY1000314.2026.19038,iPad1(1000314),314,01.06.26 16:00,Prod,A1000314.6718,Tisch 19,101,S1000314.19038,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000314.19039,SP1000314.32.19039,SY1000314.2026.19039,iPad1(1000314),314,01.06.26 16:00,Prod,A1000314.6718,Tisch 19,101,S1000314.19039,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000314.19040,SP1000314.32.19040,SY1000314.2026.19040,iPad1(1000314),314,01.06.26 16:00,Prod,A1000314.6718,Tisch 19,101,S1000314.19040,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000314.19041,SP1000314.32.19041,SY1000314.2026.19041,iPad1(1000314),314,01.06.26 12:10,Prod,A1000314.6719,Tisch 21,118,S1000314.19041,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000314.19042,SP1000314.32.19042,SY1000314.2026.19042,iPad1(1000314),314,01.06.26 12:10,Prod,A1000314.6719,Tisch 21,118,S1000314.19042,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000314.19043,SP1000314.32.19043,SY1000314.2026.19043,iPad1(1000314),314,01.06.26 19:23,Prod,A1000314.6720,Tisch 21,119,S1000314.19043,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000314.19044,SP1000314.32.19044,SY1000314.2026.19044,iPad1(1000314),314,01.06.26 19:23,Prod,A1000314.6720,Tisch 21,119,S1000314.19044,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000314.19045,SP1000314.32.19045,SY1000314.2026.19045,iPad1(1000314),314,01.06.26 19:23,Prod,A1000314.6720,Tisch 21,119,S1000314.19045,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000314.19046,SP1000314.32.19046,SY1000314.2026.19046,iPad1(1000314),314,01.06.26 15:26,Prod,A1000314.6721,Tisch 13,104,S1000314.19046,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000314.19047,SP1000314.32.19047,SY1000314.2026.19047,iPad1(1000314),314,01.06.26 13:50,Prod,A1000314.6722,Tisch 5,116,S1000314.19047,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000314.19048,SP1000314.32.19048,SY1000314.2026.19048,iPad1(1000314),314,01.06.26 13:50,Prod,A1000314.6722,Tisch 5,116,S1000314.19048,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000314.19049,SP1000314.32.19049,SY1000314.2026.19049,iPad1(1000314),314,01.06.26 13:50,Prod,A1000314.6722,Tisch 5,116,S1000314.19049,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000314.19050,SP1000314.32.19050,SY1000314.2026.19050,iPad1(1000314),314,01.06.26 16:53,Prod,A1000314.6723,Tisch 14,101,S1000314.19050,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000314.19051,SP1000314.32.19051,SY1000314.2026.19051,iPad1(1000314),314,01.06.26 16:53,Prod,A1000314.6723,Tisch 14,101,S1000314.19051,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000314.19052,SP1000314.32.19052,SY1000314.2026.19052,iPad1(1000314),314,01.06.26 16:53,Prod,A1000314.6723,Tisch 14,101,S1000314.19052,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000314.19053,SP1000314.32.19053,SY1000314.2026.19053,iPad1(1000314),314,01.06.26 13:11,Prod,A1000314.6724,Tisch 21,118,S1000314.19053,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000314.19054,SP1000314.32.19054,SY1000314.2026.19054,iPad1(1000314),314,01.06.26 13:11,Prod,A1000314.6724,Tisch 21,118,S1000314.19054,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000314.19055,SP1000314.32.19055,SY1000314.2026.19055,iPad1(1000314),314,01.06.26 10:13,Prod,A1000314.6725,Tisch 20,103,S1000314.19055,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000314.19056,SP1000314.32.19056,SY1000314.2026.19056,iPad1(1000314),314,01.06.26 10:13,Prod,A1000314.6725,Tisch 20,103,S1000314.19056,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000314.19057,SP1000314.32.19057,SY1000314.2026.19057,iPad1(1000314),314,01.06.26 13:15,Prod,A1000314.6726,Tisch 5,101,S1000314.19057,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
