Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000084.57880,SP1000084.36.57880,SY1000084.2026.57880,iPad1(1000084),84,01.06.26 13:15,Prod,A1000084.6079,,112,S1000084.57880,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000084.57881,SP1000084.36.57881,SY1000084.2026.57881,iPad1(1000084),84,01.06.26 13:15,Prod,A1000084.6079,,112,S1000084.57881,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000084.57882,SP1000084.36.57882,SY1000084.2026.57882,iPad1(1000084),84,01.06.26 13:15,Prod,A1000084.6079,,112,S1000084.57882,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000084.57883,SP1000084.36.57883,SY1000084.2026.57883,iPad1(1000084),84,01.06.26 13:05,Prod,A1000084.6080,Tisch 22,104,S1000084.57883,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000084.57884,SP1000084.36.57884,SY1000084.2026.57884,iPad1(1000084),84,01.06.26 17:39,Prod,A1000084.6081,Tisch 18,108,S1000084.57884,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000084.57885,SP1000084.36.57885,SY1000084.2026.57885,iPad1(1000084),84,01.06.26 18:42,Prod,A1000084.6082,Tisch 7,107,S1000084.57885,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000084.57886,SP1000084.36.57886,SY1000084.2026.57886,iPad1(1000084),84,01.06.26 18:42,Prod,A1000084.6082,Tisch 7,107,S1000084.57886,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000084.57887,SP1000084.36.57887,SY1000084.2026.57887,iPad1(1000084),84,01.06.26 16:31,Prod,A1000084.6083,,104,S1000084.57887,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000084.57888,SP1000084.36.57888,SY1000084.2026.57888,iPad1(1000084),84,01.06.26 17:17,Prod,A1000084.6084,Tisch 8,102,S1000084.57888,VOID,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000084.57889,SP1000084.36.57889,SY1000084.2026.57889,iPad1(1000084),84,01.06.26 16:11,Prod,A1000084.6085,Tisch 2,108,S1000084.57889,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000084.57890,SP1000084.36.57890,SY1000084.2026.57890,iPad1(1000084),84,01.06.26 17:30,Prod,A1000084.6086,Tisch 12,102,S1000084.57890,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000084.57891,SP1000084.36.57891,SY1000084.2026.57891,iPad1(1000084),84,01.06.26 20:50,Prod,A1000084.6087,Tisch 5,112,S1000084.57891,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000084.57892,SP1000084.36.57892,SY1000084.2026.57892,iPad1(1000084),84,01.06.26 20:50,Prod,A1000084.6087,Tisch 5,112,S1000084.57892,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000084.57893,SP1000084.36.57893,SY1000084.2026.57893,iPad1(1000084),84,01.06.26 20:50,Prod,A1000084.6087,Tisch 5,112,S1000084.57893,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000084.57894,SP1000084.36.57894,SY1000084.2026.57894,iPad1(1000084),84,01.06.26 15:38,Prod,A1000084.6088,,104,S1000084.57894,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000084.57895,SP1000084.36.57895,SY1000084.2026.57895,iPad1(1000084),84,01.06.26 18:20,Prod,A1000084.6089,,104,S1000084.57895,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000084.57896,SP1000084.36.57896,SY1000084.2026.57896,iPad1(1000084),84,01.06.26 19:20,Prod,A1000084.6090,Tisch 7,104,S1000084.57896,VOID,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000084.57897,SP1000084.36.57897,SY1000084.2026.57897,iPad1(1000084),84,01.06.26 19:20,Prod,A1000084.6090,Tisch 7,104,S1000084.57897,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
