Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000355.29537,SP1000355.14.29537,SY1000355.2026.29537,iPad1(1000355),355,01.06.26 11:16,Prod,A1000355.6059,Tisch 18,116,S1000355.29537,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000355.29538,SP1000355.14.29538,SY1000355.2026.29538,iPad1(1000355),355,01.06.26 18:13,Prod,A1000355.6060,Tisch 6,117,S1000355.29538,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000355.29539,SP1000355.14.29539,SY1000355.2026.29539,iPad1(1000355),355,01.06.26 18:13,Prod,A1000355.6060,Tisch 6,117,S1000355.29539,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000355.29540,SP1000355.14.29540,SY1000355.2026.29540,iPad1(1000355),355,01.06.26 17:38,Prod,A1000355.6061,Tisch 6,106,S1000355.29540,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000355.29541,SP1000355.14.29541,SY1000355.2026.29541,iPad1(1000355),355,01.06.26 19:22,Prod,A1000355.6062,Tisch 24,118,S1000355.29541,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000355.29542,SP1000355.14.29542,SY1000355.2026.29542,iPad1(1000355),355,01.06.26 19:13,Prod,A1000355.6063,Tisch 19,107,S1000355.29542,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000355.29543,SP1000355.14.29543,SY1000355.2026.29543,iPad1(1000355),355,01.06.26 13:39,Prod,A1000355.6064,Tisch 11,120,S1000355.29543,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000355.29544,SP1000355.14.29544,SY1000355.2026.29544,iPad1(1000355),355,01.06.26 13:39,Prod,A1000355.6064,Tisch 11,120,S1000355.29544,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000355.29545,SP1000355.14.29545,SY1000355.2026.29545,iPad1(1000355),355,01.06.26 13:39,Prod,A1000355.6064,Tisch 11,120,S1000355.29545,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000355.29546,SP1000355.14.29546,SY1000355.2026.29546,iPad1(1000355),355,01.06.26 20:13,Prod,A1000355.6065,Tisch 16,116,S1000355.29546,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000355.29547,SP1000355.14.29547,SY1000355.2026.29547,iPad1(1000355),355,01.06.26 20:13,Prod,A1000355.6065,Tisch 16,116,S1000355.29547,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000355.29548,SP1000355.14.29548,SY1000355.2026.29548,iPad1(1000355),355,01.06.26 19:23,Prod,A1000355.6066,Tisch 19,116,S1000355.29548,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000355.29549,SP1000355.14.29549,SY1000355.2026.29549,iPad1(1000355),355,01.06.26 13:22,Prod,A1000355.6067,Tisch 1,107,S1000355.29549,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000355.29550,SP1000355.14.29550,SY1000355.2026.29550,iPad1(1000355),355,01.06.26 13:22,Prod,A1000355.6067,Tisch 1,107,S1000355.29550,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000355.29551,SP1000355.14.29551,SY1000355.2026.29551,iPad1(1000355),355,01.06.26 14:51,Prod,A1000355.6068,Tisch 11,116,S1000355.29551,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000355.29552,SP1000355.14.29552,SY1000355.2026.29552,iPad1(1000355),355,01.06.26 14:51,Prod,A1000355.6068,Tisch 11,116,S1000355.29552,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
