Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000280.88618,SP1000280.7.88618,SY1000280.2026.88618,iPad1(1000280),280,01.06.26 20:34,Prod,A1000280.6299,Tisch 1,102,S1000280.88618,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000280.88619,SP1000280.7.88619,SY1000280.2026.88619,iPad1(1000280),280,01.06.26 16:56,Prod,A1000280.6300,Tisch 3,110,S1000280.88619,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000280.88620,SP1000280.7.88620,SY1000280.2026.88620,iPad1(1000280),280,01.06.26 16:56,Prod,A1000280.6300,Tisch 3,110,S1000280.88620,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000280.88621,SP1000280.7.88621,SY1000280.2026.88621,iPad1(1000280),280,01.06.26 19:04,Prod,A1000280.6301,Tisch 11,116,S1000280.88621,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000280.88622,SP1000280.7.88622,SY1000280.2026.88622,iPad1(1000280),280,01.06.26 19:04,Prod,A1000280.6301,Tisch 11,116,S1000280.88622,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000280.88623,SP1000280.7.88623,SY1000280.2026.88623,iPad1(1000280),280,01.06.26 11:37,Prod,A1000280.6302,Tisch 3,110,S1000280.88623,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000280.88624,SP1000280.7.88624,SY1000280.2026.88624,iPad1(1000280),280,01.06.26 11:37,Prod,A1000280.6302,Tisch 3,110,S1000280.88624,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000280.88625,SP1000280.7.88625,SY1000280.2026.88625,iPad1(1000280),280,01.06.26 13:38,Prod,A1000280.6303,Tisch 8,116,S1000280.88625,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000280.88626,SP1000280.7.88626,SY1000280.2026.88626,iPad1(1000280),280,01.06.26 17:54,Prod,A1000280.6304,Tisch 14,112,S1000280.88626,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000280.88627,SP1000280.7.88627,SY1000280.2026.88627,iPad1(1000280),280,01.06.26 17:54,Prod,A1000280.6304,Tisch 14,112,S1000280.88627,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
