Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000242.54565,SP1000242.15.54565,SY1000242.2026.54565,iPad1(1000242),242,01.06.26 13:40,Prod,A1000242.6298,Tisch 14,119,S1000242.54565,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000242.54566,SP1000242.15.54566,SY1000242.2026.54566,iPad1(1000242),242,01.06.26 17:37,Prod,A1000242.6299,Tisch 2,101,S1000242.54566,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000242.54567,SP1000242.15.54567,SY1000242.2026.54567,iPad1(1000242),242,01.06.26 11:42,Prod,A1000242.6300,Tisch 21,104,S1000242.54567,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000242.54568,SP1000242.15.54568,SY1000242.2026.54568,iPad1(1000242),242,01.06.26 20:02,Prod,A1000242.6301,Tisch 1,119,S1000242.54568,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000242.54569,SP1000242.15.54569,SY1000242.2026.54569,iPad1(1000242),242,01.06.26 15:55,Prod,A1000242.6302,Tisch 8,104,S1000242.54569,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000242.54570,SP1000242.15.54570,SY1000242.2026.54570,iPad1(1000242),242,01.06.26 15:55,Prod,A1000242.6302,Tisch 8,104,S1000242.54570,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000242.54571,SP1000242.15.54571,SY1000242.2026.54571,iPad1(1000242),242,01.06.26 15:55,Prod,A1000242.6302,Tisch 8,104,S1000242.54571,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000242.54572,SP1000242.15.54572,SY1000242.2026.54572,iPad1(1000242),242,01.06.26 12:13,Prod,A1000242.6303,,115,S1000242.54572,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000242.54573,SP1000242.15.54573,SY1000242.2026.54573,iPad1(1000242),242,01.06.26 12:13,Prod,A1000242.6303,,115,S1000242.54573,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000242.54574,SP1000242.15.54574,SY1000242.2026.54574,iPad1(1000242),242,01.06.26 16:58,Prod,A1000242.6304,Tisch 4,101,S1000242.54574,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000242.54575,SP1000242.15.54575,SY1000242.2026.54575,iPad1(1000242),242,01.06.26 17:37,Prod,A1000242.6305,Tisch 8,114,S1000242.54575,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000242.54576,SP1000242.15.54576,SY1000242.2026.54576,iPad1(1000242),242,01.06.26 17:37,Prod,A1000242.6305,Tisch 8,114,S1000242.54576,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000242.54577,SP1000242.15.54577,SY1000242.2026.54577,iPad1(1000242),242,01.06.26 19:53,Prod,A1000242.6306,Tisch 22,101,S1000242.54577,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000242.54578,SP1000242.15.54578,SY1000242.2026.54578,iPad1(1000242),242,01.06.26 19:53,Prod,A1000242.6306,Tisch 22,101,S1000242.54578,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000242.54579,SP1000242.15.54579,SY1000242.2026.54579,iPad1(1000242),242,01.06.26 19:53,Prod,A1000242.6306,Tisch 22,101,S1000242.54579,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000242.54580,SP1000242.15.54580,SY1000242.2026.54580,iPad1(1000242),242,01.06.26 17:17,Prod,A1000242.6307,Tisch 10,102,S1000242.54580,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000242.54581,SP1000242.15.54581,SY1000242.2026.54581,iPad1(1000242),242,01.06.26 17:17,Prod,A1000242.6307,Tisch 10,102,S1000242.54581,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
