Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000062.68421,SP1000062.48.68421,SY1000062.2026.68421,iPad1(1000062),62,01.06.26 08:46,Prod,A1000062.6423,Tisch 16,104,S1000062.68421,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000062.68422,SP1000062.48.68422,SY1000062.2026.68422,iPad1(1000062),62,01.06.26 08:46,Prod,A1000062.6423,Tisch 16,104,S1000062.68422,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000062.68423,SP1000062.48.68423,SY1000062.2026.68423,iPad1(1000062),62,01.06.26 19:57,Prod,A1000062.6424,Tisch 4,104,S1000062.68423,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000062.68424,SP1000062.48.68424,SY1000062.2026.68424,iPad1(1000062),62,01.06.26 19:57,Prod,A1000062.6424,Tisch 4,104,S1000062.68424,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000062.68425,SP1000062.48.68425,SY1000062.2026.68425,iPad1(1000062),62,01.06.26 19:57,Prod,A1000062.6424,Tisch 4,104,S1000062.68425,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000062.68426,SP1000062.48.68426,SY1000062.2026.68426,iPad1(1000062),62,01.06.26 10:14,Prod,A1000062.6425,Tisch 5,102,S1000062.68426,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000062.68427,SP1000062.48.68427,SY1000062.2026.68427,iPad1(1000062),62,01.06.26 10:14,Prod,A1000062.6425,Tisch 5,102,S1000062.68427,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000062.68428,SP1000062.48.68428,SY1000062.2026.68428,iPad1(1000062),62,01.06.26 17:39,Prod,A1000062.6426,Tisch 18,104,S1000062.68428,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000062.68429,SP1000062.48.68429,SY1000062.2026.68429,iPad1(1000062),62,01.06.26 17:39,Prod,A1000062.6426,Tisch 18,104,S1000062.68429,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000062.68430,SP1000062.48.68430,SY1000062.2026.68430,iPad1(1000062),62,01.06.26 17:39,Prod,A1000062.6426,Tisch 18,104,S1000062.68430,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000062.68431,SP1000062.48.68431,SY1000062.2026.68431,iPad1(1000062),62,01.06.26 12:14,Prod,A1000062.6427,,104,S1000062.68431,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000062.68432,SP1000062.48.68432,SY1000062.2026.68432,iPad1(1000062),62,01.06.26 08:15,Prod,A1000062.6428,Tisch 3,105,S1000062.68432,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000062.68433,SP1000062.48.68433,SY1000062.2026.68433,iPad1(1000062),62,01.06.26 18:19,Prod,A1000062.6429,Tisch 2,116,S1000062.68433,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000062.68434,SP1000062.48.68434,SY1000062.2026.68434,iPad1(1000062),62,01.06.26 11:24,Prod,A1000062.6430,Tisch 17,102,S1000062.68434,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000062.68435,SP1000062.48.68435,SY1000062.2026.68435,iPad1(1000062),62,01.06.26 11:24,Prod,A1000062.6430,Tisch 17,102,S1000062.68435,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000062.68436,SP1000062.48.68436,SY1000062.2026.68436,iPad1(1000062),62,01.06.26 11:41,Prod,A1000062.6431,Tisch 7,104,S1000062.68436,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000062.68437,SP1000062.48.68437,SY1000062.2026.68437,iPad1(1000062),62,01.06.26 11:41,Prod,A1000062.6431,Tisch 7,104,S1000062.68437,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000062.68438,SP1000062.48.68438,SY1000062.2026.68438,iPad1(1000062),62,01.06.26 11:41,Prod,A1000062.6431,Tisch 7,104,S1000062.68438,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000062.68439,SP1000062.48.68439,SY1000062.2026.68439,iPad1(1000062),62,01.06.26 11:41,Prod,A1000062.6432,,106,S1000062.68439,VOID,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000062.68440,SP1000062.48.68440,SY1000062.2026.68440,iPad1(1000062),62,01.06.26 11:24,Prod,A1000062.6433,Tisch 16,105,S1000062.68440,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000062.68441,SP1000062.48.68441,SY1000062.2026.68441,iPad1(1000062),62,01.06.26 11:24,Prod,A1000062.6433,Tisch 16,105,S1000062.68441,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000062.68442,SP1000062.48.68442,SY1000062.2026.68442,iPad1(1000062),62,01.06.26 13:48,Prod,A1000062.6434,Tisch 4,102,S1000062.68442,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000062.68443,SP1000062.48.68443,SY1000062.2026.68443,iPad1(1000062),62,01.06.26 13:48,Prod,A1000062.6434,Tisch 4,102,S1000062.68443,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000062.68444,SP1000062.48.68444,SY1000062.2026.68444,iPad1(1000062),62,01.06.26 19:31,Prod,A1000062.6435,Tisch 24,116,S1000062.68444,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000062.68445,SP1000062.48.68445,SY1000062.2026.68445,iPad1(1000062),62,01.06.26 19:31,Prod,A1000062.6435,Tisch 24,116,S1000062.68445,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000062.68446,SP1000062.48.68446,SY1000062.2026.68446,iPad1(1000062),62,01.06.26 19:31,Prod,A1000062.6435,Tisch 24,116,S1000062.68446,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000062.68447,SP1000062.48.68447,SY1000062.2026.68447,iPad1(1000062),62,01.06.26 11:25,Prod,A1000062.6436,Tisch 20,106,S1000062.68447,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
