Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000237.26265,SP1000237.34.26265,SY1000237.2026.26265,iPad1(1000237),237,01.06.26 10:18,Prod,A1000237.6061,Tisch 21,110,S1000237.26265,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000237.26266,SP1000237.34.26266,SY1000237.2026.26266,iPad1(1000237),237,01.06.26 10:16,Prod,A1000237.6062,,118,S1000237.26266,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000237.26267,SP1000237.34.26267,SY1000237.2026.26267,iPad1(1000237),237,01.06.26 10:16,Prod,A1000237.6062,,118,S1000237.26267,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000237.26268,SP1000237.34.26268,SY1000237.2026.26268,iPad1(1000237),237,01.06.26 20:28,Prod,A1000237.6063,Tisch 7,113,S1000237.26268,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000237.26269,SP1000237.34.26269,SY1000237.2026.26269,iPad1(1000237),237,01.06.26 13:03,Prod,A1000237.6064,Tisch 8,109,S1000237.26269,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000237.26270,SP1000237.34.26270,SY1000237.2026.26270,iPad1(1000237),237,01.06.26 13:03,Prod,A1000237.6064,Tisch 8,109,S1000237.26270,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000237.26271,SP1000237.34.26271,SY1000237.2026.26271,iPad1(1000237),237,01.06.26 20:11,Prod,A1000237.6065,Tisch 7,104,S1000237.26271,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000237.26272,SP1000237.34.26272,SY1000237.2026.26272,iPad1(1000237),237,01.06.26 20:11,Prod,A1000237.6065,Tisch 7,104,S1000237.26272,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000237.26273,SP1000237.34.26273,SY1000237.2026.26273,iPad1(1000237),237,01.06.26 11:11,Prod,A1000237.6066,Tisch 8,110,S1000237.26273,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000237.26274,SP1000237.34.26274,SY1000237.2026.26274,iPad1(1000237),237,01.06.26 12:10,Prod,A1000237.6067,,103,S1000237.26274,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000237.26275,SP1000237.34.26275,SY1000237.2026.26275,iPad1(1000237),237,01.06.26 13:18,Prod,A1000237.6068,Tisch 22,110,S1000237.26275,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000237.26276,SP1000237.34.26276,SY1000237.2026.26276,iPad1(1000237),237,01.06.26 13:18,Prod,A1000237.6068,Tisch 22,110,S1000237.26276,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000237.26277,SP1000237.34.26277,SY1000237.2026.26277,iPad1(1000237),237,01.06.26 15:50,Prod,A1000237.6069,Tisch 2,110,S1000237.26277,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000237.26278,SP1000237.34.26278,SY1000237.2026.26278,iPad1(1000237),237,01.06.26 12:32,Prod,A1000237.6070,Tisch 20,103,S1000237.26278,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
