Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000264.39065,SP1000264.4.39065,SY1000264.2026.39065,iPad1(1000264),264,01.06.26 16:32,Prod,A1000264.6492,Tisch 14,113,S1000264.39065,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000264.39066,SP1000264.4.39066,SY1000264.2026.39066,iPad1(1000264),264,01.06.26 16:32,Prod,A1000264.6492,Tisch 14,113,S1000264.39066,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000264.39067,SP1000264.4.39067,SY1000264.2026.39067,iPad1(1000264),264,01.06.26 20:56,Prod,A1000264.6493,Tisch 24,119,S1000264.39067,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000264.39068,SP1000264.4.39068,SY1000264.2026.39068,iPad1(1000264),264,01.06.26 20:56,Prod,A1000264.6493,Tisch 24,119,S1000264.39068,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000264.39069,SP1000264.4.39069,SY1000264.2026.39069,iPad1(1000264),264,01.06.26 20:56,Prod,A1000264.6493,Tisch 24,119,S1000264.39069,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000264.39070,SP1000264.4.39070,SY1000264.2026.39070,iPad1(1000264),264,01.06.26 19:46,Prod,A1000264.6494,,104,S1000264.39070,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000264.39071,SP1000264.4.39071,SY1000264.2026.39071,iPad1(1000264),264,01.06.26 19:46,Prod,A1000264.6494,,104,S1000264.39071,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000264.39072,SP1000264.4.39072,SY1000264.2026.39072,iPad1(1000264),264,01.06.26 12:40,Prod,A1000264.6495,Tisch 9,113,S1000264.39072,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000264.39073,SP1000264.4.39073,SY1000264.2026.39073,iPad1(1000264),264,01.06.26 12:17,Prod,A1000264.6496,Tisch 24,114,S1000264.39073,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000264.39074,SP1000264.4.39074,SY1000264.2026.39074,iPad1(1000264),264,01.06.26 12:17,Prod,A1000264.6496,Tisch 24,114,S1000264.39074,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
