Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000359.74491,SP1000359.13.74491,SY1000359.2026.74491,iPad1(1000359),359,01.06.26 18:18,Prod,A1000359.6101,Tisch 9,107,S1000359.74491,VOID,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000359.74492,SP1000359.13.74492,SY1000359.2026.74492,iPad1(1000359),359,01.06.26 18:18,Prod,A1000359.6101,Tisch 9,107,S1000359.74492,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000359.74493,SP1000359.13.74493,SY1000359.2026.74493,iPad1(1000359),359,01.06.26 18:18,Prod,A1000359.6101,Tisch 9,107,S1000359.74493,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000359.74494,SP1000359.13.74494,SY1000359.2026.74494,iPad1(1000359),359,01.06.26 10:30,Prod,A1000359.6102,Tisch 10,112,S1000359.74494,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000359.74495,SP1000359.13.74495,SY1000359.2026.74495,iPad1(1000359),359,01.06.26 10:30,Prod,A1000359.6102,Tisch 10,112,S1000359.74495,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000359.74496,SP1000359.13.74496,SY1000359.2026.74496,iPad1(1000359),359,01.06.26 15:16,Prod,A1000359.6103,,103,S1000359.74496,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000359.74497,SP1000359.13.74497,SY1000359.2026.74497,iPad1(1000359),359,01.06.26 15:54,Prod,A1000359.6104,Tisch 19,116,S1000359.74497,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000359.74498,SP1000359.13.74498,SY1000359.2026.74498,iPad1(1000359),359,01.06.26 15:54,Prod,A1000359.6104,Tisch 19,116,S1000359.74498,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000359.74499,SP1000359.13.74499,SY1000359.2026.74499,iPad1(1000359),359,01.06.26 15:54,Prod,A1000359.6104,Tisch 19,116,S1000359.74499,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000359.74500,SP1000359.13.74500,SY1000359.2026.74500,iPad1(1000359),359,01.06.26 16:47,Prod,A1000359.6105,Tisch 8,112,S1000359.74500,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
