Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000336.65896,SP1000336.43.65896,SY1000336.2026.65896,iPad1(1000336),336,01.06.26 15:22,Prod,A1000336.6254,Tisch 18,114,S1000336.65896,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000336.65897,SP1000336.43.65897,SY1000336.2026.65897,iPad1(1000336),336,01.06.26 12:24,Prod,A1000336.6255,Tisch 1,114,S1000336.65897,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000336.65898,SP1000336.43.65898,SY1000336.2026.65898,iPad1(1000336),336,01.06.26 12:24,Prod,A1000336.6255,Tisch 1,114,S1000336.65898,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000336.65899,SP1000336.43.65899,SY1000336.2026.65899,iPad1(1000336),336,01.06.26 12:24,Prod,A1000336.6255,Tisch 1,114,S1000336.65899,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000336.65900,SP1000336.43.65900,SY1000336.2026.65900,iPad1(1000336),336,01.06.26 11:54,Prod,A1000336.6256,Tisch 14,108,S1000336.65900,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000336.65901,SP1000336.43.65901,SY1000336.2026.65901,iPad1(1000336),336,01.06.26 11:54,Prod,A1000336.6256,Tisch 14,108,S1000336.65901,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000336.65902,SP1000336.43.65902,SY1000336.2026.65902,iPad1(1000336),336,01.06.26 18:50,Prod,A1000336.6257,Tisch 24,114,S1000336.65902,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000336.65903,SP1000336.43.65903,SY1000336.2026.65903,iPad1(1000336),336,01.06.26 16:03,Prod,A1000336.6258,Tisch 20,110,S1000336.65903,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000336.65904,SP1000336.43.65904,SY1000336.2026.65904,iPad1(1000336),336,01.06.26 16:03,Prod,A1000336.6258,Tisch 20,110,S1000336.65904,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000336.65905,SP1000336.43.65905,SY1000336.2026.65905,iPad1(1000336),336,01.06.26 16:03,Prod,A1000336.6258,Tisch 20,110,S1000336.65905,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000336.65906,SP1000336.43.65906,SY1000336.2026.65906,iPad1(1000336),336,01.06.26 18:26,Prod,A1000336.6259,Tisch 4,119,S1000336.65906,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000336.65907,SP1000336.43.65907,SY1000336.2026.65907,iPad1(1000336),336,01.06.26 18:26,Prod,A1000336.6259,Tisch 4,119,S1000336.65907,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000336.65908,SP1000336.43.65908,SY1000336.2026.65908,iPad1(1000336),336,01.06.26 12:08,Prod,A1000336.6260,Tisch 22,109,S1000336.65908,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000336.65909,SP1000336.43.65909,SY1000336.2026.65909,iPad1(1000336),336,01.06.26 12:08,Prod,A1000336.6260,Tisch 22,109,S1000336.65909,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000336.65910,SP1000336.43.65910,SY1000336.2026.65910,iPad1(1000336),336,01.06.26 12:08,Prod,A1000336.6260,Tisch 22,109,S1000336.65910,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000336.65911,SP1000336.43.65911,SY1000336.2026.65911,iPad1(1000336),336,01.06.26 11:34,Prod,A1000336.6261,Tisch 3,119,S1000336.65911,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000336.65912,SP1000336.43.65912,SY1000336.2026.65912,iPad1(1000336),336,01.06.26 11:34,Prod,A1000336.6261,Tisch 3,119,S1000336.65912,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000336.65913,SP1000336.43.65913,SY1000336.2026.65913,iPad1(1000336),336,01.06.26 11:34,Prod,A1000336.6261,Tisch 3,119,S1000336.65913,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000336.65914,SP1000336.43.65914,SY1000336.2026.65914,iPad1(1000336),336,01.06.26 20:35,Prod,A1000336.6262,Tisch 24,110,S1000336.65914,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000336.65915,SP1000336.43.65915,SY1000336.2026.65915,iPad1(1000336),336,01.06.26 20:35,Prod,A1000336.6262,Tisch 24,110,S1000336.65915,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000336.65916,SP1000336.43.65916,SY1000336.2026.65916,iPad1(1000336),336,01.06.26 12:03,Prod,A1000336.6263,Tisch 15,119,S1000336.65916,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000336.65917,SP1000336.43.65917,SY1000336.2026.65917,iPad1(1000336),336,01.06.26 12:41,Prod,A1000336.6264,Tisch 22,108,S1000336.65917,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000336.65918,SP1000336.43.65918,SY1000336.2026.65918,iPad1(1000336),336,01.06.26 19:03,Prod,A1000336.6265,Tisch 7,114,S1000336.65918,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000336.65919,SP1000336.43.65919,SY1000336.2026.65919,iPad1(1000336),336,01.06.26 19:03,Prod,A1000336.6265,Tisch 7,114,S1000336.65919,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000336.65920,SP1000336.43.65920,SY1000336.2026.65920,iPad1(1000336),336,01.06.26 13:24,Prod,A1000336.6266,Tisch 2,114,S1000336.65920,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
