Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000066.88138,SP1000066.10.88138,SY1000066.2026.88138,iPad1(1000066),66,01.06.26 12:30,Prod,A1000066.6726,Tisch 4,112,S1000066.88138,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000066.88139,SP1000066.10.88139,SY1000066.2026.88139,iPad1(1000066),66,01.06.26 12:30,Prod,A1000066.6726,Tisch 4,112,S1000066.88139,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000066.88140,SP1000066.10.88140,SY1000066.2026.88140,iPad1(1000066),66,01.06.26 12:30,Prod,A1000066.6726,Tisch 4,112,S1000066.88140,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000066.88141,SP1000066.10.88141,SY1000066.2026.88141,iPad1(1000066),66,01.06.26 15:13,Prod,A1000066.6727,Tisch 5,116,S1000066.88141,VOID,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000066.88142,SP1000066.10.88142,SY1000066.2026.88142,iPad1(1000066),66,01.06.26 11:53,Prod,A1000066.6728,Tisch 7,112,S1000066.88142,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000066.88143,SP1000066.10.88143,SY1000066.2026.88143,iPad1(1000066),66,01.06.26 11:53,Prod,A1000066.6728,Tisch 7,112,S1000066.88143,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000066.88144,SP1000066.10.88144,SY1000066.2026.88144,iPad1(1000066),66,01.06.26 13:19,Prod,A1000066.6729,Tisch 11,112,S1000066.88144,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000066.88145,SP1000066.10.88145,SY1000066.2026.88145,iPad1(1000066),66,01.06.26 13:19,Prod,A1000066.6729,Tisch 11,112,S1000066.88145,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000066.88146,SP1000066.10.88146,SY1000066.2026.88146,iPad1(1000066),66,01.06.26 13:19,Prod,A1000066.6729,Tisch 11,112,S1000066.88146,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000066.88147,SP1000066.10.88147,SY1000066.2026.88147,iPad1(1000066),66,01.06.26 17:14,Prod,A1000066.6730,Tisch 16,112,S1000066.88147,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000066.88148,SP1000066.10.88148,SY1000066.2026.88148,iPad1(1000066),66,01.06.26 17:14,Prod,A1000066.6730,Tisch 16,112,S1000066.88148,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
