Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000260.45569,SP1000260.5.45569,SY1000260.2026.45569,iPad1(1000260),260,01.06.26 20:06,Prod,A1000260.6368,,104,S1000260.45569,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000260.45570,SP1000260.5.45570,SY1000260.2026.45570,iPad1(1000260),260,01.06.26 18:01,Prod,A1000260.6369,Tisch 4,119,S1000260.45570,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000260.45571,SP1000260.5.45571,SY1000260.2026.45571,iPad1(1000260),260,01.06.26 18:01,Prod,A1000260.6369,Tisch 4,119,S1000260.45571,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000260.45572,SP1000260.5.45572,SY1000260.2026.45572,iPad1(1000260),260,01.06.26 12:27,Prod,A1000260.6370,Tisch 11,118,S1000260.45572,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000260.45573,SP1000260.5.45573,SY1000260.2026.45573,iPad1(1000260),260,01.06.26 15:19,Prod,A1000260.6371,Tisch 23,110,S1000260.45573,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000260.45574,SP1000260.5.45574,SY1000260.2026.45574,iPad1(1000260),260,01.06.26 15:19,Prod,A1000260.6371,Tisch 23,110,S1000260.45574,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000260.45575,SP1000260.5.45575,SY1000260.2026.45575,iPad1(1000260),260,01.06.26 15:19,Prod,A1000260.6371,Tisch 23,110,S1000260.45575,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000260.45576,SP1000260.5.45576,SY1000260.2026.45576,iPad1(1000260),260,01.06.26 08:32,Prod,A1000260.6372,Tisch 8,110,S1000260.45576,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000260.45577,SP1000260.5.45577,SY1000260.2026.45577,iPad1(1000260),260,01.06.26 08:32,Prod,A1000260.6372,Tisch 8,110,S1000260.45577,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000260.45578,SP1000260.5.45578,SY1000260.2026.45578,iPad1(1000260),260,01.06.26 12:33,Prod,A1000260.6373,Tisch 17,104,S1000260.45578,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
