Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000388.20111,SP1000388.8.20111,SY1000388.2026.20111,iPad1(1000388),388,01.06.26 17:00,Prod,A1000388.6297,Tisch 22,116,S1000388.20111,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000388.20112,SP1000388.8.20112,SY1000388.2026.20112,iPad1(1000388),388,01.06.26 17:00,Prod,A1000388.6297,Tisch 22,116,S1000388.20112,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000388.20113,SP1000388.8.20113,SY1000388.2026.20113,iPad1(1000388),388,01.06.26 17:00,Prod,A1000388.6297,Tisch 22,116,S1000388.20113,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000388.20114,SP1000388.8.20114,SY1000388.2026.20114,iPad1(1000388),388,01.06.26 12:11,Prod,A1000388.6298,Tisch 22,103,S1000388.20114,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000388.20115,SP1000388.8.20115,SY1000388.2026.20115,iPad1(1000388),388,01.06.26 12:11,Prod,A1000388.6298,Tisch 22,103,S1000388.20115,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000388.20116,SP1000388.8.20116,SY1000388.2026.20116,iPad1(1000388),388,01.06.26 12:11,Prod,A1000388.6298,Tisch 22,103,S1000388.20116,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000388.20117,SP1000388.8.20117,SY1000388.2026.20117,iPad1(1000388),388,01.06.26 19:54,Prod,A1000388.6299,Tisch 2,116,S1000388.20117,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000388.20118,SP1000388.8.20118,SY1000388.2026.20118,iPad1(1000388),388,01.06.26 19:03,Prod,A1000388.6300,Tisch 16,105,S1000388.20118,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000388.20119,SP1000388.8.20119,SY1000388.2026.20119,iPad1(1000388),388,01.06.26 19:03,Prod,A1000388.6300,Tisch 16,105,S1000388.20119,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000388.20120,SP1000388.8.20120,SY1000388.2026.20120,iPad1(1000388),388,01.06.26 13:18,Prod,A1000388.6301,,104,S1000388.20120,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000388.20121,SP1000388.8.20121,SY1000388.2026.20121,iPad1(1000388),388,01.06.26 13:18,Prod,A1000388.6301,,104,S1000388.20121,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000388.20122,SP1000388.8.20122,SY1000388.2026.20122,iPad1(1000388),388,01.06.26 13:18,Prod,A1000388.6301,,104,S1000388.20122,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000388.20123,SP1000388.8.20123,SY1000388.2026.20123,iPad1(1000388),388,01.06.26 19:44,Prod,A1000388.6302,,104,S1000388.20123,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000388.20124,SP1000388.8.20124,SY1000388.2026.20124,iPad1(1000388),388,01.06.26 19:44,Prod,A1000388.6302,,104,S1000388.20124,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000388.20125,SP1000388.8.20125,SY1000388.2026.20125,iPad1(1000388),388,01.06.26 10:51,Prod,A1000388.6303,Tisch 14,112,S1000388.20125,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000388.20126,SP1000388.8.20126,SY1000388.2026.20126,iPad1(1000388),388,01.06.26 10:51,Prod,A1000388.6303,Tisch 14,112,S1000388.20126,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000388.20127,SP1000388.8.20127,SY1000388.2026.20127,iPad1(1000388),388,01.06.26 10:51,Prod,A1000388.6303,Tisch 14,112,S1000388.20127,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000388.20128,SP1000388.8.20128,SY1000388.2026.20128,iPad1(1000388),388,01.06.26 18:23,Prod,A1000388.6304,Tisch 10,112,S1000388.20128,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000388.20129,SP1000388.8.20129,SY1000388.2026.20129,iPad1(1000388),388,01.06.26 17:30,Prod,A1000388.6305,Tisch 11,116,S1000388.20129,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000388.20130,SP1000388.8.20130,SY1000388.2026.20130,iPad1(1000388),388,01.06.26 17:30,Prod,A1000388.6305,Tisch 11,116,S1000388.20130,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000388.20131,SP1000388.8.20131,SY1000388.2026.20131,iPad1(1000388),388,01.06.26 17:30,Prod,A1000388.6305,Tisch 11,116,S1000388.20131,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000388.20132,SP1000388.8.20132,SY1000388.2026.20132,iPad1(1000388),388,01.06.26 17:53,Prod,A1000388.6306,Tisch 18,112,S1000388.20132,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000388.20133,SP1000388.8.20133,SY1000388.2026.20133,iPad1(1000388),388,01.06.26 17:53,Prod,A1000388.6306,Tisch 18,112,S1000388.20133,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000388.20134,SP1000388.8.20134,SY1000388.2026.20134,iPad1(1000388),388,01.06.26 14:11,Prod,A1000388.6307,Tisch 5,116,S1000388.20134,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000388.20135,SP1000388.8.20135,SY1000388.2026.20135,iPad1(1000388),388,01.06.26 14:11,Prod,A1000388.6307,Tisch 5,116,S1000388.20135,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000388.20136,SP1000388.8.20136,SY1000388.2026.20136,iPad1(1000388),388,01.06.26 14:11,Prod,A1000388.6307,Tisch 5,116,S1000388.20136,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000388.20137,SP1000388.8.20137,SY1000388.2026.20137,iPad1(1000388),388,01.06.26 16:51,Prod,A1000388.6308,Tisch 22,116,S1000388.20137,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000388.20138,SP1000388.8.20138,SY1000388.2026.20138,iPad1(1000388),388,01.06.26 16:51,Prod,A1000388.6308,Tisch 22,116,S1000388.20138,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000388.20139,SP1000388.8.20139,SY1000388.2026.20139,iPad1(1000388),388,01.06.26 12:23,Prod,A1000388.6309,Tisch 23,112,S1000388.20139,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000388.20140,SP1000388.8.20140,SY1000388.2026.20140,iPad1(1000388),388,01.06.26 12:23,Prod,A1000388.6309,Tisch 23,112,S1000388.20140,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000388.20141,SP1000388.8.20141,SY1000388.2026.20141,iPad1(1000388),388,01.06.26 12:23,Prod,A1000388.6309,Tisch 23,112,S1000388.20141,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000388.20142,SP1000388.8.20142,SY1000388.2026.20142,iPad1(1000388),388,01.06.26 16:37,Prod,A1000388.6310,Tisch 7,116,S1000388.20142,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000388.20143,SP1000388.8.20143,SY1000388.2026.20143,iPad1(1000388),388,01.06.26 16:37,Prod,A1000388.6310,Tisch 7,116,S1000388.20143,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000388.20144,SP1000388.8.20144,SY1000388.2026.20144,iPad1(1000388),388,01.06.26 13:42,Prod,A1000388.6311,,104,S1000388.20144,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000388.20145,SP1000388.8.20145,SY1000388.2026.20145,iPad1(1000388),388,01.06.26 13:42,Prod,A1000388.6311,,104,S1000388.20145,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000388.20146,SP1000388.8.20146,SY1000388.2026.20146,iPad1(1000388),388,01.06.26 12:58,Prod,A1000388.6312,Tisch 5,112,S1000388.20146,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000388.20147,SP1000388.8.20147,SY1000388.2026.20147,iPad1(1000388),388,01.06.26 12:58,Prod,A1000388.6312,Tisch 5,112,S1000388.20147,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000388.20148,SP1000388.8.20148,SY1000388.2026.20148,iPad1(1000388),388,01.06.26 12:58,Prod,A1000388.6312,Tisch 5,112,S1000388.20148,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000388.20149,SP1000388.8.20149,SY1000388.2026.20149,iPad1(1000388),388,01.06.26 11:42,Prod,A1000388.6313,Tisch 3,103,S1000388.20149,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000388.20150,SP1000388.8.20150,SY1000388.2026.20150,iPad1(1000388),388,01.06.26 11:42,Prod,A1000388.6313,Tisch 3,103,S1000388.20150,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000388.20151,SP1000388.8.20151,SY1000388.2026.20151,iPad1(1000388),388,01.06.26 11:42,Prod,A1000388.6313,Tisch 3,103,S1000388.20151,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
