Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000048.82511,SP1000048.1.82511,SY1000048.2026.82511,iPad1(1000048),48,01.06.26 11:28,Prod,A1000048.6631,Tisch 15,112,S1000048.82511,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000048.82512,SP1000048.1.82512,SY1000048.2026.82512,iPad1(1000048),48,01.06.26 15:09,Prod,A1000048.6632,Tisch 17,111,S1000048.82512,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000048.82513,SP1000048.1.82513,SY1000048.2026.82513,iPad1(1000048),48,01.06.26 19:43,Prod,A1000048.6633,Tisch 18,111,S1000048.82513,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000048.82514,SP1000048.1.82514,SY1000048.2026.82514,iPad1(1000048),48,01.06.26 17:35,Prod,A1000048.6634,Tisch 10,112,S1000048.82514,VOID,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000048.82515,SP1000048.1.82515,SY1000048.2026.82515,iPad1(1000048),48,01.06.26 17:35,Prod,A1000048.6634,Tisch 10,112,S1000048.82515,VOID,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000048.82516,SP1000048.1.82516,SY1000048.2026.82516,iPad1(1000048),48,01.06.26 17:35,Prod,A1000048.6634,Tisch 10,112,S1000048.82516,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000048.82517,SP1000048.1.82517,SY1000048.2026.82517,iPad1(1000048),48,01.06.26 17:33,Prod,A1000048.6635,Tisch 12,114,S1000048.82517,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000048.82518,SP1000048.1.82518,SY1000048.2026.82518,iPad1(1000048),48,01.06.26 17:33,Prod,A1000048.6635,Tisch 12,114,S1000048.82518,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000048.82519,SP1000048.1.82519,SY1000048.2026.82519,iPad1(1000048),48,01.06.26 17:33,Prod,A1000048.6635,Tisch 12,114,S1000048.82519,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000048.82520,SP1000048.1.82520,SY1000048.2026.82520,iPad1(1000048),48,01.06.26 14:56,Prod,A1000048.6636,Tisch 8,106,S1000048.82520,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000048.82521,SP1000048.1.82521,SY1000048.2026.82521,iPad1(1000048),48,01.06.26 13:45,Prod,A1000048.6637,Tisch 22,111,S1000048.82521,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000048.82522,SP1000048.1.82522,SY1000048.2026.82522,iPad1(1000048),48,01.06.26 13:45,Prod,A1000048.6637,Tisch 22,111,S1000048.82522,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000048.82523,SP1000048.1.82523,SY1000048.2026.82523,iPad1(1000048),48,01.06.26 13:45,Prod,A1000048.6637,Tisch 22,111,S1000048.82523,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000048.82524,SP1000048.1.82524,SY1000048.2026.82524,iPad1(1000048),48,01.06.26 09:17,Prod,A1000048.6638,Tisch 16,111,S1000048.82524,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000048.82525,SP1000048.1.82525,SY1000048.2026.82525,iPad1(1000048),48,01.06.26 09:17,Prod,A1000048.6638,Tisch 16,111,S1000048.82525,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000048.82526,SP1000048.1.82526,SY1000048.2026.82526,iPad1(1000048),48,01.06.26 20:48,Prod,A1000048.6639,,114,S1000048.82526,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000048.82527,SP1000048.1.82527,SY1000048.2026.82527,iPad1(1000048),48,01.06.26 20:48,Prod,A1000048.6639,,114,S1000048.82527,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000048.82528,SP1000048.1.82528,SY1000048.2026.82528,iPad1(1000048),48,01.06.26 12:31,Prod,A1000048.6640,,111,S1000048.82528,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000048.82529,SP1000048.1.82529,SY1000048.2026.82529,iPad1(1000048),48,01.06.26 12:31,Prod,A1000048.6640,,111,S1000048.82529,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000048.82530,SP1000048.1.82530,SY1000048.2026.82530,iPad1(1000048),48,01.06.26 12:31,Prod,A1000048.6640,,111,S1000048.82530,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000048.82531,SP1000048.1.82531,SY1000048.2026.82531,iPad1(1000048),48,01.06.26 20:34,Prod,A1000048.6641,Tisch 19,111,S1000048.82531,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000048.82532,SP1000048.1.82532,SY1000048.2026.82532,iPad1(1000048),48,01.06.26 13:17,Prod,A1000048.6642,Tisch 7,114,S1000048.82532,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000048.82533,SP1000048.1.82533,SY1000048.2026.82533,iPad1(1000048),48,01.06.26 11:31,Prod,A1000048.6643,,106,S1000048.82533,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000048.82534,SP1000048.1.82534,SY1000048.2026.82534,iPad1(1000048),48,01.06.26 17:49,Prod,A1000048.6644,Tisch 1,111,S1000048.82534,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000048.82535,SP1000048.1.82535,SY1000048.2026.82535,iPad1(1000048),48,01.06.26 17:49,Prod,A1000048.6644,Tisch 1,111,S1000048.82535,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000048.82536,SP1000048.1.82536,SY1000048.2026.82536,iPad1(1000048),48,01.06.26 17:49,Prod,A1000048.6644,Tisch 1,111,S1000048.82536,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000048.82537,SP1000048.1.82537,SY1000048.2026.82537,iPad1(1000048),48,01.06.26 11:24,Prod,A1000048.6645,Tisch 17,111,S1000048.82537,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000048.82538,SP1000048.1.82538,SY1000048.2026.82538,iPad1(1000048),48,01.06.26 11:24,Prod,A1000048.6645,Tisch 17,111,S1000048.82538,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000048.82539,SP1000048.1.82539,SY1000048.2026.82539,iPad1(1000048),48,01.06.26 20:38,Prod,A1000048.6646,Tisch 23,111,S1000048.82539,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000048.82540,SP1000048.1.82540,SY1000048.2026.82540,iPad1(1000048),48,01.06.26 20:38,Prod,A1000048.6646,Tisch 23,111,S1000048.82540,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000048.82541,SP1000048.1.82541,SY1000048.2026.82541,iPad1(1000048),48,01.06.26 20:38,Prod,A1000048.6646,Tisch 23,111,S1000048.82541,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000048.82542,SP1000048.1.82542,SY1000048.2026.82542,iPad1(1000048),48,01.06.26 09:35,Prod,A1000048.6647,Tisch 22,111,S1000048.82542,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000048.82543,SP1000048.1.82543,SY1000048.2026.82543,iPad1(1000048),48,01.06.26 09:35,Prod,A1000048.6647,Tisch 22,111,S1000048.82543,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000048.82544,SP1000048.1.82544,SY1000048.2026.82544,iPad1(1000048),48,01.06.26 09:35,Prod,A1000048.6647,Tisch 22,111,S1000048.82544,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000048.82545,SP1000048.1.82545,SY1000048.2026.82545,iPad1(1000048),48,01.06.26 18:40,Prod,A1000048.6648,Tisch 2,111,S1000048.82545,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000048.82546,SP1000048.1.82546,SY1000048.2026.82546,iPad1(1000048),48,01.06.26 17:41,Prod,A1000048.6649,Tisch 2,111,S1000048.82546,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000048.82547,SP1000048.1.82547,SY1000048.2026.82547,iPad1(1000048),48,01.06.26 17:41,Prod,A1000048.6649,Tisch 2,111,S1000048.82547,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000048.82548,SP1000048.1.82548,SY1000048.2026.82548,iPad1(1000048),48,01.06.26 18:57,Prod,A1000048.6650,Tisch 3,111,S1000048.82548,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000048.82549,SP1000048.1.82549,SY1000048.2026.82549,iPad1(1000048),48,01.06.26 18:57,Prod,A1000048.6650,Tisch 3,111,S1000048.82549,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000048.82550,SP1000048.1.82550,SY1000048.2026.82550,iPad1(1000048),48,01.06.26 18:57,Prod,A1000048.6650,Tisch 3,111,S1000048.82550,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000048.82551,SP1000048.1.82551,SY1000048.2026.82551,iPad1(1000048),48,01.06.26 12:41,Prod,A1000048.6651,Tisch 7,112,S1000048.82551,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000048.82552,SP1000048.1.82552,SY1000048.2026.82552,iPad1(1000048),48,01.06.26 12:41,Prod,A1000048.6651,Tisch 7,112,S1000048.82552,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000048.82553,SP1000048.1.82553,SY1000048.2026.82553,iPad1(1000048),48,01.06.26 13:54,Prod,A1000048.6652,Tisch 2,115,S1000048.82553,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000048.82554,SP1000048.1.82554,SY1000048.2026.82554,iPad1(1000048),48,01.06.26 13:54,Prod,A1000048.6652,Tisch 2,115,S1000048.82554,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000048.82555,SP1000048.1.82555,SY1000048.2026.82555,iPad1(1000048),48,01.06.26 19:31,Prod,A1000048.6653,Tisch 9,115,S1000048.82555,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000048.82556,SP1000048.1.82556,SY1000048.2026.82556,iPad1(1000048),48,01.06.26 19:31,Prod,A1000048.6653,Tisch 9,115,S1000048.82556,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000048.82557,SP1000048.1.82557,SY1000048.2026.82557,iPad1(1000048),48,01.06.26 19:31,Prod,A1000048.6653,Tisch 9,115,S1000048.82557,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000048.82558,SP1000048.1.82558,SY1000048.2026.82558,iPad1(1000048),48,01.06.26 19:29,Prod,A1000048.6654,Tisch 3,114,S1000048.82558,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000048.82559,SP1000048.1.82559,SY1000048.2026.82559,iPad1(1000048),48,01.06.26 15:21,Prod,A1000048.6655,Tisch 20,112,S1000048.82559,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000048.82560,SP1000048.1.82560,SY1000048.2026.82560,iPad1(1000048),48,01.06.26 15:21,Prod,A1000048.6655,Tisch 20,112,S1000048.82560,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000048.82561,SP1000048.1.82561,SY1000048.2026.82561,iPad1(1000048),48,01.06.26 09:24,Prod,A1000048.6656,Tisch 12,111,S1000048.82561,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000048.82562,SP1000048.1.82562,SY1000048.2026.82562,iPad1(1000048),48,01.06.26 09:24,Prod,A1000048.6656,Tisch 12,111,S1000048.82562,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000048.82563,SP1000048.1.82563,SY1000048.2026.82563,iPad1(1000048),48,01.06.26 17:26,Prod,A1000048.6657,Tisch 5,106,S1000048.82563,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000048.82564,SP1000048.1.82564,SY1000048.2026.82564,iPad1(1000048),48,01.06.26 17:26,Prod,A1000048.6657,Tisch 5,106,S1000048.82564,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000048.82565,SP1000048.1.82565,SY1000048.2026.82565,iPad1(1000048),48,01.06.26 16:03,Prod,A1000048.6658,Tisch 6,106,S1000048.82565,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000048.82566,SP1000048.1.82566,SY1000048.2026.82566,iPad1(1000048),48,01.06.26 17:09,Prod,A1000048.6659,Tisch 2,111,S1000048.82566,VOID,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000048.82567,SP1000048.1.82567,SY1000048.2026.82567,iPad1(1000048),48,01.06.26 16:19,Prod,A1000048.6660,Tisch 16,111,S1000048.82567,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000048.82568,SP1000048.1.82568,SY1000048.2026.82568,iPad1(1000048),48,01.06.26 16:19,Prod,A1000048.6660,Tisch 16,111,S1000048.82568,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000048.82569,SP1000048.1.82569,SY1000048.2026.82569,iPad1(1000048),48,01.06.26 16:19,Prod,A1000048.6660,Tisch 16,111,S1000048.82569,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000048.82570,SP1000048.1.82570,SY1000048.2026.82570,iPad1(1000048),48,01.06.26 12:51,Prod,A1000048.6661,Tisch 11,112,S1000048.82570,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000048.82571,SP1000048.1.82571,SY1000048.2026.82571,iPad1(1000048),48,01.06.26 12:51,Prod,A1000048.6661,Tisch 11,112,S1000048.82571,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000048.82572,SP1000048.1.82572,SY1000048.2026.82572,iPad1(1000048),48,01.06.26 11:48,Prod,A1000048.6662,Tisch 15,115,S1000048.82572,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000048.82573,SP1000048.1.82573,SY1000048.2026.82573,iPad1(1000048),48,01.06.26 11:48,Prod,A1000048.6662,Tisch 15,115,S1000048.82573,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000048.82574,SP1000048.1.82574,SY1000048.2026.82574,iPad1(1000048),48,01.06.26 11:48,Prod,A1000048.6662,Tisch 15,115,S1000048.82574,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000048.82575,SP1000048.1.82575,SY1000048.2026.82575,iPad1(1000048),48,01.06.26 16:07,Prod,A1000048.6663,Tisch 13,115,S1000048.82575,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000048.82576,SP1000048.1.82576,SY1000048.2026.82576,iPad1(1000048),48,01.06.26 20:56,Prod,A1000048.6664,Tisch 15,115,S1000048.82576,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000048.82577,SP1000048.1.82577,SY1000048.2026.82577,iPad1(1000048),48,01.06.26 20:56,Prod,A1000048.6664,Tisch 15,115,S1000048.82577,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000048.82578,SP1000048.1.82578,SY1000048.2026.82578,iPad1(1000048),48,01.06.26 20:56,Prod,A1000048.6664,Tisch 15,115,S1000048.82578,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000048.82579,SP1000048.1.82579,SY1000048.2026.82579,iPad1(1000048),48,01.06.26 11:14,Prod,A1000048.6665,Tisch 23,114,S1000048.82579,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000048.82580,SP1000048.1.82580,SY1000048.2026.82580,iPad1(1000048),48,01.06.26 11:14,Prod,A1000048.6665,Tisch 23,114,S1000048.82580,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000048.82581,SP1000048.1.82581,SY1000048.2026.82581,iPad1(1000048),48,01.06.26 18:35,Prod,A1000048.6666,Tisch 10,111,S1000048.82581,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000048.82582,SP1000048.1.82582,SY1000048.2026.82582,iPad1(1000048),48,01.06.26 13:36,Prod,A1000048.6667,Tisch 21,111,S1000048.82582,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000048.82583,SP1000048.1.82583,SY1000048.2026.82583,iPad1(1000048),48,01.06.26 11:43,Prod,A1000048.6668,Tisch 18,115,S1000048.82583,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
